video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5169,74,27.4,24.2
MVI_20012,936,6,7378,119,30.2,31.0
MVI_20032,437,5,1607,25,14.4,30.4
MVI_20033,784,5,4347,48,22.4,34.9
MVI_20034,800,5,7694,100,31.1,25.7
MVI_20035,800,7,11637,100,19.8,40.3
MVI_20051,906,5,8291,102,23.3,38.8
MVI_20052,694,6,8111,89,17.9,38.7
MVI_20061,800,6,6906,119,20.3,39.5
MVI_20062,800,6,6007,74,20.7,38.7
MVI_20063,800,6,4798,62,20.0,40.1
MVI_20064,800,9,7379,103,21.4,37.3
MVI_20065,1200,6,14234,150,28.8,41.7
MVI_39761,1660,6,3852,64,37.9,43.8
MVI_39771,570,5,2786,48,15.0,38.1
MVI_39781,1865,5,7900,167,43.5,42.9
MVI_39801,885,7,2854,93,21.7,40.7
MVI_39811,1070,5,653,32,23.3,45.9
MVI_39821,880,10,3597,102,22.3,39.5
MVI_39851,1420,4,3230,70,31.7,44.7
MVI_39861,745,4,1253,30,17.7,42.1
MVI_39931,1270,2,4770,85,29.7,42.8
MVI_40131,1645,6,14689,159,39.0,42.2
MVI_40141,1600,7,6072,83,36.4,44.0
MVI_40152,1750,6,5506,118,41.5,42.2
MVI_40161,1490,5,6850,110,35.6,41.8
MVI_40162,1765,8,11026,209,41.3,42.7
MVI_40171,1150,1,5394,109,27.6,41.6
MVI_40172,2635,3,9438,201,59.6,44.2
MVI_40181,1700,0,7173,176,39.0,43.5
MVI_40191,2495,3,36096,504,58.7,42.5
MVI_40192,2195,3,28882,505,53.2,41.2
MVI_40201,925,3,10110,185,23.5,39.3
MVI_40204,1225,2,17947,291,30.0,40.8
MVI_40211,1950,0,5769,255,45.0,43.4
MVI_40212,1690,0,6380,276,38.4,44.0
MVI_40213,1790,0,5913,272,40.8,43.9
MVI_40241,2320,2,19318,490,55.1,42.1
MVI_40243,1265,3,10193,236,29.7,42.6
MVI_40244,1345,4,8352,230,32.8,41.0
MVI_40732,2120,0,12446,194,48.7,43.6
MVI_40751,1145,1,6982,94,27.5,41.7
MVI_40752,2025,5,10510,280,47.1,43.0
MVI_40871,1720,5,26993,107,41.4,41.5
MVI_40962,1875,5,6968,118,42.7,43.9
MVI_40963,1820,2,9292,212,41.9,43.4
MVI_40981,1995,2,9953,222,45.7,43.6
MVI_40991,1820,3,2779,98,41.0,44.4
MVI_40992,2160,3,3374,123,48.1,44.9
MVI_41063,1505,3,7642,225,34.6,43.5
MVI_41073,1825,3,9307,251,42.0,43.4
MVI_63521,2055,2,12906,177,47.3,43.4
MVI_63525,985,2,3236,47,23.8,41.4
MVI_63544,1160,9,1744,62,26.8,43.2
MVI_63552,1150,3,5727,192,27.4,42.0
MVI_63553,1405,2,7882,237,33.4,42.0
MVI_63554,1445,1,7575,240,34.8,41.5
MVI_63561,1285,3,7446,258,29.9,42.9
MVI_63562,1185,4,5349,187,28.8,41.1
MVI_63563,1390,3,7022,230,33.9,41.1
