video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5157,78,20.7,32.1
MVI_20012,936,6,7369,120,24.4,38.3
MVI_20032,437,5,1604,27,10.7,40.9
MVI_20033,784,5,4292,52,19.3,40.6
MVI_20034,800,5,7689,104,20.0,40.0
MVI_20035,800,7,11628,103,21.6,37.1
MVI_20051,906,5,8280,103,22.7,40.0
MVI_20052,694,6,8106,90,18.0,38.5
MVI_20061,800,6,6902,126,21.2,37.7
MVI_20062,800,6,5990,78,19.3,41.5
MVI_20063,800,6,4795,64,20.5,39.1
MVI_20064,800,9,7370,105,19.9,40.2
MVI_20065,1200,6,14209,157,30.3,39.6
MVI_39761,1660,6,3847,67,37.9,43.8
MVI_39771,570,5,2768,50,14.9,38.3
MVI_39781,1865,5,7896,173,43.4,43.0
MVI_39801,885,7,2838,94,21.5,41.2
MVI_39811,1070,5,646,36,23.5,45.5
MVI_39821,880,10,3635,103,22.1,39.9
MVI_39851,1420,4,3237,68,33.8,42.0
MVI_39861,745,4,1254,29,19.7,37.9
MVI_39931,1270,2,4759,85,30.7,41.4
MVI_40131,1645,6,14696,158,41.6,39.5
MVI_40141,1600,7,6062,82,39.6,40.4
MVI_40152,1750,6,5496,119,42.9,40.8
MVI_40161,1490,5,6829,112,38.0,39.2
MVI_40162,1765,8,11006,207,43.9,40.2
MVI_40171,1150,1,5381,109,27.6,41.6
MVI_40172,2635,3,9426,205,59.6,44.2
MVI_40181,1700,0,7175,175,40.5,42.0
MVI_40191,2495,3,36040,509,60.5,41.2
MVI_40192,2195,3,28834,514,55.6,39.5
MVI_40201,925,3,10084,188,24.7,37.5
MVI_40204,1225,2,17912,293,33.8,36.3
MVI_40211,1950,0,5770,255,47.0,41.5
MVI_40212,1690,0,6398,276,40.7,41.5
MVI_40213,1790,0,5917,274,44.6,40.2
MVI_40241,2320,2,19351,481,56.5,41.1
MVI_40243,1265,3,10208,233,32.5,38.9
MVI_40244,1345,4,8373,225,33.1,40.7
MVI_40732,2120,0,12434,196,52.9,40.1
MVI_40751,1145,1,6968,97,42.6,26.9
MVI_40752,2025,5,10573,264,68.7,29.5
MVI_40871,1720,5,27022,107,80.3,21.4
MVI_40962,1875,5,6960,119,53.3,35.2
MVI_40963,1820,2,9290,211,42.6,42.7
MVI_40981,1995,2,9920,222,46.7,42.7
MVI_40991,1820,3,2767,96,41.4,43.9
MVI_40992,2160,3,3368,123,48.8,44.3
MVI_41063,1505,3,7636,227,36.8,40.9
MVI_41073,1825,3,9361,248,42.5,43.0
MVI_63521,2055,2,12902,179,47.7,43.1
MVI_63525,985,2,3234,48,24.4,40.3
MVI_63544,1160,9,1754,62,27.2,42.6
MVI_63552,1150,3,5738,191,28.4,40.5
MVI_63553,1405,2,7860,237,34.1,41.2
MVI_63554,1445,1,7578,236,34.2,42.2
MVI_63561,1285,3,7458,263,31.8,40.4
MVI_63562,1185,4,5354,189,29.2,40.6
MVI_63563,1390,3,7035,231,32.2,43.1
