video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5163,77,22.9,29.0
MVI_20012,936,6,7372,116,27.7,33.8
MVI_20032,437,5,1605,27,12.5,34.9
MVI_20033,784,5,4343,48,23.0,34.1
MVI_20034,800,5,7689,102,24.0,33.4
MVI_20035,800,7,11634,103,27.2,29.4
MVI_20051,906,5,8283,106,25.9,35.0
MVI_20052,694,6,8106,89,23.4,29.6
MVI_20061,800,6,6913,122,23.8,33.6
MVI_20062,800,6,6005,77,23.4,34.2
MVI_20063,800,6,4785,62,22.1,36.2
MVI_20064,800,9,7373,106,24.0,33.3
MVI_20065,1200,6,14195,157,37.5,32.0
MVI_39761,1660,6,3847,67,39.9,41.6
MVI_39771,570,5,2768,51,16.5,34.6
MVI_39781,1865,5,7893,170,48.2,38.7
MVI_39801,885,7,2839,97,24.7,35.8
MVI_39811,1070,5,646,34,24.2,44.2
MVI_39821,880,10,3583,105,25.4,34.6
MVI_39851,1420,4,3236,69,34.4,41.3
MVI_39861,745,4,1252,31,18.7,39.7
MVI_39931,1270,2,4763,86,33.5,38.0
MVI_40131,1645,6,14696,158,47.4,34.7
MVI_40141,1600,7,6057,84,41.3,38.7
MVI_40152,1750,6,5499,117,45.8,38.2
MVI_40161,1490,5,6830,111,38.8,38.4
MVI_40162,1765,8,11019,202,45.2,39.1
MVI_40171,1150,1,5385,108,29.9,38.4
MVI_40172,2635,3,9428,206,63.2,41.7
MVI_40181,1700,0,7173,176,44.2,38.5
MVI_40191,2495,3,36050,511,76.9,32.5
MVI_40192,2195,3,28828,515,66.6,33.0
MVI_40201,925,3,10082,188,29.4,31.5
MVI_40204,1225,2,17918,293,41.1,29.8
MVI_40211,1950,0,5769,257,49.6,39.3
MVI_40212,1690,0,6399,276,44.9,37.7
MVI_40213,1790,0,5920,274,47.8,37.5
MVI_40241,2320,2,19351,482,66.5,34.9
MVI_40243,1265,3,10205,233,36.9,34.2
MVI_40244,1345,4,8376,224,37.3,36.0
MVI_40732,2120,0,12439,196,57.3,37.0
MVI_40751,1145,1,6973,97,31.2,36.7
MVI_40752,2025,5,10558,268,54.8,37.0
MVI_40871,1720,5,27021,104,53.6,32.1
MVI_40962,1875,5,6955,121,46.8,40.1
MVI_40963,1820,2,9307,211,47.5,38.3
MVI_40981,1995,2,9915,224,52.5,38.0
MVI_40991,1820,3,2768,97,45.0,40.5
MVI_40992,2160,3,3372,125,52.9,40.9
MVI_41063,1505,3,7637,225,41.1,36.6
MVI_41073,1825,3,9358,248,49.5,36.9
MVI_63521,2055,2,12900,179,55.0,37.4
MVI_63525,985,2,3233,48,26.1,37.8
MVI_63544,1160,9,1754,62,29.5,39.4
MVI_63552,1150,3,5740,193,32.4,35.4
MVI_63553,1405,2,7861,237,39.6,35.5
MVI_63554,1445,1,7582,233,40.2,36.0
MVI_63561,1285,3,7458,264,36.3,35.4
MVI_63562,1185,4,5354,189,33.1,35.8
MVI_63563,1390,3,7034,232,36.6,38.0
