video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5422,73,18.2,36.5
MVI_20012,936,6,8112,113,19.3,48.6
MVI_20032,437,5,1738,26,9.0,48.7
MVI_20033,784,5,4667,48,16.0,48.9
MVI_20034,800,5,8314,95,17.1,46.7
MVI_20035,800,7,12156,101,17.3,46.2
MVI_20051,906,5,8739,102,19.6,46.2
MVI_20052,694,6,8778,85,15.2,45.7
MVI_20061,800,6,7596,116,17.3,46.3
MVI_20062,800,6,6326,74,17.1,46.9
MVI_20063,800,6,5403,56,17.2,46.6
MVI_20064,800,9,8149,102,17.2,46.4
MVI_20065,1200,6,15447,148,26.3,45.6
MVI_39761,1660,6,4027,61,34.0,48.9
MVI_39771,570,5,3032,45,11.8,48.2
MVI_39781,1865,5,9053,152,38.7,48.1
MVI_39801,885,7,3183,95,18.0,49.1
MVI_39811,1070,5,793,30,20.6,52.0
MVI_39821,880,10,4221,96,18.6,47.3
MVI_39851,1420,4,3560,63,29.3,48.5
MVI_39861,745,4,1370,27,15.1,49.3
MVI_39931,1270,2,5355,81,26.7,47.6
MVI_40131,1645,6,15400,157,35.6,46.2
MVI_40141,1600,7,6935,81,33.9,47.3
MVI_40152,1750,6,6651,108,36.7,47.7
MVI_40161,1490,5,7377,108,32.0,46.6
MVI_40162,1765,8,11633,186,37.6,46.9
MVI_40171,1150,1,5871,108,24.3,47.3
MVI_40172,2635,3,9633,195,55.2,47.8
MVI_40181,1700,0,7671,164,35.4,48.0
MVI_40191,2495,3,36883,498,54.8,45.5
MVI_40192,2195,3,29722,492,48.1,45.7
MVI_40201,925,3,10520,182,20.3,45.6
MVI_40204,1225,2,19353,275,27.1,45.2
MVI_40211,1950,0,5970,249,40.5,48.2
MVI_40212,1690,0,6586,274,35.3,47.9
MVI_40213,1790,0,6089,270,37.6,47.6
MVI_40241,2320,2,19842,480,50.5,45.9
MVI_40243,1265,3,10457,232,27.2,46.5
MVI_40244,1345,4,8558,226,29.0,46.3
MVI_40732,2120,0,13386,188,45.1,47.0
MVI_40751,1145,1,7607,96,24.4,46.8
MVI_40752,2025,5,11277,265,43.7,46.3
MVI_40871,1720,5,28956,100,38.9,44.2
MVI_40962,1875,5,7130,119,39.2,47.8
MVI_40963,1820,2,9662,211,38.1,47.8
MVI_40981,1995,2,10448,215,42.2,47.3
MVI_40991,1820,3,3036,98,37.4,48.7
MVI_40992,2160,3,3622,120,45.0,48.0
MVI_41063,1505,3,7981,217,32.0,47.1
MVI_41073,1825,3,9516,242,38.5,47.5
MVI_63521,2055,2,13174,176,42.9,47.9
MVI_63525,985,2,3258,48,20.8,47.4
MVI_63544,1160,9,2757,59,24.2,47.9
MVI_63552,1150,3,5881,189,24.6,46.8
MVI_63553,1405,2,8281,232,30.0,46.9
MVI_63554,1445,1,7894,235,30.3,47.7
MVI_63561,1285,3,7884,249,27.9,46.0
MVI_63562,1185,4,5553,187,25.0,47.4
MVI_63563,1390,3,7325,229,29.6,47.0
