video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5414,77,17.3,38.4
MVI_20012,936,6,8112,113,20.5,45.7
MVI_20032,437,5,1721,26,9.2,47.3
MVI_20033,784,5,4778,49,17.2,45.7
MVI_20034,800,5,8287,98,17.8,45.0
MVI_20035,800,7,12149,102,18.3,43.6
MVI_20051,906,5,8768,101,20.2,44.9
MVI_20052,694,6,8784,86,16.1,43.1
MVI_20061,800,6,7618,117,18.1,44.3
MVI_20062,800,6,6321,75,17.5,45.6
MVI_20063,800,6,5396,56,17.5,45.7
MVI_20064,800,9,8183,104,18.0,44.4
MVI_20065,1200,6,15460,148,27.1,44.3
MVI_39761,1660,6,4011,66,34.4,48.3
MVI_39771,570,5,3031,46,12.3,46.2
MVI_39781,1865,5,9053,159,39.3,47.5
MVI_39801,885,7,3138,92,18.8,47.0
MVI_39811,1070,5,767,31,20.8,51.5
MVI_39821,880,10,4307,95,18.8,46.7
MVI_39851,1420,4,3556,63,29.4,48.3
MVI_39861,745,4,1370,27,15.2,49.1
MVI_39931,1270,2,5353,80,26.6,47.7
MVI_40131,1645,6,15436,151,36.6,44.9
MVI_40141,1600,7,6931,77,33.8,47.3
MVI_40152,1750,6,6629,112,37.4,46.7
MVI_40161,1490,5,7349,109,31.9,46.7
MVI_40162,1765,8,11609,188,38.3,46.1
MVI_40171,1150,1,5869,104,24.7,46.5
MVI_40172,2635,3,9616,199,55.6,47.4
MVI_40181,1700,0,7670,164,35.9,47.3
MVI_40191,2495,3,36848,501,56.6,44.1
MVI_40192,2195,3,29682,499,49.9,44.0
MVI_40201,925,3,10497,187,20.8,44.5
MVI_40204,1225,2,19227,277,27.9,43.9
MVI_40211,1950,0,5956,250,41.2,47.3
MVI_40212,1690,0,6593,277,35.5,47.5
MVI_40213,1790,0,6098,273,38.2,46.9
MVI_40241,2320,2,19873,476,51.2,45.4
MVI_40243,1265,3,10454,231,28.1,45.0
MVI_40244,1345,4,8569,223,29.4,45.7
MVI_40732,2120,0,13428,190,45.8,46.3
MVI_40751,1145,1,7592,96,24.7,46.3
MVI_40752,2025,5,11353,256,44.5,45.5
MVI_40871,1720,5,29093,100,40.0,43.0
MVI_40962,1875,5,7121,120,39.5,47.4
MVI_40963,1820,2,9656,211,38.8,46.9
MVI_40981,1995,2,10413,219,42.1,47.3
MVI_40991,1820,3,3030,98,37.6,48.4
MVI_40992,2160,3,3614,120,45.1,47.8
MVI_41063,1505,3,7967,220,32.3,46.7
MVI_41073,1825,3,9560,242,39.2,46.5
MVI_63521,2055,2,13178,178,43.8,47.0
MVI_63525,985,2,3257,49,20.7,47.6
MVI_63544,1160,9,2765,58,24.3,47.6
MVI_63552,1150,3,5903,190,24.8,46.3
MVI_63553,1405,2,8240,239,30.5,46.0
MVI_63554,1445,1,7899,231,31.0,46.6
MVI_63561,1285,3,7880,254,28.2,45.5
MVI_63562,1185,4,5559,190,25.1,47.1
MVI_63563,1390,3,7345,227,30.0,46.3
