video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5419,77,19.2,34.5
MVI_20012,936,6,8112,111,23.3,40.2
MVI_20032,437,5,1726,26,9.8,44.5
MVI_20033,784,5,4822,46,18.6,42.2
MVI_20034,800,5,8299,98,20.4,39.2
MVI_20035,800,7,12149,102,21.9,36.5
MVI_20051,906,5,8775,101,23.2,39.1
MVI_20052,694,6,8799,84,18.4,37.7
MVI_20061,800,6,7633,116,20.5,39.1
MVI_20062,800,6,6320,74,19.4,41.3
MVI_20063,800,6,5397,57,19.1,41.8
MVI_20064,800,9,8187,102,20.2,39.6
MVI_20065,1200,6,15511,148,32.3,37.1
MVI_39761,1660,6,4027,64,35.1,47.3
MVI_39771,570,5,3026,46,13.1,43.4
MVI_39781,1865,5,9049,156,43.0,43.4
MVI_39801,885,7,3108,93,20.1,44.0
MVI_39811,1070,5,767,31,22.0,48.6
MVI_39821,880,10,4265,95,20.6,42.7
MVI_39851,1420,4,3535,68,30.3,46.8
MVI_39861,745,4,1360,30,16.1,46.4
MVI_39931,1270,2,5343,83,29.0,43.8
MVI_40131,1645,6,15409,153,40.8,40.3
MVI_40141,1600,7,6938,78,36.1,44.3
MVI_40152,1750,6,6544,112,39.9,43.8
MVI_40161,1490,5,7351,108,34.9,42.7
MVI_40162,1765,8,11618,185,42.7,41.4
MVI_40171,1150,1,5873,104,27.0,42.6
MVI_40172,2635,3,9618,198,59.4,44.4
MVI_40181,1700,0,7669,162,39.1,43.4
MVI_40191,2495,3,36843,500,69.2,36.0
MVI_40192,2195,3,29671,497,59.9,36.6
MVI_40201,925,3,10495,186,24.2,38.2
MVI_40204,1225,2,19270,276,34.8,35.2
MVI_40211,1950,0,5957,252,43.3,45.0
MVI_40212,1690,0,6591,277,39.3,43.0
MVI_40213,1790,0,6098,273,40.9,43.7
MVI_40241,2320,2,19861,476,59.3,39.1
MVI_40243,1265,3,10454,231,32.1,39.3
MVI_40244,1345,4,8572,222,32.6,41.3
MVI_40732,2120,0,13480,191,50.6,41.9
MVI_40751,1145,1,7602,97,27.1,42.2
MVI_40752,2025,5,11332,258,48.6,41.7
MVI_40871,1720,5,29091,99,48.6,35.4
MVI_40962,1875,5,7118,121,42.3,44.4
MVI_40963,1820,2,9741,211,42.6,42.7
MVI_40981,1995,2,10418,218,46.5,42.9
MVI_40991,1820,3,3031,96,44.1,41.2
MVI_40992,2160,3,3621,122,85.8,25.2
MVI_41063,1505,3,7969,220,46.7,32.2
MVI_41073,1825,3,9553,242,65.4,27.9
MVI_63521,2055,2,13186,176,71.7,28.6
MVI_63525,985,2,3256,49,28.5,34.5
MVI_63544,1160,9,2762,58,30.0,38.6
MVI_63552,1150,3,5911,191,37.1,31.0
MVI_63553,1405,2,8238,238,44.2,31.8
MVI_63554,1445,1,7906,228,44.2,32.7
MVI_63561,1285,3,7884,254,58.0,22.2
MVI_63562,1185,4,5560,190,40.3,29.4
MVI_63563,1390,3,7345,228,58.3,23.8
