video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5170,74,26.3,25.3
MVI_20012,936,6,7390,116,26.0,36.0
MVI_20032,437,5,1610,24,13.9,31.5
MVI_20033,784,5,4347,47,24.2,32.4
MVI_20034,800,5,7692,96,25.2,31.7
MVI_20035,800,7,11652,100,24.6,32.5
MVI_20051,906,5,8318,95,23.5,38.6
MVI_20052,694,6,8113,88,16.6,41.9
MVI_20061,800,6,6931,114,20.8,38.5
MVI_20062,800,6,6007,74,18.8,42.6
MVI_20063,800,6,4800,61,20.4,39.3
MVI_20064,800,9,7387,102,20.4,39.1
MVI_20065,1200,6,14254,146,28.5,42.1
MVI_39761,1660,6,3852,64,36.3,45.7
MVI_39771,570,5,2788,47,15.0,38.0
MVI_39781,1865,5,7950,157,41.2,45.3
MVI_39801,885,7,2860,90,25.0,35.4
MVI_39811,1070,5,653,32,23.4,45.7
MVI_39821,880,10,3599,99,20.8,42.3
MVI_39851,1420,4,3230,70,30.1,47.2
MVI_39861,745,4,1259,28,16.2,46.0
MVI_39931,1270,2,4774,82,29.1,43.7
MVI_40131,1645,6,14697,157,,
MVI_40141,1600,7,6102,79,37.2,43.0
MVI_40152,1750,6,5519,114,40.6,43.1
MVI_40161,1490,5,6850,109,35.4,42.1
MVI_40162,1765,8,11028,204,40.5,43.6
MVI_40171,1150,1,5409,103,,
MVI_40172,2635,3,9446,196,,
MVI_40181,1700,0,7183,166,37.2,45.7
MVI_40191,2495,3,36106,495,56.8,43.9
MVI_40192,2195,3,28887,500,49.4,44.5
MVI_40201,925,3,10110,184,22.5,41.2
MVI_40204,1225,2,17941,290,,
MVI_40211,1950,0,5784,246,41.5,47.0
MVI_40212,1690,0,6395,260,37.8,44.7
MVI_40213,1790,0,5928,261,41.4,43.3
MVI_40241,2320,2,19337,484,52.7,44.1
MVI_40243,1265,3,10196,234,31.2,40.6
MVI_40244,1345,4,8358,227,33.2,40.5
MVI_40732,2120,0,12481,189,48.6,43.6
MVI_40751,1145,1,7003,91,,
MVI_40752,2025,5,10517,275,47.3,42.8
MVI_40871,1720,5,27007,104,41.2,41.8
MVI_40962,1875,5,6970,118,42.2,44.5
MVI_40963,1820,2,9312,209,41.9,43.4
MVI_40981,1995,2,9990,214,44.8,44.6
MVI_40991,1820,3,2782,96,40.7,44.7
MVI_40992,2160,3,3378,121,47.6,45.4
MVI_41063,1505,3,7635,221,35.4,42.5
MVI_41073,1825,3,9319,244,41.8,43.6
MVI_63521,2055,2,12911,175,45.6,45.1
MVI_63525,985,2,3237,46,22.7,43.5
MVI_63544,1160,9,1771,60,26.7,43.4
MVI_63552,1150,3,5735,188,28.6,40.1
MVI_63553,1405,2,7886,234,31.8,44.1
MVI_63554,1445,1,7588,230,,
MVI_63561,1285,3,7459,255,31.5,40.8
MVI_63562,1185,4,5353,183,28.1,42.1
MVI_63563,1390,3,7033,225,31.8,43.7
