video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5156,77,19.4,34.3
MVI_20012,936,6,7412,115,22.6,41.3
MVI_20032,437,5,1612,25,12.8,34.2
MVI_20033,784,5,4343,47,19.0,41.2
MVI_20034,800,5,7687,101,20.3,39.4
MVI_20035,800,7,11644,103,20.9,38.2
MVI_20051,906,5,8307,96,22.3,40.6
MVI_20052,694,6,8113,87,20.6,33.7
MVI_20061,800,6,6930,120,19.3,41.5
MVI_20062,800,6,5992,77,21.9,36.5
MVI_20063,800,6,4799,61,18.8,42.6
MVI_20064,800,9,7375,103,20.7,38.6
MVI_20065,1200,6,14240,153,29.9,40.1
MVI_39761,1660,6,3846,67,38.1,43.6
MVI_39771,570,5,2764,50,13.8,41.4
MVI_39781,1865,5,7950,168,42.8,43.6
MVI_39801,885,7,2839,94,22.8,38.8
MVI_39811,1070,5,650,36,23.1,46.4
MVI_39821,880,10,3654,100,21.8,40.4
MVI_39851,1420,4,3241,67,31.3,45.3
MVI_39861,745,4,1259,28,18.9,39.4
MVI_39931,1270,2,4767,83,28.2,45.1
MVI_40131,1645,6,14707,157,,
MVI_40141,1600,7,6103,76,38.1,42.0
MVI_40152,1750,6,5511,116,40.1,43.6
MVI_40161,1490,5,6828,111,35.9,41.5
MVI_40162,1765,8,11017,203,38.5,45.9
MVI_40171,1150,1,5403,103,,
MVI_40172,2635,3,9422,203,,
MVI_40181,1700,0,7180,170,36.5,46.5
MVI_40191,2495,3,36041,508,58.9,42.4
MVI_40192,2195,3,28833,513,50.8,43.2
MVI_40201,925,3,10084,188,21.5,43.0
MVI_40204,1225,2,17913,293,,
MVI_40211,1950,0,5771,254,42.7,45.7
MVI_40212,1690,0,6398,274,38.1,44.3
MVI_40213,1790,0,5921,269,39.5,45.3
MVI_40241,2320,2,19355,480,54.4,42.6
MVI_40243,1265,3,10208,233,31.9,39.6
MVI_40244,1345,4,8373,225,33.0,40.8
MVI_40732,2120,0,12467,190,48.6,43.6
MVI_40751,1145,1,6979,92,,
MVI_40752,2025,5,10577,261,47.5,42.6
MVI_40871,1720,5,27043,100,42.1,40.8
MVI_40962,1875,5,6962,119,41.7,45.0
MVI_40963,1820,2,9349,209,42.5,42.8
MVI_40981,1995,2,9979,214,45.2,44.1
MVI_40991,1820,3,2768,95,40.5,45.0
MVI_40992,2160,3,3370,121,47.9,45.1
MVI_41063,1505,3,7636,226,35.5,42.4
MVI_41073,1825,3,9361,247,42.2,43.2
MVI_63521,2055,2,12900,178,47.3,43.4
MVI_63525,985,2,3234,48,22.3,44.2
MVI_63544,1160,9,1772,62,27.5,42.1
MVI_63552,1150,3,5738,190,27.8,41.3
MVI_63553,1405,2,7860,236,33.0,42.6
MVI_63554,1445,1,7578,235,,
MVI_63561,1285,3,7459,262,34.4,37.4
MVI_63562,1185,4,5354,189,39.0,30.4
MVI_63563,1390,3,7035,230,39.3,35.4
