video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5162,77,26.0,25.6
MVI_20012,936,6,7417,112,30.7,30.5
MVI_20032,437,5,1614,25,12.3,35.6
MVI_20033,784,5,4374,44,20.8,37.7
MVI_20034,800,5,7686,102,21.9,36.5
MVI_20035,800,7,11660,102,24.5,32.7
MVI_20051,906,5,8312,96,25.8,35.2
MVI_20052,694,6,8111,87,19.8,35.1
MVI_20061,800,6,6942,120,23.0,34.7
MVI_20062,800,6,6011,78,21.3,37.5
MVI_20063,800,6,4797,59,20.5,39.0
MVI_20064,800,9,7377,103,22.8,35.1
MVI_20065,1200,6,14217,152,36.2,33.2
MVI_39761,1660,6,3845,67,37.8,43.9
MVI_39771,570,5,2765,50,15.2,37.6
MVI_39781,1865,5,7959,161,45.5,41.0
MVI_39801,885,7,2840,97,23.8,37.2
MVI_39811,1070,5,650,34,23.9,44.9
MVI_39821,880,10,3619,101,23.9,36.8
MVI_39851,1420,4,3236,69,33.8,42.1
MVI_39861,745,4,1257,30,19.7,37.8
MVI_39931,1270,2,4762,84,31.2,40.8
MVI_40131,1645,6,14708,157,,
MVI_40141,1600,7,6098,78,39.6,40.4
MVI_40152,1750,6,5521,114,43.7,40.0
MVI_40161,1490,5,6829,110,38.9,38.3
MVI_40162,1765,8,11029,199,46.2,38.2
MVI_40171,1150,1,5401,104,,
MVI_40172,2635,3,9432,204,,
MVI_40181,1700,0,7175,171,42.8,39.7
MVI_40191,2495,3,36050,510,78.3,31.9
MVI_40192,2195,3,28828,511,66.4,33.1
MVI_40201,925,3,10081,187,29.1,31.8
MVI_40204,1225,2,17919,291,,
MVI_40211,1950,0,5771,256,49.4,39.5
MVI_40212,1690,0,6403,276,51.3,32.9
MVI_40213,1790,0,5921,272,46.7,38.4
MVI_40241,2320,2,19352,482,65.6,35.4
MVI_40243,1265,3,10205,233,34.4,36.8
MVI_40244,1345,4,8376,224,37.1,36.2
MVI_40732,2120,0,12486,191,53.9,39.3
MVI_40751,1145,1,6985,93,,
MVI_40752,2025,5,10570,266,53.4,37.9
MVI_40871,1720,5,27064,99,50.8,33.9
MVI_40962,1875,5,6957,121,47.2,39.7
MVI_40963,1820,2,9363,210,45.6,39.9
MVI_40981,1995,2,9990,216,50.9,39.2
MVI_40991,1820,3,2769,95,40.3,45.1
MVI_40992,2160,3,3378,121,46.6,46.3
MVI_41063,1505,3,7639,224,38.0,39.6
MVI_41073,1825,3,9358,248,44.5,41.0
MVI_63521,2055,2,12900,178,48.2,42.7
MVI_63525,985,2,3233,48,23.4,42.1
MVI_63544,1160,9,1773,62,24.9,46.5
MVI_63552,1150,3,5740,193,29.8,38.5
MVI_63553,1405,2,7865,236,36.4,38.6
MVI_63554,1445,1,7582,231,,
MVI_63561,1285,3,7462,263,35.2,36.5
MVI_63562,1185,4,5354,189,28.9,41.0
MVI_63563,1390,3,7034,232,35.9,38.7
