video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5169,74,25.5,26.0
MVI_20012,936,6,7378,119,30.2,31.0
MVI_20032,437,5,1607,25,14.3,30.6
MVI_20033,784,5,4347,48,24.6,31.9
MVI_20034,800,5,7694,100,25.2,31.7
MVI_20035,800,7,11637,100,26.7,29.9
MVI_20051,906,5,8291,102,28.8,31.5
MVI_20052,694,6,8111,89,24.3,28.6
MVI_20061,800,6,6906,119,29.0,27.6
MVI_20062,800,6,6007,74,27.0,29.6
MVI_20063,800,6,4798,62,27.7,28.8
MVI_20064,800,9,7379,103,28.5,28.1
MVI_20065,1200,6,14234,150,42.6,28.2
MVI_39761,1660,6,3852,64,48.7,34.1
MVI_39771,570,5,2786,48,17.4,32.8
MVI_39781,1865,5,7900,167,59.6,31.3
MVI_39801,885,7,2854,93,27.8,31.8
MVI_39811,1070,5,653,32,32.8,32.7
MVI_39821,880,10,3597,102,27.8,31.7
MVI_39851,1420,4,3230,70,45.3,31.3
MVI_39861,745,4,1253,30,24.5,30.4
MVI_39931,1270,2,4770,85,39.6,32.1
MVI_40131,1645,6,14689,159,55.8,29.5
MVI_40141,1600,7,6072,83,45.3,35.3
MVI_40152,1750,6,5506,118,50.8,34.5
MVI_40161,1490,5,6850,110,44.6,33.4
MVI_40162,1765,8,11026,209,50.7,34.8
MVI_40171,1150,1,5394,109,35.2,32.6
MVI_40172,2635,3,9438,201,74.0,35.6
MVI_40181,1700,0,7173,176,48.3,35.2
MVI_40191,2495,3,36096,504,72.5,34.4
MVI_40192,2195,3,28882,505,65.3,33.6
MVI_40201,925,3,10110,185,27.5,33.6
MVI_40204,1225,2,17947,291,38.7,31.7
MVI_40211,1950,0,5769,255,54.8,35.6
MVI_40212,1690,0,6380,276,49.2,34.4
MVI_40213,1790,0,5913,272,51.2,35.0
MVI_40241,2320,2,19318,490,78.4,29.6
MVI_40243,1265,3,10193,236,39.8,31.8
MVI_40244,1345,4,8352,230,40.1,33.5
MVI_40732,2120,0,12446,194,60.0,35.3
MVI_40751,1145,1,6982,94,33.3,34.4
MVI_40752,2025,5,10510,280,59.1,34.3
MVI_40871,1720,5,26993,107,53.0,32.5
MVI_40962,1875,5,6968,118,52.7,35.5
MVI_40963,1820,2,9292,212,51.2,35.6
MVI_40981,1995,2,9953,222,56.3,35.4
MVI_40991,1820,3,2779,98,51.0,35.7
MVI_40992,2160,3,3374,123,60.0,36.0
MVI_41063,1505,3,7642,225,44.6,33.7
MVI_41073,1825,3,9307,251,53.0,34.5
MVI_63521,2055,2,12906,177,58.4,35.2
MVI_63525,985,2,3236,47,29.1,33.9
MVI_63544,1160,9,1744,62,35.1,33.0
MVI_63552,1150,3,5727,192,34.0,33.8
MVI_63553,1405,2,7882,237,42.0,33.4
MVI_63554,1445,1,7575,240,41.9,34.5
MVI_63561,1285,3,7446,258,39.0,33.0
MVI_63562,1185,4,5349,187,35.2,33.6
MVI_63563,1390,3,7022,230,41.7,33.3
