video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5157,76,19.9,33.3
MVI_20012,936,6,7377,119,21.9,42.8
MVI_20032,437,5,1610,26,11.0,39.6
MVI_20033,784,5,4289,50,18.5,42.4
MVI_20034,800,5,7688,103,20.2,39.6
MVI_20035,800,7,11628,103,21.7,36.9
MVI_20051,906,5,8280,103,20.9,43.4
MVI_20052,694,6,8109,90,16.7,41.7
MVI_20061,800,6,6914,125,18.7,42.7
MVI_20062,800,6,5990,78,20.4,39.2
MVI_20063,800,6,4793,64,18.0,44.4
MVI_20064,800,9,7377,103,18.6,43.1
MVI_20065,1200,6,14211,157,27.4,43.8
MVI_39761,1660,6,3846,67,32.3,51.4
MVI_39771,570,5,2772,49,13.7,41.6
MVI_39781,1865,5,7895,174,37.1,50.3
MVI_39801,885,7,2838,93,19.7,44.8
MVI_39811,1070,5,649,36,20.3,52.6
MVI_39821,880,10,3635,102,20.1,43.9
MVI_39851,1420,4,3240,68,27.8,51.1
MVI_39861,745,4,1254,29,16.7,44.6
MVI_39931,1270,2,4766,83,25.6,49.7
MVI_40131,1645,6,14702,158,36.3,45.3
MVI_40141,1600,7,6069,81,34.7,46.1
MVI_40152,1750,6,5501,120,36.5,48.0
MVI_40161,1490,5,6830,111,30.4,49.0
MVI_40162,1765,8,11008,206,36.7,48.1
MVI_40171,1150,1,5383,108,24.9,46.1
MVI_40172,2635,3,9426,205,52.9,49.8
MVI_40181,1700,0,7172,174,34.5,49.3
MVI_40191,2495,3,36041,508,53.7,46.5
MVI_40192,2195,3,28831,513,49.4,44.4
MVI_40201,925,3,10084,188,22.5,41.1
MVI_40204,1225,2,17916,293,27.2,45.1
MVI_40211,1950,0,5771,255,39.0,50.0
MVI_40212,1690,0,6398,276,35.0,48.3
MVI_40213,1790,0,5918,274,36.3,49.3
MVI_40241,2320,2,19351,481,49.4,46.9
MVI_40243,1265,3,10208,233,28.4,44.6
MVI_40244,1345,4,8370,226,28.5,47.1
MVI_40732,2120,0,12429,195,44.6,47.5
MVI_40751,1145,1,6967,97,25.7,44.6
MVI_40752,2025,5,10578,263,41.8,48.4
MVI_40871,1720,5,27022,106,38.2,45.1
MVI_40962,1875,5,6960,119,38.8,48.3
MVI_40963,1820,2,9288,211,38.0,48.0
MVI_40981,1995,2,9939,222,41.2,48.4
MVI_40991,1820,3,2767,96,37.0,49.1
MVI_40992,2160,3,3369,122,42.7,50.6
MVI_41063,1505,3,7636,227,31.4,47.9
MVI_41073,1825,3,9367,245,37.6,48.6
MVI_63521,2055,2,12900,179,42.7,48.1
MVI_63525,985,2,3234,48,21.2,46.5
MVI_63544,1160,9,1754,62,23.8,48.8
MVI_63552,1150,3,5738,192,25.3,45.5
MVI_63553,1405,2,7860,237,30.7,45.8
MVI_63554,1445,1,7577,234,32.6,44.3
MVI_63561,1285,3,7458,263,30.4,42.2
MVI_63562,1185,4,5356,189,25.2,47.1
MVI_63563,1390,3,7037,231,31.0,44.8
