video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5156,78,27.6,24.1
MVI_20012,936,6,7377,119,29.7,31.5
MVI_20032,437,5,1610,26,13.8,31.7
MVI_20033,784,5,4297,51,24.6,31.9
MVI_20034,800,5,7689,104,25.9,30.8
MVI_20035,800,7,11628,103,26.3,30.4
MVI_20051,906,5,8280,103,31.1,29.1
MVI_20052,694,6,8109,90,23.5,29.5
MVI_20061,800,6,6911,126,28.1,28.5
MVI_20062,800,6,5990,78,25.4,31.5
MVI_20063,800,6,4793,64,25.5,31.4
MVI_20064,800,9,7375,103,26.0,30.8
MVI_20065,1200,6,14215,157,38.1,31.5
MVI_39761,1660,6,3846,67,45.6,36.4
MVI_39771,570,5,2762,51,18.5,30.9
MVI_39781,1865,5,7896,174,53.8,34.6
MVI_39801,885,7,2838,94,26.6,33.2
MVI_39811,1070,5,646,36,28.8,37.2
MVI_39821,880,10,3635,103,27.0,32.6
MVI_39851,1420,4,3240,68,40.3,35.2
MVI_39861,745,4,1254,29,21.2,35.2
MVI_39931,1270,2,4767,83,38.6,32.9
MVI_40131,1645,6,14702,158,50.5,32.6
MVI_40141,1600,7,6069,81,54.2,29.5
MVI_40152,1750,6,5502,119,56.6,30.9
MVI_40161,1490,5,6829,112,49.8,29.9
MVI_40162,1765,8,11008,206,52.6,33.6
MVI_40171,1150,1,5381,109,34.9,32.9
MVI_40172,2635,3,9426,205,74.5,35.4
MVI_40181,1700,0,7175,174,49.1,34.6
MVI_40191,2495,3,36041,508,76.8,32.5
MVI_40192,2195,3,28833,513,66.6,33.0
MVI_40201,925,3,10084,188,29.0,31.9
MVI_40204,1225,2,17913,293,38.5,31.8
MVI_40211,1950,0,5770,255,54.8,35.6
MVI_40212,1690,0,6398,276,49.2,34.4
MVI_40213,1790,0,5917,274,52.8,33.9
MVI_40241,2320,2,19351,481,71.7,32.4
MVI_40243,1265,3,10208,233,42.1,30.1
MVI_40244,1345,4,8373,225,41.8,32.2
MVI_40732,2120,0,12439,196,62.8,33.8
MVI_40751,1145,1,6967,97,35.1,32.6
MVI_40752,2025,5,10573,264,59.7,33.9
MVI_40871,1720,5,27022,106,54.7,31.4
MVI_40962,1875,5,6960,119,53.4,35.1
MVI_40963,1820,2,9289,211,52.2,34.9
MVI_40981,1995,2,9937,222,57.0,35.0
MVI_40991,1820,3,2767,96,50.8,35.9
MVI_40992,2160,3,3368,123,60.3,35.8
MVI_41063,1505,3,7636,227,44.5,33.8
MVI_41073,1825,3,9361,247,53.3,34.2
MVI_63521,2055,2,12900,179,58.6,35.1
MVI_63525,985,2,3234,48,29.1,33.8
MVI_63544,1160,9,1754,62,33.7,34.4
MVI_63552,1150,3,5738,191,34.6,33.3
MVI_63553,1405,2,7860,237,43.2,32.5
MVI_63554,1445,1,7578,236,43.7,33.1
MVI_63561,1285,3,7458,263,39.8,32.3
MVI_63562,1185,4,5354,189,36.4,32.5
MVI_63563,1390,3,7035,231,40.9,34.0
