video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20012,936,6,8546,71,23.7,39.5
MVI_20062,800,6,5189,42,17.3,46.1
MVI_20063,800,6,6199,65,18.5,43.3
MVI_20064,800,9,10782,132,18.5,43.1
MVI_39801,885,7,4671,100,18.6,47.5
MVI_39811,1070,5,861,16,21.9,49.0
MVI_39931,1270,2,4836,78,25.5,49.9
MVI_40141,1600,7,6319,50,32.7,48.9
MVI_40152,1750,6,5305,66,35.5,49.2
MVI_40191,2495,3,36397,390,51.1,48.8
MVI_40204,1225,2,22051,269,27.3,44.8
MVI_40241,2320,2,20884,389,47.1,49.3
MVI_40751,1145,1,6849,61,24.0,47.8
MVI_40962,1875,5,7624,146,38.2,49.1
MVI_40981,1995,2,10620,183,39.7,50.2
MVI_41073,1825,3,10541,219,37.7,48.5
MVI_63521,2055,2,14141,161,41.4,49.7
MVI_63552,1150,3,7593,170,26.1,44.0
MVI_63554,1445,1,10441,235,29.2,49.6
MVI_63561,1285,3,10979,292,28.2,45.5
