video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20012,936,6,8524,72,24.1,38.8
MVI_20062,800,6,5186,42,17.4,45.9
MVI_20063,800,6,6177,68,18.7,42.8
MVI_20064,800,9,10819,124,18.6,43.1
MVI_39801,885,7,4653,105,18.9,46.9
MVI_39811,1070,5,857,18,21.6,49.6
MVI_39931,1270,2,4831,81,25.9,49.0
MVI_40141,1600,7,6323,50,32.6,49.1
MVI_40152,1750,6,5304,66,35.5,49.3
MVI_40191,2495,3,36396,387,51.9,48.0
MVI_40204,1225,2,22061,273,28.3,43.3
MVI_40241,2320,2,20896,379,47.7,48.7
MVI_40751,1145,1,6848,63,24.2,47.3
MVI_40962,1875,5,7623,147,38.2,49.0
MVI_40981,1995,2,10615,184,40.0,49.8
MVI_41073,1825,3,10540,225,38.2,47.8
MVI_63521,2055,2,14137,161,41.6,49.4
MVI_63552,1150,3,7593,169,25.2,45.6
MVI_63554,1445,1,10433,239,29.3,49.3
MVI_63561,1285,3,10999,290,28.4,45.2
