video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20012,936,6,8530,70,26.7,35.1
MVI_20062,800,6,5185,41,18.9,42.4
MVI_20063,800,6,6186,65,20.1,39.8
MVI_20064,800,9,10828,124,21.6,37.0
MVI_39801,885,7,4650,105,21.4,41.3
MVI_39811,1070,5,856,18,21.2,50.4
MVI_39931,1270,2,4830,78,29.0,43.9
MVI_40141,1600,7,6319,50,34.3,46.7
MVI_40152,1750,6,5304,66,37.0,47.3
MVI_40191,2495,3,36398,387,63.8,39.1
MVI_40204,1225,2,22060,276,34.4,35.6
MVI_40241,2320,2,20895,380,54.5,42.6
MVI_40751,1145,1,6848,63,25.5,44.8
MVI_40962,1875,5,7623,147,42.5,44.1
MVI_40981,1995,2,10618,184,44.0,45.4
MVI_41073,1825,3,10545,223,41.0,44.5
MVI_63521,2055,2,14136,159,45.8,44.9
MVI_63552,1150,3,7597,168,27.9,41.3
MVI_63554,1445,1,10433,239,34.2,42.3
MVI_63561,1285,3,10987,293,31.9,40.2
