video,n_images,n_ignored_regions,n_det_boxes,n_tracks,seconds,fps
MVI_20011,664,7,5162,77,30.7,21.6
MVI_20012,936,6,7380,116,34.1,27.5
MVI_20032,437,5,1611,26,16.0,27.4
MVI_20033,784,5,4368,46,26.5,29.6
MVI_20034,800,5,7690,103,29.8,26.8
MVI_20035,800,7,11635,103,32.7,24.4
MVI_20051,906,5,8282,105,33.3,27.2
MVI_20052,694,6,8107,89,26.8,25.9
MVI_20061,800,6,6932,122,30.1,26.6
MVI_20062,800,6,6004,78,29.3,27.3
MVI_20063,800,6,4788,62,27.1,29.6
MVI_20064,800,9,7371,104,30.4,26.3
MVI_20065,1200,6,14196,157,61.8,19.4
MVI_39761,1660,6,3845,67,55.2,30.1
MVI_39771,570,5,2763,51,19.7,28.9
MVI_39781,1865,5,7893,170,56.4,33.1
MVI_39801,885,7,2839,97,29.1,30.4
MVI_39811,1070,5,646,34,30.5,35.1
MVI_39821,880,10,3589,105,28.7,30.7
MVI_39851,1420,4,3236,70,42.2,33.6
MVI_39861,745,4,1252,31,23.4,31.8
MVI_39931,1270,2,4759,86,40.0,31.8
MVI_40131,1645,6,14704,158,56.0,29.4
MVI_40141,1600,7,6064,83,50.0,32.0
MVI_40152,1750,6,5506,117,53.5,32.7
MVI_40161,1490,5,6831,111,48.7,30.6
MVI_40162,1765,8,11016,203,57.8,30.5
MVI_40171,1150,1,5385,108,37.7,30.5
MVI_40172,2635,3,9429,206,79.4,33.2
MVI_40181,1700,0,7168,177,52.4,32.5
MVI_40191,2495,3,36050,510,95.7,26.1
MVI_40192,2195,3,28825,513,81.1,27.1
MVI_40201,925,3,10082,188,35.8,25.8
MVI_40204,1225,2,17918,293,49.2,24.9
MVI_40211,1950,0,5769,257,59.7,32.7
MVI_40212,1690,0,6399,276,53.8,31.4
MVI_40213,1790,0,5920,274,55.1,32.5
MVI_40241,2320,2,19351,482,79.7,29.1
MVI_40243,1265,3,10205,233,45.4,27.8
MVI_40244,1345,4,8376,224,46.1,29.2
MVI_40732,2120,0,12445,196,65.5,32.4
MVI_40751,1145,1,6968,97,37.7,30.4
MVI_40752,2025,5,10558,268,64.4,31.5
MVI_40871,1720,5,27041,103,63.5,27.1
MVI_40962,1875,5,6955,121,56.6,33.1
MVI_40963,1820,2,9307,211,56.5,32.2
MVI_40981,1995,2,9934,224,60.9,32.8
MVI_40991,1820,3,2768,97,51.5,35.3
MVI_40992,2160,3,3372,125,61.5,35.1
MVI_41063,1505,3,7637,225,47.6,31.6
MVI_41073,1825,3,9358,248,57.1,32.0
MVI_63521,2055,2,12900,179,65.3,31.5
MVI_63525,985,2,3233,48,33.2,29.7
MVI_63544,1160,9,1754,62,38.4,30.2
MVI_63552,1150,3,5740,193,43.9,26.2
MVI_63553,1405,2,7861,237,53.6,26.2
MVI_63554,1445,1,7582,233,46.8,30.9
MVI_63561,1285,3,7458,264,44.9,28.6
MVI_63562,1185,4,5354,189,39.3,30.1
MVI_63563,1390,3,7034,232,46.3,30.0
