video,xml_file,n_frames_annotated,min_frame_num,max_frame_num,n_target_instances,n_tracks,n_occlusion_regions,n_ignored_regions,n_images,status,annot_coverage
MVI_20011,MVI_20011.xml,664,1,664,7655,53,1622,7,664,OK,1.0
MVI_20012,MVI_20012.xml,936,1,936,8608,41,2094,6,936,OK,1.0
MVI_20032,MVI_20032.xml,437,1,437,1657,9,0,5,437,OK,1.0
MVI_20033,MVI_20033.xml,784,1,784,5274,25,158,5,784,OK,1.0
MVI_20034,MVI_20034.xml,800,1,800,9934,47,1758,5,800,OK,1.0
MVI_20035,MVI_20035.xml,800,1,800,11855,65,1103,7,800,OK,1.0
MVI_20051,MVI_20051.xml,906,1,906,8934,51,1608,5,906,OK,1.0
MVI_20052,MVI_20052.xml,694,1,694,8359,43,2065,6,694,OK,1.0
MVI_20061,MVI_20061.xml,800,1,800,9256,48,1897,6,800,OK,1.0
MVI_20062,MVI_20062.xml,800,1,800,4462,27,631,6,800,OK,1.0
MVI_20063,MVI_20063.xml,800,1,800,6392,29,1181,6,800,OK,1.0
MVI_20064,MVI_20064.xml,800,1,800,14184,50,4479,9,800,OK,1.0
MVI_20065,MVI_20065.xml,1200,1,1200,17156,77,3666,6,1200,OK,1.0
MVI_39761,MVI_39761.xml,1323,1,1660,3718,34,76,6,1660,OK,0.797
MVI_39771,MVI_39771.xml,570,1,570,3605,27,187,5,570,OK,1.0
MVI_39781,MVI_39781.xml,1861,1,1865,7647,50,2800,5,1865,OK,0.9979
MVI_39801,MVI_39801.xml,885,1,885,4853,43,2179,7,885,OK,1.0
MVI_39811,MVI_39811.xml,500,1,786,599,9,243,5,1070,OK,0.4673
MVI_39821,MVI_39821.xml,880,1,880,4195,34,1792,10,880,OK,1.0
MVI_39851,MVI_39851.xml,1286,1,1420,5126,37,395,4,1420,OK,0.9056
MVI_39861,MVI_39861.xml,745,1,745,2394,14,1399,4,745,OK,1.0
MVI_39931,MVI_39931.xml,1082,1,1270,3931,27,1008,2,1270,OK,0.852
MVI_40131,MVI_40131.xml,1645,1,1645,15324,67,2779,6,1645,OK,1.0
MVI_40141,MVI_40141.xml,1600,1,1600,6222,33,192,7,1600,OK,1.0
MVI_40152,MVI_40152.xml,1746,1,1750,5612,49,1560,6,1750,OK,0.9977
MVI_40161,MVI_40161.xml,1490,1,1490,6625,65,1344,5,1490,OK,1.0
MVI_40162,MVI_40162.xml,1726,1,1765,11261,89,3106,8,1765,OK,0.9779
MVI_40171,MVI_40171.xml,1150,1,1150,8928,44,7160,1,1150,OK,1.0
MVI_40172,MVI_40172.xml,2635,1,2635,18142,102,9845,3,2635,OK,1.0
MVI_40181,MVI_40181.xml,1700,1,1700,7124,86,2528,0,1700,OK,1.0
MVI_40191,MVI_40191.xml,2495,1,2495,38401,340,2229,3,2495,OK,1.0
MVI_40192,MVI_40192.xml,2195,1,2195,28183,313,1021,3,2195,OK,1.0
MVI_40201,MVI_40201.xml,925,1,925,10925,127,3496,3,925,OK,1.0
MVI_40204,MVI_40204.xml,1225,1,1225,22428,179,6801,2,1225,OK,1.0
MVI_40211,MVI_40211.xml,1923,1,1950,6892,215,1991,0,1950,OK,0.9862
MVI_40212,MVI_40212.xml,1690,1,1690,7879,214,2074,0,1690,OK,1.0
MVI_40213,MVI_40213.xml,1782,1,1790,7702,231,2031,0,1790,OK,0.9955
MVI_40241,MVI_40241.xml,2320,1,2320,21347,338,5279,2,2320,OK,1.0
MVI_40243,MVI_40243.xml,1265,1,1265,10548,173,2177,3,1265,OK,1.0
MVI_40244,MVI_40244.xml,1345,1,1345,8811,162,1716,4,1345,OK,1.0
MVI_40732,MVI_40732.xml,2120,1,2120,11512,72,3250,0,2120,OK,1.0
MVI_40751,MVI_40751.xml,1145,1,1145,7386,41,4498,1,1145,OK,1.0
MVI_40752,MVI_40752.xml,2025,1,2025,16852,193,7362,5,2025,OK,1.0
MVI_40871,MVI_40871.xml,1720,1,1720,36625,37,29253,5,1720,OK,1.0
MVI_40962,MVI_40962.xml,1875,1,1875,7580,90,22,5,1875,OK,1.0
MVI_40963,MVI_40963.xml,1820,1,1820,11639,144,1808,2,1820,OK,1.0
MVI_40981,MVI_40981.xml,1995,1,1995,10349,121,32,2,1995,OK,1.0
MVI_40991,MVI_40991.xml,1667,1,1820,4482,28,2268,3,1820,OK,0.9159
MVI_40992,MVI_40992.xml,2122,1,2160,5062,45,3175,3,2160,OK,0.9824
MVI_41063,MVI_41063.xml,1505,1,1505,10048,167,2935,3,1505,OK,1.0
MVI_41073,MVI_41073.xml,1825,1,1825,10295,175,2518,3,1825,OK,1.0
MVI_63521,MVI_63521.xml,2055,1,2055,15088,90,1385,2,2055,OK,1.0
MVI_63525,MVI_63525.xml,985,1,985,3470,32,11,2,985,OK,1.0
MVI_63544,MVI_63544.xml,956,1,1160,1963,17,1548,9,1160,OK,0.8241
MVI_63552,MVI_63552.xml,1150,1,1150,7113,152,3000,3,1150,OK,1.0
MVI_63553,MVI_63553.xml,1405,1,1405,10775,190,5369,2,1405,OK,1.0
MVI_63554,MVI_63554.xml,1445,1,1445,9847,188,4555,1,1445,OK,1.0
MVI_63561,MVI_63561.xml,1285,1,1285,9803,188,4722,3,1285,OK,1.0
MVI_63562,MVI_63562.xml,1185,1,1185,6680,138,2429,4,1185,OK,1.0
MVI_63563,MVI_63563.xml,1390,1,1390,9564,177,4410,3,1390,OK,1.0
