video,region_idx,left,top,width,height
MVI_20011,0,778.75,24.75,181.75,63.5
MVI_20011,1,930.75,94.75,29.75,33.5
MVI_20011,2,523.75,13.75,178.5,37.5
MVI_20011,3,207.75,34.75,270.5,94.5
MVI_20011,4,182.75,131.75,145.5,117.5
MVI_20011,5,0.5,231.75,88.75,121.5
MVI_20011,6,123.75,151.75,57.5,97.5
MVI_20012,0,497.75,0.5,462.75,22.75
MVI_20012,1,820.75,28.75,139.75,50.5
MVI_20012,2,190.75,48.75,269.5,46.5
MVI_20012,3,356.75,0.5,78.5,45.75
MVI_20012,4,0.5,216.75,70.75,112.5
MVI_20012,5,106.75,98.75,191.5,120.5
MVI_20032,0,716.75,55.75,243.75,64.5
MVI_20032,1,877.75,123.75,82.75,55.5
MVI_20032,2,455.75,31.75,155.5,53.5
MVI_20032,3,120.75,62.75,227.5,101.5
MVI_20032,4,46.75,166.75,102.5,80.5
MVI_20033,0,458.75,0.5,159.5,53.75
MVI_20033,1,710.75,29.75,239.5,69.5
MVI_20033,2,824.75,101.75,129.5,55.5
MVI_20033,3,126.75,39.75,223.5,86.5
MVI_20033,4,38.75,126.75,186.5,111.5
MVI_20034,0,455.75,0.5,189.5,55.75
MVI_20034,1,718.75,32.75,241.75,60.5
MVI_20034,2,874.75,97.75,85.75,42.5
MVI_20034,3,133.75,37.75,219.5,94.5
MVI_20034,4,45.75,134.75,165.5,112.5
MVI_20035,0,450.75,0.5,183.5,60.0
MVI_20035,1,716.75,26.75,243.75,57.5
MVI_20035,2,877.75,87.75,82.75,51.5
MVI_20035,3,0.5,123.75,141.75,152.5
MVI_20035,4,144.75,85.75,97.5,114.5
MVI_20035,5,244.75,42.75,102.5,65.5
MVI_20035,6,0.5,279.75,27.75,25.5
MVI_20051,0,807.75,0.5,146.5,92.75
MVI_20051,1,543.75,0.5,173.5,58.75
MVI_20051,2,0.5,180.75,160.75,100.5
MVI_20051,3,122.75,116.75,266.5,74.5
MVI_20051,4,322.75,60.75,107.5,48.5
MVI_20052,0,542.75,0.5,194.5,27.75
MVI_20052,1,832.75,0.5,127.75,53.75
MVI_20052,2,256.75,42.75,155.5,75.5
MVI_20052,3,135.75,88.75,120.5,132.5
MVI_20052,4,259.75,123.75,109.5,71.5
MVI_20052,5,0.5,166.75,131.75,107.5
MVI_20061,0,513.75,13.75,185.5,46.5
MVI_20061,1,839.75,46.75,114.5,62.5
MVI_20061,2,298.75,59.75,112.5,121.5
MVI_20061,3,92.75,94.75,203.5,171.5
MVI_20061,4,0.5,246.75,90.75,282.5
MVI_20061,5,93.75,270.75,136.5,108.5
MVI_20062,0,517.75,0.5,165.0,33.75
MVI_20062,1,824.75,30.75,135.75,54.5
MVI_20062,2,323.75,36.75,107.5,76.5
MVI_20062,3,97.75,107.75,336.5,56.5
MVI_20062,4,86.75,167.75,153.5,65.5
MVI_20062,5,0.5,234.75,155.75,103.5
MVI_20063,0,851.75,14.75,108.75,48.5
MVI_20063,1,86.75,82.75,295.5,44.5
MVI_20063,2,316.75,20.75,111.5,60.5
MVI_20063,3,135.75,130.75,119.5,84.5
MVI_20063,4,85.75,183.75,47.5,69.5
MVI_20063,5,0.5,214.75,84.75,139.5
MVI_20064,0,511.75,0.5,269.5,27.75
MVI_20064,1,852.75,27.75,101.5,23.5
MVI_20064,2,895.75,54.75,64.75,20.5
MVI_20064,3,0.5,215.75,101.75,97.5
MVI_20064,4,106.75,89.75,56.5,156.5
MVI_20064,5,166.75,137.75,49.5,70.5
MVI_20064,6,218.75,90.75,35.5,88.5
MVI_20064,7,257.75,71.75,87.5,54.5
MVI_20064,8,347.75,21.75,77.5,68.5
MVI_20065,0,513.75,0.5,238.5,23.75
MVI_20065,1,857.75,15.75,102.75,46.5
MVI_20065,2,167.75,77.75,275.5,74.5
MVI_20065,3,329.75,10.75,104.5,64.5
MVI_20065,4,0.5,207.75,102.75,263.5
MVI_20065,5,104.75,155.75,155.5,147.5
MVI_39761,0,0.5,209.75,59.75,61.5
MVI_39761,1,201.75,167.75,42.5,35.5
MVI_39761,2,445.75,100.75,220.5,51.5
MVI_39761,3,746.75,124.75,72.5,80.5
MVI_39761,4,822.75,157.75,71.5,86.5
MVI_39761,5,897.75,189.75,57.5,92.5
MVI_39771,0,413.75,88.75,210.5,46.5
MVI_39771,1,672.75,105.75,169.5,41.5
MVI_39771,2,829.75,156.75,65.5,88.5
MVI_39771,3,298.75,102.75,45.5,53.5
MVI_39771,4,218.75,123.75,79.5,69.5
MVI_39781,0,0.5,0.5,436.75,43.75
MVI_39781,1,0.5,47.75,164.75,31.5
MVI_39781,2,428.75,45.75,66.5,31.5
MVI_39781,3,546.75,65.75,87.5,51.5
MVI_39781,4,709.75,89.75,250.75,91.5
MVI_39801,0,17.75,101.75,187.5,34.5
MVI_39801,1,19.75,139.75,98.5,20.5
MVI_39801,2,270.75,100.75,41.5,37.5
MVI_39801,3,829.75,159.75,130.75,62.5
MVI_39801,4,642.75,136.75,158.5,50.5
MVI_39801,5,371.75,104.75,113.5,45.5
MVI_39801,6,487.75,116.75,128.5,47.5
MVI_39811,0,73.75,71.75,299.5,46.5
MVI_39811,1,102.75,124.75,145.5,30.5
MVI_39811,2,435.75,91.75,201.5,48.5
MVI_39811,3,685.75,121.75,158.5,50.5
MVI_39811,4,865.75,142.75,89.5,49.5
MVI_39821,0,0.5,83.75,74.75,138.5
MVI_39821,1,166.75,52.75,165.5,41.5
MVI_39821,2,163.75,96.75,102.5,28.5
MVI_39821,3,870.75,129.75,79.5,65.5
MVI_39821,4,785.75,119.75,81.5,58.5
MVI_39821,5,668.75,96.75,65.5,54.5
MVI_39821,6,620.75,92.75,45.5,41.5
MVI_39821,7,577.75,88.75,40.5,37.5
MVI_39821,8,532.75,83.75,42.5,34.5
MVI_39821,9,498.75,80.75,31.5,31.5
MVI_39851,0,391.75,0.5,351.5,44.75
MVI_39851,1,806.75,61.75,56.5,80.5
MVI_39851,2,176.75,27.75,215.5,26.5
MVI_39851,3,181.75,58.75,88.5,44.5
MVI_39861,0,64.75,103.75,84.5,138.5
MVI_39861,1,243.75,67.75,107.5,37.5
MVI_39861,2,646.75,92.75,99.5,37.5
MVI_39861,3,862.75,116.75,83.5,55.5
MVI_39931,0,0.5,0.5,245.75,56.75
MVI_39931,1,0.5,61.75,145.75,28.5
MVI_40131,0,0.5,74.75,144.75,93.5
MVI_40131,1,349.75,0.5,296.5,81.75
MVI_40131,2,745.75,42.75,214.75,95.5
MVI_40131,3,5.75,169.75,76.5,29.5
MVI_40131,4,147.75,18.75,125.5,67.5
MVI_40131,5,147.75,88.75,79.5,20.5
MVI_40141,0,438.75,82.75,140.5,48.5
MVI_40141,1,656.75,134.75,148.5,66.5
MVI_40141,2,753.75,201.75,206.75,56.5
MVI_40141,3,848.75,257.75,111.75,72.5
MVI_40141,4,0.5,188.75,142.75,108.5
MVI_40141,5,176.75,152.75,96.5,50.5
MVI_40141,6,275.75,123.75,64.5,43.5
MVI_40152,0,741.75,87.75,212.5,62.5
MVI_40152,1,0.5,211.75,125.75,114.5
MVI_40152,2,127.75,194.75,59.5,84.5
MVI_40152,3,187.75,170.75,165.5,67.5
MVI_40152,4,354.75,159.75,66.5,42.5
MVI_40152,5,478.75,126.75,181.5,37.5
MVI_40161,0,0.5,0.5,905.75,67.75
MVI_40161,1,566.75,70.75,388.5,72.5
MVI_40161,2,5.75,72.75,162.5,26.5
MVI_40161,3,0.5,106.75,76.75,21.5
MVI_40161,4,452.75,68.75,117.5,31.5
MVI_40162,0,0.5,41.75,293.75,43.5
MVI_40162,1,0.5,88.75,210.0,27.5
MVI_40162,2,0.5,120.75,94.75,21.5
MVI_40162,3,298.75,51.75,167.5,43.5
MVI_40162,4,509.75,68.75,90.5,38.5
MVI_40162,5,672.75,80.75,282.5,76.5
MVI_40162,6,702.75,36.75,257.75,42.5
MVI_40162,7,384.75,27.75,281.5,26.5
MVI_40171,0,593.75,0.5,366.75,42.75
MVI_40172,0,54.75,60.75,119.5,37.5
MVI_40172,1,768.75,0.5,191.75,71.75
MVI_40172,2,365.75,14.75,233.5,39.5
MVI_40191,0,0.5,0.5,251.75,31.75
MVI_40191,1,401.75,17.75,282.5,44.5
MVI_40191,2,327.75,63.75,414.5,32.5
MVI_40192,0,0.5,0.5,221.75,34.75
MVI_40192,1,407.75,19.75,311.5,29.5
MVI_40192,2,310.75,52.75,489.5,40.5
MVI_40201,0,0.5,0.5,426.75,53.75
MVI_40201,1,0.5,57.75,213.75,23.5
MVI_40201,2,0.5,84.75,85.75,15.5
MVI_40204,0,0.5,0.5,247.75,13.75
MVI_40204,1,0.5,17.75,157.75,19.5
MVI_40241,0,606.75,0.5,353.75,32.75
MVI_40241,1,427.75,35.75,532.75,50.5
MVI_40243,0,0.5,0.5,523.75,65.75
MVI_40243,1,671.75,26.75,288.75,45.5
MVI_40243,2,512.75,73.75,447.75,46.5
MVI_40244,0,0.5,0.5,426.75,57.75
MVI_40244,1,599.75,0.5,360.75,73.75
MVI_40244,2,460.75,75.75,499.75,45.5
MVI_40244,3,0.5,220.0,50.0,250.0
MVI_40751,0,874.75,253.75,85.75,52.5
MVI_40752,0,653.75,0.5,306.75,58.75
MVI_40752,1,895.75,61.75,57.5,49.5
MVI_40752,2,0.5,47.75,186.75,76.5
MVI_40752,3,191.75,25.75,161.5,59.5
MVI_40752,4,355.75,0.5,223.5,44.75
MVI_40871,0,0.5,0.5,960.0,92.75
MVI_40871,1,0.5,97.75,380.75,13.5
MVI_40871,2,81.75,113.75,185.5,33.5
MVI_40871,3,516.75,98.75,443.75,33.5
MVI_40871,4,731.75,136.75,228.75,38.5
MVI_40962,0,393.75,0.5,263.5,13.75
MVI_40962,1,0.5,0.5,215.75,81.75
MVI_40962,2,690.75,0.5,269.75,65.75
MVI_40962,3,790.75,70.75,169.75,115.5
MVI_40962,4,868.75,189.75,91.75,119.5
MVI_40963,0,6.75,8.75,159.5,56.5
MVI_40963,1,924.75,0.5,35.75,23.75
MVI_40981,0,6.75,6.75,246.5,43.5
MVI_40981,1,9.75,55.75,174.5,50.5
MVI_40991,0,0.5,67.75,247.75,34.5
MVI_40991,1,0.5,106.75,141.75,29.5
MVI_40991,2,0.5,417.75,236.75,122.75
MVI_40992,0,0.5,417.75,236.75,122.75
MVI_40992,1,0.5,78.75,352.75,50.5
MVI_40992,2,0.5,134.75,231.75,23.5
MVI_41063,0,0.5,63.75,106.75,43.5
MVI_41063,1,0.5,362.75,123.75,177.75
MVI_41063,2,127.75,434.75,194.5,105.75
MVI_41073,0,901.75,29.75,58.75,52.5
MVI_41073,1,879.75,395.75,80.75,144.75
MVI_41073,2,749.75,452.75,126.5,87.75
MVI_63521,0,91.75,0.5,108.5,58.75
MVI_63521,1,5.75,33.75,60.5,73.5
MVI_63525,0,0.5,16.75,48.75,33.5
MVI_63525,1,77.75,0.5,70.5,42.75
MVI_63544,0,708.75,0.5,251.75,19.75
MVI_63544,1,0.5,172.75,65.75,47.5
MVI_63544,2,71.75,141.75,99.5,50.5
MVI_63544,3,175.75,112.75,91.5,42.5
MVI_63544,4,384.75,64.75,47.5,33.5
MVI_63544,5,435.75,43.75,45.5,34.5
MVI_63544,6,483.75,32.75,40.5,26.5
MVI_63544,7,528.75,19.75,43.5,22.5
MVI_63544,8,575.75,0.5,41.5,29.75
MVI_63552,0,0.5,12.75,960.0,33.5
MVI_63552,1,0.5,50.75,85.75,128.5
MVI_63552,2,88.75,77.75,106.5,87.5
MVI_63553,0,0.5,71.75,90.75,45.5
MVI_63553,1,889.75,390.75,70.75,143.5
MVI_63554,0,0.5,63.75,108.75,67.5
MVI_63561,0,885.75,391.75,74.75,143.5
MVI_63561,1,700.75,0.5,259.75,52.75
MVI_63561,2,518.75,38.75,180.5,33.5
MVI_63562,0,784.75,483.75,175.75,56.75
MVI_63562,1,871.75,395.75,88.75,81.5
MVI_63562,2,792.75,9.75,167.75,46.5
MVI_63562,3,903.75,79.75,56.75,52.5
MVI_63563,0,805.25,11.75,155.25,30.5
MVI_63563,1,865.75,46.75,94.75,27.5
MVI_63563,2,917.75,77.75,42.75,33.5
