video,camera_state,sence_weather
MVI_20011,unstable,sunny
MVI_20012,unstable,sunny
MVI_20032,unstable,sunny
MVI_20033,unstable,sunny
MVI_20034,unstable,sunny
MVI_20035,unstable,sunny
MVI_20051,unstable,sunny
MVI_20052,unstable,sunny
MVI_20061,unstable,sunny
MVI_20062,unstable,sunny
MVI_20063,unstable,sunny
MVI_20064,unstable,sunny
MVI_20065,unstable,sunny
MVI_39761,stable,night
MVI_39771,stable,night
MVI_39781,stable,night
MVI_39801,unstable,night
MVI_39811,unstable,night
MVI_39821,unstable,night
MVI_39851,unstable,night
MVI_39861,unstable,night
MVI_39931,unstable,cloudy
MVI_40131,unstable,cloudy
MVI_40141,stable,cloudy
MVI_40152,unstable,cloudy
MVI_40161,unstable,cloudy
MVI_40162,unstable,cloudy
MVI_40171,unstable,cloudy
MVI_40172,unstable,cloudy
MVI_40181,stable,cloudy
MVI_40191,unstable,cloudy
MVI_40192,unstable,cloudy
MVI_40201,stable,cloudy
MVI_40204,stable,cloudy
MVI_40211,unstable,cloudy
MVI_40212,unstable,cloudy
MVI_40213,unstable,cloudy
MVI_40241,stable,cloudy
MVI_40243,stable,cloudy
MVI_40244,stable,cloudy
MVI_40732,stable,night
MVI_40751,stable,night
MVI_40752,stable,night
MVI_40871,unstable,rainy
MVI_40962,stable,night
MVI_40963,stable,night
MVI_40981,stable,night
MVI_40991,unstable,night
MVI_40992,stable,night
MVI_41063,stable,sunny
MVI_41073,stable,sunny
MVI_63521,stable,rainy
MVI_63525,stable,rainy
MVI_63544,stable,rainy
MVI_63552,unstable,rainy
MVI_63553,unstable,rainy
MVI_63554,unstable,rainy
MVI_63561,unstable,rainy
MVI_63562,unstable,rainy
MVI_63563,unstable,rainy
