video,frame,track_id,bb_left,bb_top,bb_width,bb_height,cx,cy,area,vehicle_type,orientation,speed,trajectory_length,truncation_ratio,occlusion_ratio,visibility,occ_ratio_by_vehicle,occ_ratio_by_background,occlusion_source,n_occlusion_regions,occluder_ids,occlusion_status_raw,frame_density
MVI_20011,1,1,592.75,378.8,160.05,162.2,672.775,459.9,25960.11,car,18.488,6.859,5.0,0.1,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,1,2,557.65,120.98,47.2,43.06,581.25,142.51,2032.4320000000002,car,19.398,1.5055,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,1,3,545.2,88.27,35.25,30.08,562.825,103.31,1060.32,car,2.7525,0.5206,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,7
MVI_20011,1,4,508.35,67.5,28.0,25.925,522.35,80.4625,725.9,car,349.06,0.52707,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,1,5,553.0,70.095,29.55,19.695,567.775,79.9425,581.98725,car,58.543,0.49822,151.0,0.0,0.07169229222805132,0.9283077077719487,0.07169229222805132,0.0,vehicle,1,3,,7
MVI_20011,1,6,731.1,114.23,52.4,39.95,757.3000000000001,134.205,2093.38,car,227.87,2.2585,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,1,7,902.15,250.12,58.85,107.99,931.5749999999999,304.115,6355.211499999999,car,197.29,12.115,157.0,0.3583,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,2,1,594.2,391.81,161.5,149.19,674.95,466.405,24094.185,car,18.488,6.859,5.0,0.2,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,2,2,557.7,121.87,48.1,44.12,581.75,143.93,2122.172,car,19.398,1.5055,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,2,3,545.0,88.53,35.7,30.6,562.85,103.83,1092.42,car,2.7525,0.5206,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,7
MVI_20011,2,4,508.15,67.76,28.2,26.44,522.25,80.98,745.6080000000001,car,349.06,0.52707,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,2,5,553.35,70.185,29.7,20.035,568.2,80.2025,595.0395,car,58.543,0.49822,151.0,0.0,0.07767803650009786,0.9223219634999021,0.07767803650009786,0.0,vehicle,1,3,,7
MVI_20011,2,6,729.85,112.94,51.55,39.5,755.625,132.69,2036.225,car,227.87,2.2585,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,2,7,894.95,238.56,66.05,107.98,927.975,292.55,7132.079,car,197.29,12.115,157.0,0.27642,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,3,1,598.55,406.26,162.95,134.74,680.025,473.63,21955.883,car,35.066,8.8334,5.0,0.3,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,3,2,557.75,122.76,49.0,45.18,582.25,145.35,2213.82,car,19.398,1.5055,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,3,3,544.85,88.79,36.15,31.12,562.9250000000001,104.35000000000001,1124.988,car,8.2072,0.52538,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,7
MVI_20011,3,4,508.0,68.02,28.35,26.96,522.175,81.5,764.316,car,351.79,0.52538,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,3,5,553.65,70.27,29.95,20.385,568.625,80.46249999999999,610.53075,car,58.543,0.49822,151.0,0.0,0.08354656993116219,0.9164534300688378,0.08354656993116219,0.0,vehicle,1,3,,7
MVI_20011,3,6,728.65,111.64,50.7,39.07,754.0,131.175,1980.8490000000002,car,227.01,2.2217,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,3,7,884.8,234.22,76.2,99.31,922.9,283.875,7567.4220000000005,car,210.33,10.05,157.0,0.22894,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,4,1,595.65,422.17,171.6,118.83,681.4499999999999,481.58500000000004,20391.228,car,10.159,8.0792,5.0,0.4,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,4,2,557.75,123.65,49.9,46.24,582.7,146.77,2307.376,car,17.583,1.4896,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,4,3,544.65,89.05,36.6,31.64,562.9499999999999,104.87,1158.0240000000001,car,2.7525,0.5206,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,7
MVI_20011,4,4,507.8,68.28,28.55,27.48,522.075,82.02,784.5540000000001,car,349.11,0.52953,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,4,5,554.0,70.355,30.1,20.73,569.05,80.72,623.9730000000001,car,58.789,0.49692,151.0,0.0,0.08887203452713482,0.9111279654728652,0.08887203452713482,0.0,vehicle,1,3,,7
MVI_20011,4,6,727.45,110.33,49.8,38.65,752.35,129.655,1924.7699999999998,car,227.44,2.24,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,4,7,880.5,225.54,80.5,103.65,920.75,277.365,8343.825,car,198.29,6.8511,157.0,0.14796,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,5,1,602.9,440.96,160.05,100.04,682.925,490.97999999999996,16011.402000000002,car,8.9202,9.5126,5.0,0.5,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,5,2,557.8,124.54,50.8,47.3,583.1999999999999,148.19,2402.8399999999997,car,19.461,1.5007,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,5,3,544.5,89.31,37.0,32.15,563.0,105.385,1189.55,car,5.5187,0.51991,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,7
MVI_20011,5,4,507.65,68.54,28.7,28.0,522.0,82.54,803.6,car,351.79,0.52538,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,5,5,554.35,70.44,30.25,21.08,569.475,80.97999999999999,637.67,car,58.543,0.49822,151.0,0.0,0.09409490802452646,0.9059050919754735,0.09409490802452646,0.0,vehicle,1,3,,7
MVI_20011,5,6,726.25,109.04,48.9,38.21,750.7,128.145,1868.469,car,227.49,2.2383,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,5,7,871.8,221.21,89.2,94.97,916.4,268.695,8471.324,car,206.63,9.7045,157.0,0.13306,0.0,1.0,0.0,0.0,none,0,,,7
MVI_20011,6,2,557.85,125.43,51.7,48.36,583.7,149.61,2500.212,car,19.398,1.5055,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,6
MVI_20011,6,3,544.35,89.565,37.4,32.675,563.0500000000001,105.9025,1222.0449999999998,car,5.5187,0.51991,105.0,0.0,0.0,1.0,0.0,0.0,none,0,,1,6
MVI_20011,6,4,507.45,68.8,28.9,28.515,521.9,83.0575,824.0835,car,349.06,0.52707,132.0,0.0,0.0,1.0,0.0,0.0,none,0,,,6
MVI_20011,6,5,554.7,70.53,30.45,21.42,569.9250000000001,81.24000000000001,652.239,car,59.982,0.51971,151.0,0.0,0.0989119785845373,0.9010880214154627,0.0989119785845373,0.0,vehicle,1,3,,6
MVI_20011,6,6,725.0,107.74,48.1,37.78,749.05,126.63,1817.218,car,227.44,2.24,91.0,0.0,0.0,1.0,0.0,0.0,none,0,,,6
MVI_20011,6,7,866.0,213.97,95.0,92.09,913.5,260.015,8748.550000000001,car,198.48,9.1469,157.0,0.10354,0.0,1.0,0.0,0.0,none,0,,,6
MVI_20011,7,2,557.9,126.32,52.55,49.42,584.175,151.03,2597.0209999999997,car,18.495,1.4973,72.0,0.0,0.0,1.0,0.0,0.0,none,0,,,6
