video,track_id,seg_id,start_frame,end_frame,length_frames,duration_s,bucket,mean_occlusion_ratio,path_len_px,net_disp_px
MVI_20011,28,0,349,349,1,0.04,short,0.9534,0.0,0.0
MVI_20011,28,1,355,369,15,0.6,medium,0.9597,28.35,28.28
MVI_20011,28,2,381,401,21,0.84,medium,0.9614,25.18,22.1
MVI_20011,28,3,409,420,12,0.48,short,0.9667,7.79,7.32
MVI_20011,40,0,526,529,4,0.16,short,0.9559,4.7,4.7
MVI_20011,40,1,548,571,24,0.96,medium,0.952,22.45,19.05
MVI_20012,3,0,6,11,6,0.24,short,0.9788,2.16,1.78
MVI_20012,3,1,65,68,4,0.16,short,0.9034,2.14,2.14
MVI_20012,3,2,106,123,18,0.72,medium,0.957,12.93,6.46
MVI_20012,14,0,31,40,10,0.4,short,0.9719,2.4,2.03
MVI_20012,38,0,526,554,29,1.16,medium,0.9434,43.97,15.04
MVI_20034,48,0,296,314,19,0.76,medium,0.9509,1.78,0.84
MVI_20062,12,0,2,5,4,0.16,short,0.9151,1.2,1.2
MVI_20062,12,1,10,44,35,1.4,medium,0.9689,13.65,13.65
MVI_20062,12,2,64,69,6,0.24,short,0.9044,2.64,2.64
MVI_20063,13,0,380,390,11,0.44,short,0.9693,14.59,14.59
MVI_20064,39,0,751,758,8,0.32,short,0.938,5.21,5.2
MVI_39781,30,0,980,995,16,0.64,medium,0.9896,44.36,43.88
MVI_39781,37,0,1097,1111,15,0.6,medium,0.9782,45.62,45.54
MVI_39781,48,0,1598,1613,16,0.64,medium,0.993,45.76,20.83
MVI_39801,6,0,82,90,9,0.36,short,0.9871,136.19,136.19
MVI_39801,7,0,113,114,2,0.08,short,0.9604,14.26,14.26
MVI_39801,7,1,121,122,2,0.08,short,0.969,14.25,14.25
MVI_39801,14,0,299,306,8,0.32,short,0.9885,115.99,115.99
MVI_39801,19,0,341,342,2,0.08,short,0.9536,12.05,12.05
MVI_39801,21,0,394,395,2,0.08,short,0.9799,13.06,13.06
MVI_39801,27,0,508,515,8,0.32,short,0.9887,121.97,121.88
MVI_39801,33,0,594,605,12,0.48,short,0.9791,145.72,145.63
MVI_39801,35,0,670,682,13,0.52,medium,0.9802,148.79,148.24
MVI_39801,40,0,771,782,12,0.48,short,0.9756,127.3,127.15
MVI_39811,3,0,41,48,8,0.32,short,0.9846,115.01,114.62
MVI_39811,7,0,582,583,2,0.08,short,0.9348,22.27,22.27
MVI_39811,8,0,664,665,2,0.08,short,0.9567,17.16,17.16
MVI_39811,9,0,777,778,2,0.08,short,0.9394,25.19,25.19
MVI_39821,15,0,467,468,2,0.08,short,0.9887,11.28,11.28
MVI_39821,17,0,481,519,39,1.56,long,0.9506,64.52,63.18
MVI_39821,17,1,524,588,65,2.6,long,0.9664,339.11,338.2
MVI_39821,17,2,593,611,19,0.76,medium,0.9672,261.82,261.79
MVI_39821,18,0,507,509,3,0.12,short,0.9734,13.84,13.84
MVI_39821,22,0,617,624,8,0.32,short,0.9689,71.74,71.69
MVI_39821,23,0,621,721,101,4.04,long,0.9675,701.15,700.12
MVI_39821,26,0,704,706,3,0.12,short,0.981,18.28,18.28
MVI_39821,27,0,736,741,6,0.24,short,0.949,49.94,49.76
MVI_39821,30,0,784,786,3,0.12,short,0.9893,17.48,17.48
MVI_39821,33,0,868,872,5,0.2,short,0.951,47.9,47.87
MVI_39861,1,0,212,219,8,0.32,short,0.9485,26.06,24.89
MVI_39861,3,0,26,30,5,0.2,short,0.927,32.45,32.45
MVI_39861,3,1,84,87,4,0.16,short,0.9498,18.11,18.05
MVI_39861,4,0,1,1,1,0.04,short,0.9636,0.0,0.0
MVI_39861,4,1,48,71,24,0.96,medium,0.9937,436.03,433.69
MVI_39861,5,0,171,182,12,0.48,short,0.8906,17.77,17.56
MVI_39861,5,1,272,275,4,0.16,short,0.9842,35.38,35.38
MVI_39861,9,0,580,591,12,0.48,short,0.8943,19.69,19.59
MVI_39861,9,1,680,683,4,0.16,short,0.988,39.85,39.57
MVI_39861,11,0,653,658,6,0.24,short,0.9663,10.43,10.37
MVI_39861,11,1,740,743,4,0.16,short,0.9839,42.45,41.85
MVI_39861,12,0,628,635,8,0.32,short,0.9578,18.03,17.81
MVI_39861,12,1,695,695,1,0.04,short,0.9988,0.0,0.0
MVI_39861,12,2,700,701,2,0.08,short,0.9619,18.96,18.96
MVI_39931,4,0,162,181,20,0.8,medium,0.9767,56.15,55.31
MVI_39931,12,0,196,198,3,0.12,short,0.9255,18.55,18.55
MVI_39931,14,0,348,358,11,0.44,short,0.9755,57.8,57.55
MVI_39931,17,0,428,431,4,0.16,short,0.965,14.21,14.21
MVI_39931,19,0,603,611,9,0.36,short,0.9605,27.36,27.2
MVI_39931,21,0,975,976,2,0.08,short,0.9457,2.36,2.36
MVI_39931,25,0,1172,1181,10,0.4,short,0.9633,39.05,38.97
MVI_40131,1,0,192,252,61,2.44,long,0.9928,17.72,16.52
MVI_40131,19,0,722,775,54,2.16,long,0.9942,3.08,3.08
MVI_40131,35,0,759,808,50,2.0,long,0.9948,18.83,18.25
MVI_40152,26,0,597,627,31,1.24,medium,0.9386,78.54,78.27
MVI_40152,46,0,1611,1619,9,0.36,short,0.9723,22.05,21.77
MVI_40152,48,0,1698,1709,12,0.48,short,0.966,27.07,26.92
MVI_40152,48,1,1715,1719,5,0.2,short,0.9399,12.83,12.83
MVI_40152,48,2,1725,1727,3,0.12,short,0.9578,7.31,7.25
MVI_40162,39,0,925,949,25,1.0,medium,0.9622,43.4,43.27
MVI_40162,54,0,1148,1169,22,0.88,medium,0.9893,34.87,33.75
MVI_40162,55,0,1189,1198,10,0.4,short,0.97,14.25,14.21
MVI_40162,58,0,1232,1241,10,0.4,short,0.9575,18.02,17.84
MVI_40162,62,0,1292,1301,10,0.4,short,0.9718,19.64,19.48
MVI_40171,9,0,154,154,1,0.04,short,0.9898,0.0,0.0
MVI_40171,9,1,158,167,10,0.4,short,0.7106,223.23,223.21
MVI_40171,26,0,641,643,3,0.12,short,0.7377,27.15,27.15
MVI_40171,41,0,722,787,66,2.64,long,0.9919,1.43,1.43
MVI_40171,41,1,1089,1126,38,1.52,long,0.9954,2.16,2.16
MVI_40171,42,0,126,139,14,0.56,medium,0.9068,1.19,1.19
MVI_40171,42,1,150,150,1,0.04,short,0.9012,0.0,0.0
MVI_40171,42,2,162,163,2,0.08,short,0.9022,0.09,0.09
MVI_40171,42,3,212,983,772,30.88,long,0.9793,83.43,44.63
MVI_40171,42,4,1009,1150,142,5.68,long,0.9879,10.41,10.41
MVI_40171,43,0,1,121,121,4.84,long,0.9597,8.72,8.7
MVI_40171,43,1,139,1150,1012,40.48,long,0.9897,85.25,61.02
MVI_40171,44,0,1,141,141,5.64,long,0.9593,7.95,7.8
MVI_40171,44,1,162,1150,989,39.56,long,0.992,118.76,54.93
MVI_40172,16,0,257,414,158,6.32,long,0.9989,650.44,645.55
MVI_40172,99,0,42,83,42,1.68,long,0.9955,1.63,0.73
