video,n_gt_boxes,n_dropped_by_visibility,n_tracks,n_frames_with_gt,max_frame,seq_length,seq_length_from_images,n_ignored_regions,n_distractor_rows
MVI_20011,7655,0,53,664,664,664,True,7,0
MVI_20012,8608,0,41,936,936,936,True,6,0
MVI_20032,1657,0,9,437,437,437,True,5,0
MVI_20033,5274,0,25,784,784,784,True,5,0
MVI_20034,9934,0,47,800,800,800,True,5,0
MVI_20035,11855,0,65,800,800,800,True,7,0
MVI_20051,8934,0,51,906,906,906,True,5,0
MVI_20052,8359,0,43,694,694,694,True,6,0
MVI_20061,9256,0,48,800,800,800,True,6,0
MVI_20062,4462,0,27,800,800,800,True,6,0
MVI_20063,6392,0,29,800,800,800,True,6,0
MVI_20064,14184,0,50,800,800,800,True,9,0
MVI_20065,17156,0,77,1200,1200,1200,True,6,0
MVI_39761,3718,0,34,1323,1660,1660,True,6,0
MVI_39771,3605,0,27,570,570,570,True,5,0
MVI_39781,7647,0,50,1861,1865,1865,True,5,0
MVI_39801,4853,0,43,885,885,885,True,7,0
MVI_39811,599,0,9,500,786,1070,True,5,0
MVI_39821,4195,0,34,880,880,880,True,10,0
MVI_39851,5126,0,37,1286,1420,1420,True,4,0
MVI_39861,2394,0,14,745,745,745,True,4,0
MVI_39931,3931,0,27,1082,1270,1270,True,2,0
MVI_40131,15324,0,67,1645,1645,1645,True,6,0
MVI_40141,6222,0,33,1600,1600,1600,True,7,0
MVI_40152,5612,0,49,1746,1750,1750,True,6,0
MVI_40161,6625,0,65,1490,1490,1490,True,5,0
MVI_40162,11261,0,89,1726,1765,1765,True,8,0
MVI_40171,8928,0,44,1150,1150,1150,True,1,0
MVI_40172,18142,0,102,2635,2635,2635,True,3,0
MVI_40181,7124,0,86,1700,1700,1700,True,0,0
MVI_40191,38401,0,340,2495,2495,2495,True,3,0
MVI_40192,28183,0,313,2195,2195,2195,True,3,0
MVI_40201,10925,0,127,925,925,925,True,3,0
MVI_40204,22428,0,179,1225,1225,1225,True,2,0
MVI_40211,6892,0,215,1923,1950,1950,True,0,0
MVI_40212,7879,0,214,1690,1690,1690,True,0,0
MVI_40213,7702,0,231,1782,1790,1790,True,0,0
MVI_40241,21347,0,338,2320,2320,2320,True,2,0
MVI_40243,10548,0,173,1265,1265,1265,True,3,0
MVI_40244,8811,0,162,1345,1345,1345,True,4,0
MVI_40732,11512,0,72,2120,2120,2120,True,0,0
MVI_40751,7386,0,41,1145,1145,1145,True,1,0
MVI_40752,16852,0,193,2025,2025,2025,True,5,0
MVI_40871,36625,0,37,1720,1720,1720,True,5,0
MVI_40962,7580,0,90,1875,1875,1875,True,5,0
MVI_40963,11639,0,144,1820,1820,1820,True,2,0
MVI_40981,10349,0,121,1995,1995,1995,True,2,0
MVI_40991,4482,0,28,1667,1820,1820,True,3,0
MVI_40992,5062,0,45,2122,2160,2160,True,3,0
MVI_41063,10048,0,167,1505,1505,1505,True,3,0
MVI_41073,10295,0,175,1825,1825,1825,True,3,0
MVI_63521,15088,0,90,2055,2055,2055,True,2,0
MVI_63525,3470,0,32,985,985,985,True,2,0
MVI_63544,1963,0,17,956,1160,1160,True,9,0
MVI_63552,7113,0,152,1150,1150,1150,True,3,0
MVI_63553,10775,0,190,1405,1405,1405,True,2,0
MVI_63554,9847,0,188,1445,1445,1445,True,1,0
MVI_63561,9803,0,188,1285,1285,1285,True,3,0
MVI_63562,6680,0,138,1185,1185,1185,True,4,0
MVI_63563,9564,0,177,1390,1390,1390,True,3,0
