video,track_id,seg_id,start_frame,end_frame,length_frames,duration_s,bucket,mean_occlusion_ratio,max_occlusion_ratio,is_heavy,main_source,path_len_px,net_disp_px
MVI_20011,8,0,25,75,51,2.04,long,0.274,0.3792,False,vehicle,61.74,59.79
MVI_20011,10,0,47,107,61,2.44,long,0.3313,0.4641,False,vehicle,71.55,68.53
MVI_20011,13,0,64,171,108,4.32,long,0.1961,0.5728,False,background,381.58,372.31
MVI_20011,13,1,197,209,13,0.52,medium,0.1607,0.2158,False,background,12.66,12.42
MVI_20011,21,0,227,302,76,3.04,long,0.2312,0.3427,False,vehicle,241.87,240.26
MVI_20011,24,0,229,269,41,1.64,long,0.3022,0.5548,False,vehicle,40.36,38.72
MVI_20011,26,0,295,315,21,0.84,medium,0.2238,0.2774,False,vehicle,15.8,15.5
MVI_20011,28,0,301,404,104,4.16,long,0.7186,0.9974,True,background,349.16,344.65
MVI_20011,28,1,409,421,13,0.52,medium,0.9611,1.0,True,background,8.92,8.43
MVI_20011,29,0,511,541,31,1.24,medium,0.2973,0.425,False,vehicle,11.31,8.99
MVI_20011,29,1,650,664,15,0.6,medium,0.4667,0.796,True,vehicle,9.53,7.05
MVI_20011,34,0,478,541,64,2.56,long,0.3183,0.6403,False,vehicle,56.18,47.98
MVI_20011,35,0,367,479,113,4.52,long,0.1764,0.2774,False,vehicle,71.48,49.33
MVI_20011,35,1,488,495,8,0.32,short,0.1155,0.1271,False,vehicle,7.95,7.62
MVI_20011,37,0,397,447,51,2.04,long,0.4478,0.759,True,background,259.07,250.32
MVI_20011,37,1,453,571,119,4.76,long,0.4413,0.867,True,both,123.02,107.95
MVI_20011,40,0,421,533,113,4.52,long,0.4788,0.967,True,background,357.22,350.29
MVI_20011,40,1,538,575,38,1.52,long,0.6492,1.0,True,background,36.26,32.23
MVI_20011,43,0,475,529,55,2.2,long,0.3314,0.5621,False,background,252.76,251.15
MVI_20011,43,1,548,553,6,0.24,short,0.1782,0.2525,False,background,7.84,7.84
MVI_20011,43,2,560,571,12,0.48,short,0.247,0.3503,False,background,10.72,9.65
MVI_20011,43,3,593,599,7,0.28,short,0.2272,0.3732,False,background,5.99,5.8
MVI_20011,47,0,570,638,69,2.76,long,0.4427,0.6353,False,vehicle,37.32,24.55
MVI_20011,47,1,645,652,8,0.32,short,0.1299,0.1563,False,vehicle,3.64,0.8
MVI_20011,47,2,658,662,5,0.2,short,0.1314,0.1563,False,vehicle,2.64,2.15
MVI_20011,48,0,541,664,124,4.96,long,0.4011,0.768,True,background,382.01,376.25
MVI_20011,51,0,619,646,28,1.12,medium,0.1635,0.212,False,vehicle,23.39,22.3
MVI_20011,51,1,652,663,12,0.48,short,0.1376,0.1549,False,vehicle,7.18,3.65
MVI_20011,52,0,631,664,34,1.36,medium,0.3057,0.3591,False,vehicle,15.63,11.1
MVI_20012,3,0,1,11,11,0.44,short,0.888,1.0,True,vehicle,4.33,3.12
MVI_20012,3,1,31,402,372,14.88,long,0.5173,0.9761,True,vehicle,196.41,102.25
MVI_20012,5,0,1,22,22,0.88,medium,0.2611,0.3663,False,vehicle,13.5,11.12
MVI_20012,9,0,34,43,10,0.4,short,0.289,0.4286,False,background,5.73,5.51
MVI_20012,11,0,1,81,81,3.24,long,0.2607,0.4277,False,vehicle,53.01,43.17
MVI_20012,12,0,35,41,7,0.28,short,0.1532,0.2041,False,vehicle,2.45,1.54
MVI_20012,12,1,52,82,31,1.24,medium,0.1886,0.3445,False,vehicle,16.56,14.67
MVI_20012,14,0,31,88,58,2.32,long,0.5996,1.0,True,vehicle,26.68,13.87
MVI_20012,14,1,209,326,118,4.72,long,0.2995,0.4999,False,vehicle,106.22,76.25
MVI_20012,15,0,293,399,107,4.28,long,0.3787,0.6936,False,vehicle,138.28,120.6
MVI_20012,16,0,79,221,143,5.72,long,0.2583,0.5052,False,background,348.72,340.57
MVI_20012,16,1,238,241,4,0.16,short,0.1018,0.1297,False,background,4.04,4.04
MVI_20012,16,2,247,267,21,0.84,medium,0.1241,0.1787,False,background,13.12,11.49
MVI_20012,16,5,295,325,31,1.24,medium,0.3582,0.6217,False,background,16.18,11.34
MVI_20012,17,0,209,221,13,0.52,medium,0.1421,0.1702,False,vehicle,20.32,19.67
MVI_20012,17,1,231,271,41,1.64,long,0.2294,0.3253,False,vehicle,38.39,37.47
MVI_20012,18,0,139,142,4,0.16,short,0.3056,0.408,False,vehicle,0.54,0.54
MVI_20012,18,1,149,177,29,1.16,medium,0.1419,0.1985,False,vehicle,16.84,10.04
MVI_20012,18,2,187,224,38,1.52,long,0.1898,0.2563,False,vehicle,35.22,25.6
MVI_20012,25,0,321,331,11,0.44,short,0.1566,0.1726,False,vehicle,9.5,9.32
MVI_20012,26,0,295,392,98,3.92,long,0.283,0.4864,False,background,369.11,364.22
MVI_20012,28,0,355,430,76,3.04,long,0.2152,0.3933,False,vehicle,56.07,54.55
MVI_20012,28,1,435,444,10,0.4,short,0.1197,0.1416,False,vehicle,8.8,7.02
MVI_20012,31,0,403,480,78,3.12,long,0.2013,0.2826,False,vehicle,50.39,47.15
MVI_20012,31,1,486,513,28,1.12,medium,0.1812,0.2299,False,vehicle,24.24,23.6
MVI_20012,36,0,544,679,136,5.44,long,0.3746,0.5469,False,vehicle,93.14,71.83
MVI_20012,37,0,487,589,103,4.12,long,0.2658,0.6998,False,background,402.24,396.99
MVI_20012,38,0,499,615,117,4.68,long,0.6901,1.0,True,vehicle,124.87,78.84
MVI_20012,41,0,815,842,28,1.12,medium,0.1852,0.2366,False,vehicle,60.72,28.57
MVI_20012,41,1,852,855,4,0.16,short,0.2108,0.2841,False,vehicle,2.4,2.4
MVI_20033,2,0,83,101,19,0.76,medium,0.1383,0.1937,False,vehicle,18.43,18.01
MVI_20033,2,1,105,173,69,2.76,long,0.2529,0.3598,False,vehicle,44.42,35.4
MVI_20033,5,0,211,233,23,0.92,medium,0.2145,0.26,False,vehicle,7.76,4.59
MVI_20033,5,1,243,247,5,0.2,short,0.1773,0.2241,False,vehicle,0.48,0.48
MVI_20033,14,0,530,560,31,1.24,medium,0.1327,0.1929,False,vehicle,21.33,19.63
