video,track_id,n_frames,first_frame,last_frame,path_len_px,net_disp_px,straightness,net_turn_deg,total_turn_deg,median_speed_px_per_frame,median_speed_px_per_s,mean_kappa,median_kappa,p90_kappa,max_kappa,min_radius_px,median_abs_omega_rad_s,p90_abs_omega_rad_s,max_abs_omega_rad_s,curvature_class,turn_class
MVI_20011,1,5,1,5,33.04,32.74,0.991,27.72,27.72,8.185,204.63,0.015066,0.014719,0.020439,0.02184,45.79,3.01204,3.74594,3.91827,unknown,unknown
MVI_20011,2,72,1,72,372.65,371.8,0.9977,10.69,44.27,3.988,99.7,0.003574,0.001719,0.008602,0.02022,49.45,0.26387,0.70911,1.33737,straight,gentle
MVI_20011,3,105,1,105,384.01,382.38,0.9958,11.01,119.9,2.351,58.78,0.013658,0.007149,0.035902,0.063049,15.86,0.43962,1.56728,2.03614,straight,gentle
MVI_20011,4,132,1,132,404.86,399.16,0.9859,9.31,282.2,1.931,48.28,0.034393,0.012193,0.07752,0.576423,1.73,0.67882,1.9119,7.70233,straight,straight
MVI_20011,5,151,1,151,422.65,416.95,0.9865,67.64,340.44,1.369,34.23,0.043526,0.016418,0.09993,0.388412,2.57,0.63652,2.66146,4.91094,curved,sharp
MVI_20011,6,91,1,91,121.42,118.4,0.9751,39.51,191.46,1.246,31.15,0.04293,0.02194,0.090165,0.230278,4.34,0.80917,2.52562,3.12715,curved,gentle
MVI_20011,7,157,1,157,413.43,404.16,0.9776,27.4,208.17,1.715,42.88,0.018925,0.010623,0.05258,0.10996,9.09,0.52124,1.34782,2.93252,curved,gentle
MVI_20011,8,127,25,151,516.47,511.13,0.9897,31.96,197.54,1.896,47.41,0.024921,0.013876,0.082392,0.157166,6.36,0.64306,1.88088,3.85252,curved,gentle
MVI_20011,9,163,37,199,440.41,434.89,0.9875,31.07,362.49,1.246,31.15,0.044678,0.018635,0.138066,0.274408,3.64,0.7098,2.50351,4.25539,curved,gentle
MVI_20011,10,127,37,163,506.16,499.69,0.9872,41.85,189.02,1.552,38.8,0.02675,0.006333,0.078733,0.226309,4.42,0.4928,1.94609,3.38453,curved,gentle
MVI_20011,11,136,34,169,346.74,340.85,0.983,74.45,253.75,1.668,41.7,0.03246,0.010206,0.098386,0.199306,5.02,0.56346,2.53213,3.40092,curved,sharp
MVI_20011,12,109,61,169,303.49,299.63,0.9873,61.04,175.96,2.041,51.03,0.016846,0.011185,0.032693,0.115375,8.67,0.66743,1.638,2.73279,curved,sharp
MVI_20011,13,148,64,211,419.16,412.62,0.9844,13.65,247.12,1.976,49.39,0.023832,0.010316,0.064015,0.160524,6.23,0.60454,2.03254,3.5094,straight,gentle
MVI_20011,14,163,79,241,443.42,432.12,0.9745,116.26,319.32,1.329,33.21,0.029282,0.010458,0.089523,0.186573,5.36,0.50738,1.68033,3.12415,curved,sharp
MVI_20011,15,160,79,238,517.86,507.95,0.9809,30.73,463.86,1.43,35.76,0.051448,0.012464,0.124483,0.861044,1.16,0.63573,2.76788,11.11044,curved,gentle
MVI_20011,16,179,79,257,446.67,431.88,0.9669,48.37,323.26,1.16,29.0,0.03311,0.016632,0.071213,0.449182,2.23,0.70755,1.93465,5.7061,curved,sharp
MVI_20011,17,121,91,211,333.11,328.31,0.9856,16.87,185.94,2.418,60.45,0.018532,0.007089,0.047656,0.149056,6.71,0.53969,1.76845,4.44706,straight,gentle
MVI_20011,18,211,103,313,519.11,499.78,0.9628,22.92,347.0,0.969,24.23,0.047971,0.012161,0.149891,0.338701,2.95,0.76374,2.98368,5.37397,curved,gentle
MVI_20011,19,167,103,269,480.0,470.42,0.98,71.21,403.63,1.218,30.45,0.047895,0.02014,0.137193,0.464691,2.15,0.67509,2.55364,6.38675,curved,sharp
MVI_20011,20,137,129,265,364.61,358.3,0.9827,34.04,198.63,1.973,49.32,0.023788,0.007377,0.069333,0.177047,5.65,0.47521,1.63617,4.23767,curved,gentle
MVI_20011,21,167,157,323,544.98,539.09,0.9892,10.86,341.76,1.737,43.42,0.046132,0.009618,0.142538,0.683428,1.46,0.50645,2.44147,8.63203,straight,gentle
MVI_20011,22,217,193,409,463.32,447.46,0.9658,43.45,397.79,0.925,23.12,0.036605,0.013606,0.119331,0.278923,3.59,0.6442,1.78351,3.66685,curved,gentle
