video,track_id,first_frame,last_frame,n_frames_observed,track_span_frames,n_occluded_frames,occluded_frame_ratio,mean_occlusion_ratio,max_occlusion_ratio,n_occlusion_segments,longest_segment_frames,longest_segment_s,n_full_occlusion_segments,longest_full_segment_frames,n_gaps,longest_gap_frames,vehicle_type
MVI_20011,1,1,5,5,5,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,2,1,72,72,72,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,3,1,105,105,105,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,4,1,132,132,132,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,5,1,151,151,151,1,0.0066,0.0075,0.1036,0,0,0.0,0,0,0,0,car
MVI_20011,6,1,91,91,91,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,7,1,157,157,157,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,8,25,151,127,127,51,0.4016,0.11,0.3792,1,51,2.04,0,0,0,0,car
MVI_20011,9,37,199,163,163,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,10,37,163,127,127,61,0.4803,0.1591,0.4641,1,61,2.44,0,0,0,0,car
MVI_20011,11,34,169,136,136,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,12,61,169,109,109,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,13,64,211,148,148,115,0.777,0.1665,0.5728,2,108,4.32,0,0,0,0,car
MVI_20011,14,79,241,163,163,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,15,79,238,160,160,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,16,79,257,179,179,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,17,91,211,121,121,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,van
MVI_20011,18,103,313,211,211,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,others
MVI_20011,19,103,269,167,167,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,20,129,265,137,137,0,0.0,0.0003,0.0159,0,0,0.0,0,0,0,0,car
MVI_20011,21,157,323,167,167,76,0.4551,0.1056,0.3427,1,76,3.04,0,0,0,0,car
MVI_20011,22,193,409,217,217,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,23,199,379,181,181,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,24,229,349,121,121,39,0.3223,0.1024,0.5548,1,41,1.64,0,0,0,0,car
MVI_20011,25,259,421,163,163,0,0.0,0.0041,0.0926,0,0,0.0,0,0,0,0,car
MVI_20011,26,295,445,151,151,21,0.1391,0.0311,0.2774,1,21,0.84,0,0,0,0,car
MVI_20011,27,295,415,121,121,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,28,301,421,121,121,117,0.9669,0.7229,1.0,2,104,4.16,4,21,0,0,car
MVI_20011,29,313,664,352,352,46,0.1307,0.0462,0.796,2,31,1.24,0,0,0,0,car
MVI_20011,30,313,505,193,193,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,31,325,481,157,157,0,0.0,0.0002,0.0098,0,0,0.0,0,0,0,0,car
MVI_20011,32,355,481,127,127,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,33,355,565,211,211,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,34,367,541,175,175,64,0.3657,0.1164,0.6403,1,64,2.56,0,0,0,0,car
MVI_20011,35,367,583,217,217,121,0.5576,0.104,0.2774,2,113,4.52,0,0,0,0,car
MVI_20011,36,385,535,151,151,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,37,397,589,193,193,170,0.8808,0.3925,0.867,2,119,4.76,0,0,0,0,car
MVI_20011,38,397,541,145,145,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,39,409,583,175,175,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,van
MVI_20011,40,421,589,169,169,149,0.8817,0.4711,1.0,2,113,4.52,2,24,0,0,car
MVI_20011,41,439,601,163,163,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,42,457,631,175,175,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,43,475,619,145,145,80,0.5517,0.1685,0.5621,4,55,2.2,0,0,0,0,car
MVI_20011,44,493,655,163,163,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,45,511,664,154,154,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,46,570,664,95,95,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,bus
MVI_20011,47,517,664,148,148,82,0.5541,0.2247,0.6353,3,69,2.76,0,0,0,0,car
MVI_20011,48,541,664,124,124,123,0.9919,0.4011,0.768,1,124,4.96,0,0,0,0,car
MVI_20011,49,547,664,118,118,1,0.0085,0.0074,0.1026,0,0,0.0,0,0,0,0,car
MVI_20011,50,571,664,94,94,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20011,51,619,664,46,46,40,0.8696,0.1465,0.212,2,28,1.12,0,0,0,0,car
MVI_20011,52,631,664,34,34,34,1.0,0.3057,0.3591,1,34,1.36,0,0,0,0,car
MVI_20011,53,637,664,28,28,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,1,1,25,25,25,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,3,1,493,493,493,383,0.7769,0.4101,1.0,2,372,14.88,3,18,0,0,car
MVI_20012,4,1,133,133,133,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,van
MVI_20012,5,1,169,169,169,22,0.1302,0.0443,0.3663,1,22,0.88,0,0,0,0,car
MVI_20012,6,1,97,97,97,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,7,1,127,127,127,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,8,1,145,145,145,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,9,1,43,43,43,10,0.2326,0.0918,0.4286,1,10,0.4,0,0,0,0,car
MVI_20012,10,1,49,49,49,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,van
MVI_20012,11,1,211,211,211,81,0.3839,0.1001,0.4277,1,81,3.24,0,0,0,0,car
MVI_20012,12,13,355,343,343,39,0.1137,0.0233,0.3445,2,31,1.24,0,0,0,0,car
MVI_20012,13,25,253,229,229,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,14,31,433,403,403,176,0.4367,0.1748,1.0,2,118,4.72,1,10,0,0,van
MVI_20012,15,79,463,385,385,107,0.2779,0.1062,0.6936,1,107,4.28,0,0,0,0,car
MVI_20012,16,79,325,247,247,194,0.7854,0.2199,0.6217,4,143,5.72,0,0,0,0,car
MVI_20012,17,139,271,133,133,54,0.406,0.0915,0.3253,2,41,1.64,0,0,0,0,car
MVI_20012,18,139,355,217,217,70,0.3226,0.0615,0.408,3,38,1.52,0,0,0,0,car
MVI_20012,19,139,289,151,151,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,20,181,331,151,151,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,21,211,427,217,217,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,22,171,936,766,766,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,bus
MVI_20012,23,241,343,103,103,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,24,271,541,271,271,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,25,271,463,193,193,11,0.057,0.0089,0.1726,1,11,0.44,0,0,0,0,car
MVI_20012,26,295,403,109,109,98,0.8991,0.2569,0.4864,1,98,3.92,0,0,0,0,car
MVI_20012,27,313,523,211,211,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,28,355,559,205,205,86,0.4195,0.0878,0.3933,2,76,3.04,0,0,0,0,van
MVI_20012,29,361,583,223,223,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,30,361,493,133,133,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,31,403,619,217,217,106,0.4885,0.0977,0.2826,2,78,3.12,0,0,0,0,car
MVI_20012,32,427,679,253,253,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,33,427,547,121,121,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,34,469,559,91,91,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,35,487,685,199,199,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,36,487,679,193,193,136,0.7047,0.2657,0.5469,1,136,5.44,0,0,0,0,car
MVI_20012,37,487,589,103,103,100,0.9709,0.2658,0.6998,1,103,4.12,0,0,0,0,car
MVI_20012,38,499,769,271,271,117,0.4317,0.298,1.0,1,117,4.68,1,29,0,0,car
MVI_20012,39,505,643,139,139,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,40,661,757,97,97,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20012,41,685,855,171,171,32,0.1871,0.0439,0.2841,2,28,1.12,0,0,0,0,car
MVI_20012,42,1,571,571,571,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,bus
MVI_20032,1,1,235,235,235,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
MVI_20032,2,1,217,217,217,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,car
