video,n_frames_annotated,n_images,camera_state,sence_weather,n_tracks,pct_tracks_occluded,mean_occ_ratio,n_full_occ_segs,pct_curved,n_sharp
MVI_20011,664,664,unstable,sunny,53,0.32075471698113206,0.0715811320754717,6.0,0.6792452830188679,15
MVI_20012,936,936,unstable,sunny,41,0.43902439024390244,0.06459024390243903,5.0,0.6585365853658537,9
MVI_20032,437,437,unstable,sunny,9,0.0,0.0,0.0,0.5555555555555556,1
MVI_20033,784,784,unstable,sunny,25,0.12,0.0053,0.0,0.72,6
MVI_20034,800,800,unstable,sunny,47,0.44680851063829785,0.042193617021276594,1.0,0.7021276595744681,12
MVI_20035,800,800,unstable,sunny,65,0.27692307692307694,0.022646153846153847,0.0,0.6307692307692307,22
MVI_20051,906,906,unstable,sunny,51,0.49019607843137253,0.04302549019607843,0.0,0.6470588235294118,20
MVI_20052,694,694,unstable,sunny,43,0.4186046511627907,0.03499767441860465,0.0,0.5348837209302325,13
MVI_20061,800,800,unstable,sunny,48,0.3125,0.06515,0.0,0.75,16
MVI_20062,800,800,unstable,sunny,27,0.2222222222222222,0.05174814814814815,3.0,0.8888888888888888,14
MVI_20063,800,800,unstable,sunny,29,0.41379310344827586,0.06708620689655173,1.0,0.7241379310344828,8
MVI_20064,800,800,unstable,sunny,50,0.52,0.0684,1.0,0.72,21
MVI_20065,1200,1200,unstable,sunny,77,0.4805194805194805,0.04862987012987013,0.0,0.7402597402597403,23
MVI_39761,1323,1660,stable,night,34,0.029411764705882353,0.005191176470588235,0.0,0.47058823529411764,6
MVI_39771,570,570,stable,night,27,0.14814814814814814,0.015066666666666666,0.0,0.5555555555555556,6
MVI_39781,1861,1865,stable,night,50,0.54,0.134284,3.0,0.36,2
MVI_39801,885,885,unstable,night,43,0.9534883720930233,0.1599093023255814,10.0,0.2558139534883721,2
MVI_39811,500,1070,unstable,night,9,1.0,0.22443333333333332,4.0,0.0,0
MVI_39821,880,880,unstable,night,34,1.0,0.1612970588235294,11.0,0.35294117647058826,2
MVI_39851,1286,1420,unstable,night,37,0.16216216216216217,0.013248648648648647,0.0,0.7567567567567568,13
MVI_39861,745,745,unstable,night,14,0.8571428571428571,0.23029285714285713,14.0,0.7142857142857143,4
MVI_39931,1082,1270,unstable,cloudy,27,0.4074074074074074,0.08727037037037037,7.0,0.4074074074074074,5
MVI_40131,1645,1645,unstable,cloudy,67,0.3582089552238806,0.03573582089552239,3.0,0.6716417910447762,18
MVI_40141,1600,1600,stable,cloudy,33,0.12121212121212122,0.0067757575757575765,0.0,0.6060606060606061,9
MVI_40152,1746,1750,unstable,cloudy,49,0.9795918367346939,0.11368571428571428,5.0,0.46938775510204084,6
MVI_40161,1490,1490,unstable,cloudy,65,0.26153846153846155,0.06452615384615386,0.0,0.3076923076923077,3
MVI_40162,1726,1765,unstable,cloudy,89,0.39325842696629215,0.08787752808988765,5.0,0.24719101123595505,4
MVI_40171,1150,1150,unstable,cloudy,44,0.7045454545454546,0.22014090909090908,14.0,0.20454545454545456,2
MVI_40172,2635,2635,unstable,cloudy,102,0.22549019607843138,0.08269803921568628,27.0,0.45098039215686275,3
MVI_40181,1700,1700,stable,cloudy,86,0.38372093023255816,0.08407558139534883,1.0,0.20930232558139536,2
MVI_40191,2495,2495,unstable,cloudy,340,0.15294117647058825,0.010589117647058824,0.0,0.5470588235294118,35
MVI_40192,2195,2195,unstable,cloudy,313,0.0926517571884984,0.00843738019169329,1.0,0.4952076677316294,33
MVI_40201,925,925,stable,cloudy,127,0.4094488188976378,0.13303700787401573,4.0,0.28346456692913385,2
MVI_40204,1225,1225,stable,cloudy,179,0.40782122905027934,0.1367564245810056,36.0,0.4301675977653631,9
MVI_40211,1923,1950,unstable,cloudy,215,0.4325581395348837,0.10483348837209303,1.0,0.07906976744186046,0
MVI_40212,1690,1690,unstable,cloudy,214,0.4392523364485981,0.09305093457943925,2.0,0.19626168224299065,0
MVI_40213,1782,1790,unstable,cloudy,231,0.42424242424242425,0.10790606060606062,3.0,0.15584415584415584,0
