video,track_id,event_id,start_frame,end_frame,length_frames,has_full,outcome__cv,id_before__cv,id_after__cv,id_continuous__cv,recall_during__cv,outcome__ekf_ctrv,id_before__ekf_ctrv,id_after__ekf_ctrv,id_continuous__ekf_ctrv,recall_during__ekf_ctrv,outcome__ukf_ctrv,id_before__ukf_ctrv,id_after__ukf_ctrv,id_continuous__ukf_ctrv,recall_during__ukf_ctrv,split,part,source,curv,path_len,net_disp,max_occ,mean_occ,full_len,full_start,full_end,occluder,code,n_preserved,differ,ctrv_wins,ekf_wins,turn_deg,speed_px,len_ok,score1,nchg_cv,chain_cv,nchg_ekf_ctrv,chain_ekf_ctrv,nchg_ukf_ctrv,chain_ukf_ctrv,clean
MVI_40793,52,1,954,1017,64,False,no_match_before,,,False,0.6875,preserved,973.0,973.0,False,0.7031,preserved,938.0,938.0,False,0.7031,DETRAC-test,test,test,0.022231909328683575,304.85,298.22,0.2625,0.1783,0,-1,-1,vehicle,NPP,2,True,True,True,16.294795029408306,4.6596875,True,8.718407140255565,2,920->1001->1019,2,973->1053->1068,2,938->1018->1033,False
MVI_40903,41,2,590,679,90,False,switched,568.0,971.0,False,1.0,preserved,585.0,585.0,False,1.0,preserved,580.0,580.0,False,1.0,DETRAC-test,test,test,0.01177489177489166,233.72,231.0,0.4593,0.2827,0,-1,-1,vehicle,SPP,2,True,True,True,5.725451385574672,2.566666666666667,True,7.619644705657034,6,568->971->568->971->568->971->568,2,585->984->585,2,580->991->580,False
MVI_20065,20,1,239,419,181,False,switched,145.0,218.0,False,0.6188,switched,152.0,243.0,False,0.6188,preserved,152.0,152.0,False,0.6354,DETRAC-all,train,train,0.19173373574782038,142.15,119.28,0.3735,0.2045,0,-1,-1,vehicle,SSP,1,True,True,False,21.590249958808386,0.6590055248618785,True,7.52235993887212,1,145->218,1,152->243,0,152,True
MVI_40792,20,0,974,1028,55,False,switched,265.0,308.0,False,0.9455,preserved,270.0,270.0,False,0.9455,preserved,269.0,269.0,False,0.9455,DETRAC-test,test,test,0.006520190674483617,183.7,182.51,0.7123,0.4254,0,-1,-1,both,SPP,2,True,True,True,4.683953052048139,3.318363636363636,True,7.407026067902748,1,265->308,0,270,0,269,True
MVI_40762,55,0,1460,1511,52,False,switched,772.0,852.0,False,0.8077,preserved,803.0,803.0,False,0.8077,preserved,781.0,781.0,False,0.8077,DETRAC-test,test,test,0.0013998184019370363,529.38,528.64,0.2864,0.2064,0,-1,-1,vehicle,SPP,2,True,True,True,3.5438503929840977,10.166153846153845,True,7.359984312906158,4,748->772->843->772->852,4,778->803->875->803->885,4,759->781->848->781->858,False
MVI_40162,40,0,990,1018,29,False,switched,260.0,268.0,False,1.0,preserved,264.0,264.0,True,1.0,switched,262.0,254.0,False,1.0,DETRAC-all,train,train,0.01712804369965748,109.86,108.01,0.1473,0.1304,0,-1,-1,vehicle,SPS,1,True,True,True,-6.459607554183464,3.72448275862069,True,7.254522930216976,4,268->260->268->260->268,0,264,3,262->254->262->254,False
MVI_40241,325,0,2255,2291,37,False,switched,2054.0,2068.0,False,0.8919,preserved,2011.0,2011.0,False,0.8919,preserved,2013.0,2013.0,False,0.8919,DETRAC-all,train,train,0.00013357911891209717,374.36,374.31,0.6201,0.442,0,-1,-1,vehicle,SPP,2,True,True,True,-0.9251742040625572,10.116486486486487,True,7.093051736881904,2,2054->2068->2151,1,2011->2111,1,2013->2113,False
MVI_40201,47,0,283,308,26,False,switched,309.0,311.0,False,0.9231,preserved,329.0,329.0,False,0.9615,preserved,337.0,337.0,False,0.9615,DETRAC-all,train,train,0.0008707009142359112,275.88,275.64,0.368,0.2563,0,-1,-1,vehicle,SPP,2,True,True,True,0.3877399875325409,10.60153846153846,True,7.042256802410198,1,309->311,0,329,0,337,True
MVI_40152,15,0,306,323,18,False,switched,117.0,144.0,False,0.5556,preserved,119.0,119.0,False,0.7222,preserved,120.0,120.0,False,0.7222,DETRAC-all,train,train,0.0017490671641791078,85.91,85.76,0.4792,0.3462,0,-1,-1,background,SPP,2,True,True,True,-3.71930201385274,4.764444444444445,True,6.807726470041991,1,117->144,0,119,0,120,True
MVI_40761,7,1,75,94,20,False,switched,25.0,99.0,False,0.9,preserved,23.0,23.0,False,0.9,preserved,23.0,23.0,False,0.9,DETRAC-test,test,test,0.006284916201117374,57.64,57.28,0.6523,0.3467,0,-1,-1,vehicle,SPP,2,True,True,True,4.693665999957602,2.864,True,6.78090626480023,4,25->99->3->99->3,3,23->88->23->3,3,23->88->23->3,False
