video,track_id,event_id,start_frame,end_frame,length_frames,has_full,outcome__cv,id_before__cv,id_after__cv,id_continuous__cv,recall_during__cv,outcome__ekf_ctrv,id_before__ekf_ctrv,id_after__ekf_ctrv,id_continuous__ekf_ctrv,recall_during__ekf_ctrv,outcome__ukf_ctrv,id_before__ukf_ctrv,id_after__ukf_ctrv,id_continuous__ukf_ctrv,recall_during__ukf_ctrv,split,part,source,curv,path_len,net_disp,max_occ,mean_occ,full_len,full_start,full_end,occluder,code,n_preserved,differ,ctrv_wins,veh_occ,score2,nchg_cv,chain_cv,nchg_ekf_ctrv,chain_ekf_ctrv,nchg_ukf_ctrv,chain_ukf_ctrv,clean
MVI_39781,48,1,1590,1619,30,True,preserved,643.0,643.0,False,0.3333,switched,646.0,734.0,False,0.3333,switched,647.0,735.0,False,0.3333,DETRAC-all,train,train,0.38878648233486945,90.41,65.1,1.0,0.7587,16,1598,1613,both,PSS,1,True,False,False,5.434,0,643,1,646->734,1,647->735,True
MVI_39781,30,0,933,1007,75,True,no_match_before,,,False,0.92,no_match_before,,,False,0.92,no_match_before,,,False,0.92,DETRAC-all,train,train,0.009596587879864948,170.43,168.81,1.0,0.5884,16,980,995,vehicle,NNN,0,False,False,True,4.0,0,262,0,263,0,260,False
MVI_39781,37,1,1075,1127,53,True,preserved,326.0,326.0,True,1.0,preserved,325.0,325.0,True,1.0,preserved,322.0,322.0,True,1.0,DETRAC-all,train,train,0.0024968789013732895,176.66,176.22,1.0,0.6508,15,1097,1111,vehicle,PPP,3,False,False,True,4.0,0,326,0,325,0,322,True
MVI_40212,136,0,1011,1056,46,True,switched,617.0,643.0,False,0.1304,switched,604.0,629.0,False,0.1522,switched,601.0,648.0,False,0.1522,DETRAC-all,train,train,0.009755836796878192,755.57,748.27,1.0,0.79,21,1030,1050,vehicle,SSS,0,False,False,True,4.0,1,617->643,1,604->629,1,601->648,True
MVI_40701,9,0,189,234,46,True,switched,109.0,257.0,False,0.3696,switched,109.0,257.0,False,0.3696,switched,109.0,258.0,False,0.3696,DETRAC-test,test,test,0.021559755123768953,191.9,187.85,1.0,0.6668,19,200,218,vehicle,SSS,0,False,False,True,4.0,2,109->230->257,2,109->229->257,2,109->230->258,False
MVI_40701,30,2,496,549,54,True,switched,592.0,663.0,False,0.0556,switched,594.0,665.0,False,0.0556,switched,592.0,663.0,False,0.0556,DETRAC-test,test,test,0.0020416496529194195,171.78,171.43,1.0,0.7823,32,507,538,vehicle,SSS,0,False,False,True,4.0,4,592->663->677->663->708,3,594->665->679->710,3,592->663->678->712,False
MVI_63561,177,0,1206,1255,50,True,switched,1195.0,1226.0,False,0.34,switched,1182.0,1213.0,False,0.34,switched,1182.0,1212.0,False,0.34,DETRAC-all,train,train,0.005159641773442747,818.21,814.01,1.0,0.6905,18,1218,1235,vehicle,SSS,0,False,False,True,4.0,1,1195->1226,2,1182->1213->1233,2,1182->1212->1232,False
MVI_39311,43,0,928,1033,106,True,no_match_before,,,False,0.283,no_match_before,,,False,0.2925,no_match_before,,,False,0.2925,DETRAC-test,test,test,0.1132845246744536,199.2,178.93,1.0,0.5996,32,958,989,vehicle,NNN,0,False,False,True,4.0,3,791->799->865->874,3,776->784->849->858,3,778->786->848->856,False
MVI_39501,16,2,239,440,202,True,no_match_before,,,False,0.2723,no_match_before,,,False,0.2772,no_match_before,,,False,0.2772,DETRAC-test,test,test,0.032970940865677756,406.66,393.68,1.0,0.6094,35,394,428,vehicle,NNN,0,False,False,True,4.0,0,234,0,235,0,233,False
MVI_40701,12,0,207,271,65,True,switched,211.0,271.0,False,0.4154,switched,198.0,271.0,False,0.4154,switched,199.0,272.0,False,0.4154,DETRAC-test,test,test,0.022303537201603163,293.35,286.95,1.0,0.5549,17,221,237,vehicle,SSS,0,False,False,True,4.0,1,211->271,1,198->271,2,199->272->286,False
MVI_39401,92,0,962,1016,55,True,preserved,1024.0,1024.0,True,1.0,preserved,1063.0,1063.0,True,1.0,preserved,1054.0,1054.0,True,1.0,DETRAC-test,test,test,0.002345527743742304,286.32,285.65,1.0,0.7381,27,981,1007,vehicle,PPP,3,False,False,True,4.0,0,1024,0,1063,0,1054,True
MVI_40853,30,1,325,372,48,True,no_match_before,,,False,0.0,no_match_before,,,False,0.0,no_match_before,,,False,0.0,DETRAC-test,test,test,0.006880878732403284,159.5,158.41,1.0,0.7303,24,336,359,vehicle,NNN,0,False,False,True,4.0,0,,0,,0,,False
