frame,gt_vis,det_iou_with_gt,det_score,cv_iou,cv_fused,cv_matchable,cv_state,cv_rival_id,cv_rival_fused,ekf_ctrv_iou,ekf_ctrv_fused,ekf_ctrv_matchable,ekf_ctrv_state,ekf_ctrv_rival_id,ekf_ctrv_rival_fused,ukf_ctrv_iou,ukf_ctrv_fused,ukf_ctrv_matchable,ukf_ctrv_state,ukf_ctrv_rival_id,ukf_ctrv_rival_fused
298,0.74,0.127,0.587,0.128,0.075,False,lost,143.0,0.548,0.087,0.051,False,lost,150.0,0.547,0.152,0.089,False,lost,150,0.548
299,0.74,0.113,0.506,0.117,0.059,False,lost,143.0,0.469,0.071,0.036,False,lost,150.0,0.469,0.142,0.072,False,lost,150,0.469
300,0.74,0.103,0.676,0.107,0.072,False,lost,143.0,0.623,0.061,0.041,False,lost,150.0,0.622,0.132,0.089,False,lost,150,0.621
301,0.75,0.088,0.664,0.094,0.062,False,lost,143.0,0.615,0.046,0.03,False,lost,150.0,0.614,0.119,0.079,False,lost,150,0.613
302,0.73,0.757,0.292,0.587,0.172,False,lost,143.0,0.046,0.44,0.129,False,lost,150.0,0.046,0.834,0.244,True,lost,150,0.046
303,0.71,0.092,0.527,0.086,0.045,False,lost,143.0,0.495,0.036,0.019,False,lost,150.0,0.495,0.161,0.085,False,tracked,150,0.492
304,0.69,0.828,0.275,0.577,0.159,False,lost,143.0,0.038,0.416,0.114,False,lost,150.0,0.038,0.854,0.235,True,lost,150,0.039
305,0.67,0.118,0.462,0.103,0.048,False,lost,143.0,0.412,0.05,0.023,False,lost,150.0,0.412,0.163,0.076,False,tracked,150,0.412
306,0.65,0.093,0.457,,,,xoa,,,,,,xoa,,,0.139,0.064,False,lost,150,0.416
307,0.63,0.107,0.318,,,,xoa,,,,,,xoa,,,0.151,0.048,False,lost,150,0.31
308,0.63,0.287,0.284,,,,xoa,,,,,,xoa,,,0.344,0.098,False,lost,150,0.189
309,0.64,0.275,0.253,,,,xoa,,,,,,xoa,,,0.342,0.087,False,lost,150,0.162
310,0.65,0.037,0.382,,,,xoa,,,,,,xoa,,,0.113,0.043,False,lost,150,0.369
311,0.66,0.062,0.431,,,,xoa,,,,,,xoa,,,0.148,0.064,False,lost,150,0.368
312,0.67,0.794,0.342,,,,xoa,,,,,,xoa,,,0.804,0.275,True,lost,211,0.054
313,0.68,0.829,0.358,,,,xoa,,,,,,xoa,,,0.877,0.314,True,tracked,211,0.061
