occlusion_level,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct,track_buffer
full,EKF + CTRV,18,0,0,0,1.0,False,30
full,UKF + CTRV,18,0,0,0,1.0,False,30
partial,EKF + CTRV,108,1,1,0,1.0,False,30
partial,UKF + CTRV,108,1,1,0,1.0,False,30
full,EKF + CTRV,18,1,0,-1,1.0,False,60
full,UKF + CTRV,18,0,0,0,1.0,False,60
partial,EKF + CTRV,108,2,3,1,1.0,False,60
partial,UKF + CTRV,108,2,2,0,1.0,False,60
full,EKF + CTRV,18,1,1,0,1.0,False,90
full,UKF + CTRV,18,0,1,1,1.0,False,90
partial,EKF + CTRV,108,2,4,2,0.6875,False,90
partial,UKF + CTRV,108,2,3,1,1.0,False,90
