bucket,track_buffer,motion_model,n,giu_ID
long,30,EKF + CTRV,18,0.0
long,30,KF + CV,18,0.0
long,30,UKF + CTRV,18,0.0
long,60,EKF + CTRV,18,0.0556
long,60,KF + CV,18,0.1111
long,60,UKF + CTRV,18,0.1111
long,90,EKF + CTRV,18,0.1111
long,90,KF + CV,18,0.1111
long,90,UKF + CTRV,18,0.1667
medium,30,EKF + CTRV,16,0.0
medium,30,KF + CV,16,0.0
medium,30,UKF + CTRV,16,0.0
medium,60,EKF + CTRV,16,0.0625
medium,60,KF + CV,16,0.0
medium,60,UKF + CTRV,16,0.0
medium,90,EKF + CTRV,16,0.0625
medium,90,KF + CV,16,0.0
medium,90,UKF + CTRV,16,0.0
short,30,EKF + CTRV,26,0.2692
short,30,KF + CV,26,0.2692
short,30,UKF + CTRV,26,0.2692
short,60,EKF + CTRV,26,0.2692
short,60,KF + CV,26,0.2308
short,60,UKF + CTRV,26,0.2692
short,90,EKF + CTRV,26,0.2692
short,90,KF + CV,26,0.2308
short,90,UKF + CTRV,26,0.2692
