bucket,track_buffer,motion_model,n,giu_ID
long,30,EKF + CTRV,108,0.1574
long,30,KF + CV,108,0.1574
long,30,UKF + CTRV,108,0.1574
long,60,EKF + CTRV,108,0.1944
long,60,KF + CV,108,0.1852
long,60,UKF + CTRV,108,0.1852
long,90,EKF + CTRV,108,0.2037
long,90,KF + CV,108,0.1852
long,90,UKF + CTRV,108,0.1944
medium,30,EKF + CTRV,53,0.566
medium,30,KF + CV,53,0.566
medium,30,UKF + CTRV,53,0.566
medium,60,EKF + CTRV,53,0.566
medium,60,KF + CV,53,0.566
medium,60,UKF + CTRV,53,0.5849
medium,90,EKF + CTRV,53,0.566
medium,90,KF + CV,53,0.566
medium,90,UKF + CTRV,53,0.5849
short,30,EKF + CTRV,33,0.8182
short,30,KF + CV,33,0.8182
short,30,UKF + CTRV,33,0.8182
short,60,EKF + CTRV,33,0.8182
short,60,KF + CV,33,0.8182
short,60,UKF + CTRV,33,0.8182
short,90,EKF + CTRV,33,0.8182
short,90,KF + CV,33,0.8182
short,90,UKF + CTRV,33,0.8182
