video,track_id,sf,ef,length,kf_chg,kf_none,ekf_chg,ekf_none,n,ekf_mess,kf_mess,gap,speed_px_frame,turn_deg,occ_max,xe_di_chuyen
MVI_40991,25,1433,1435,3,0,3,0,3,3,3,3,0,17.59,0.0,0.98,CO
MVI_40991,25,1440,1454,15,1,10,1,10,15,11,11,0,4.29,0.6,1.0,CO
MVI_40991,27,1711,1731,21,1,16,1,16,21,17,17,0,7.51,13.7,1.0,CO
MVI_40992,16,812,832,21,0,21,0,21,21,21,21,0,7.13,3.0,1.0,CO
MVI_40992,32,1618,1631,14,0,14,0,14,14,14,14,0,10.76,8.9,1.0,CO
MVI_40992,41,2024,2042,19,1,17,1,17,19,18,18,0,7.64,8.4,1.0,CO
MVI_20065,67,1124,1137,14,1,0,2,0,14,2,1,-1,0.19,170.7,0.12,dung yen
MVI_39801,37,701,709,9,1,8,1,8,9,9,9,0,13.35,3.0,0.23,CO
MVI_40152,15,306,323,18,3,5,4,4,18,8,8,0,5.05,4.0,0.48,CO
MVI_40162,40,990,1018,29,0,0,0,0,29,0,0,0,3.92,6.5,0.15,CO
MVI_40162,40,1449,1472,24,11,5,3,6,24,9,16,7,0.61,41.2,0.16,dung yen
MVI_40171,35,916,977,62,8,3,10,8,62,18,11,-7,12.91,0.3,0.51,CO
MVI_40201,47,283,308,26,1,2,1,1,26,2,3,1,11.04,0.0,0.37,CO
MVI_40241,325,2255,2291,37,5,2,2,3,37,5,7,2,10.4,0.4,0.62,CO
MVI_40752,10,122,128,7,0,0,0,0,7,0,0,0,7.86,5.2,0.14,CO
MVI_40871,1,149,161,13,1,5,1,5,13,6,6,0,0.87,135.0,0.75,dung yen
