video,track_id,n,n_seg,turn,fde_kf,fde_ekf,loi_ctrv
MVI_40991,11,171,1,15.645593820568983,264.27843761426783,207.78779484227556,56.49064277199227
MVI_39861,1,241,2,53.02917752785062,81.34904534770824,68.37151638279701,12.97752896491123
MVI_40992,36,171,3,6.4113051628131315,145.1470670451543,142.77206138661333,2.375005658540971
MVI_40204,161,170,2,23.924954210213045,187.61490210362484,186.72768696837625,0.8872151352485957
MVI_40204,126,166,2,2.9674099354970602,32.82756192119394,32.72794421455095,0.09961770664298797
MVI_40751,28,405,2,6.50179354747256,1.0070834999569653,0.9250896944268657,0.0819938055300996
MVI_40191,204,151,2,5.545613202766562,1.0658946701910852,1.059113699747264,0.006780970443821088
MVI_39821,18,186,1,2.382999776817943,78.4667064747845,78.4667064747845,0.0
MVI_40991,14,156,1,8.9233358015433,674.1441217573584,674.1441217573584,0.0
MVI_40204,129,156,1,12.146575145738794,790.1561298453933,790.1561298453933,0.0
MVI_40991,10,166,1,7.122142787747683,760.9460296893598,760.9460296893598,0.0
MVI_20063,13,155,1,40.14434842463363,84.3259538932113,84.3259538932113,0.0
MVI_40204,98,156,1,3.5725556539173686,778.1153514126296,778.1153514126296,0.0
MVI_40204,108,151,1,6.927440355995853,762.1937064978953,762.1937064978953,0.0
MVI_63521,39,151,1,26.003918859607886,4.079914214784397,4.079914214784397,0.0
MVI_63544,7,151,1,22.737114801683386,768.30400432023,768.30400432023,0.0
MVI_40991,23,166,1,15.67051326118085,689.6968318217795,689.6968318217795,0.0
MVI_40204,162,151,1,9.645028736435497,739.8501132305447,739.8501132305447,0.0
MVI_39931,4,181,2,5.346773297524414,142.6383580628032,142.70810617211652,-0.06974810931330921
MVI_39861,7,181,5,32.82140471872908,37.95167262741039,38.02651924913046,-0.07484662172007006
MVI_39821,25,166,2,6.652063368747971,21.50968033498711,21.97170883464944,-0.46202849966233117
MVI_39821,13,181,2,15.644603911133832,108.1103667528331,110.8875718952806,-2.7772051424474995
MVI_40991,24,196,2,148.41094243460657,191.94059698642621,194.8406460875981,-2.9000491011718736
MVI_39821,24,200,3,31.44374094546948,33.719727466263784,37.01880662959063,-3.2990791633268444
MVI_40991,20,166,1,28.81451615315265,140.91406227112043,145.32938103085135,-4.415318759730923
MVI_40732,40,181,2,28.7776131037748,84.9576939181165,90.70515972659892,-5.747465808482417
MVI_40991,13,221,2,132.13130925235635,103.7358439789677,110.53259363352426,-6.796749654556564
MVI_40991,19,166,1,24.24502773370587,175.702549785279,183.0602540807597,-7.3577042954807155
MVI_40991,3,181,1,140.82143793304675,213.07472752237945,220.51073938777617,-7.436011865396722
MVI_63544,12,151,1,13.880269378447176,106.58040649756808,115.23084875787252,-8.650442260304445
MVI_40992,5,181,2,19.846701513055677,156.55625516026345,165.83018827989665,-9.273933119633199
MVI_40991,26,151,1,12.09287940318904,750.6520602683403,762.5174455279249,-11.865385259584627
MVI_40204,115,151,2,30.604745354654227,198.6696447667343,210.69425309653977,-12.02460832980546
MVI_40751,7,186,3,15.64058676833028,89.89122841740333,103.63259486415166,-13.74136644674833
MVI_40992,27,151,2,31.474348077093687,112.07868294837874,127.6389675493816,-15.560284601002863
MVI_40991,21,156,1,24.6030160791888,264.9195667246188,280.5338080255369,-15.614241300918138
MVI_40732,16,261,3,30.26794025435356,37.59934631958615,58.704047566025736,-21.10470124643959
MVI_39931,17,191,2,0.791983449511361,181.78995481549617,204.01663442076375,-22.226679605267577
MVI_39931,19,226,2,12.822257957118783,186.36185662274474,208.9032885136154,-22.541431890870655
MVI_40992,12,161,3,150.66798518899446,169.41918980635458,203.4608558239532,-34.04166601759863
MVI_40992,37,171,2,16.400193178273497,259.4564148697115,299.215841460621,-39.75942659090947
MVI_39931,14,211,2,14.327329183533651,201.72430269127125,242.38835730046412,-40.664054609192874
MVI_40992,33,166,1,0.6088574238937912,717.512081908636,759.8816112879537,-42.36952937931767
MVI_39931,12,166,2,2.0374918804343816,296.7650588151373,406.14434985052424,-109.37929103538693
MVI_40991,12,181,1,10.985228652632635,120.17579444329063,257.7560567099002,-137.58026226660957
MVI_63544,10,166,2,55.21332629077455,224.73215571589023,372.11055610755284,-147.3784003916626
MVI_40751,11,156,2,16.538877405326915,145.485932170067,362.55135702551325,-217.06542485544625
MVI_40172,16,227,1,2.823249747978512,451.06454901502565,814.9294988560039,-363.8649498409782
