gap_name,n_gap,omega_deg_per_frame,err_cv_px,err_ekf_ctrv_px,err_ukf_ctrv_px,cv_minus_ekf_px,ekf_minus_ukf_px
short (0.2s),5,0.0,1.759,2.096,2.119,-0.337,-0.0233
short (0.2s),5,0.5,2.809,2.094,2.118,0.715,-0.0241
short (0.2s),5,1.0,4.814,2.101,2.125,2.713,-0.0242
short (0.2s),5,2.0,9.086,2.127,2.151,6.959,-0.0244
short (0.2s),5,3.0,13.216,2.147,2.171,11.069,-0.0238
short (0.2s),5,5.0,20.45,2.149,2.167,18.301,-0.0183
medium (0.8s),20,0.0,2.881,5.109,5.484,-2.227,-0.375
medium (0.8s),20,0.5,11.225,5.099,5.508,6.127,-0.4093
medium (0.8s),20,1.0,21.763,5.127,5.584,16.636,-0.4565
medium (0.8s),20,2.0,42.258,5.229,5.715,37.028,-0.4857
medium (0.8s),20,3.0,60.969,5.242,5.758,55.727,-0.5163
medium (0.8s),20,5.0,90.101,4.98,5.693,85.121,-0.7136
long (2.0s),50,0.0,5.183,15.707,24.936,-10.524,-9.2292
long (2.0s),50,0.5,43.802,15.591,29.235,28.212,-13.6446
long (2.0s),50,1.0,85.729,15.56,26.935,70.17,-11.3757
long (2.0s),50,2.0,160.854,15.427,24.671,145.428,-9.2448
long (2.0s),50,3.0,217.414,14.506,26.614,202.908,-12.1087
long (2.0s),50,5.0,259.582,11.007,22.989,248.574,-11.9815
