video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_20011,28,2,full,medium,21,KF + CV,0.2505858410352728,0.18156771134961472,1.0,664.7472182164042
MVI_20011,28,2,full,medium,21,EKF + CTRV,0.15062659969239606,0.0454836049402175,1.0,799.3950366949467
MVI_20011,28,2,full,medium,21,UKF + CTRV,0.1922940721393538,0.10348209408020247,1.0,656.2204503396392
MVI_20011,40,1,full,medium,24,KF + CV,0.2243263433578988,0.14533902464969517,1.0,691.7846137132518
MVI_20011,40,1,full,medium,24,EKF + CTRV,0.003666409845609917,-0.18179717260318187,1.0,916.8052177784336
MVI_20011,40,1,full,medium,24,UKF + CTRV,0.0,-0.18539727073251236,1.1,639.5805033224725
MVI_20012,38,0,full,medium,29,KF + CV,0.29804635000153584,0.26693488492719475,1.0,2444.518593857514
MVI_20012,38,0,full,medium,29,EKF + CTRV,0.4580019765474394,0.448013364027363,1.0,3883.3240620906254
MVI_20012,38,0,full,medium,29,UKF + CTRV,0.18003624183944178,0.1311403974744152,1.0,1540.078166950054
MVI_20062,12,1,full,medium,35,KF + CV,0.8536621252245551,0.852161992069856,1.0,2263.523899707487
MVI_20062,12,1,full,medium,35,EKF + CTRV,0.5637942178257811,0.5389441139959932,1.0,2216.5065572072926
MVI_20062,12,1,full,medium,35,UKF + CTRV,0.3996628404660058,0.34801222058037096,1.0,1582.5313742041762
MVI_39821,17,1,full,long,65,KF + CV,0.0,-0.48913446902334595,6.300000000000004,15097.41948576343
MVI_39821,17,1,full,long,65,EKF + CTRV,0.0,-0.48609462528851727,6.100000000000005,38300.32290789037
MVI_39821,17,1,full,long,65,UKF + CTRV,0.0,-0.5529664479678251,8.200000000000006,7225.936158218158
MVI_39861,4,1,full,medium,24,KF + CV,0.0,-0.660547699636692,7.600000000000005,1460.8863847397095
MVI_39861,4,1,full,medium,24,EKF + CTRV,0.0,-0.6678265253322175,7.800000000000006,3780.4726888422
MVI_39861,4,1,full,medium,24,UKF + CTRV,0.0,-0.6738864521594744,8.100000000000007,3074.1339924549507
MVI_39931,4,0,full,medium,20,KF + CV,0.6160281390783695,0.6042724907007337,1.0,750.8431941241178
MVI_39931,4,0,full,medium,20,EKF + CTRV,0.5318974886420529,0.5130087292995227,1.0,1036.812660641451
MVI_39931,4,0,full,medium,20,UKF + CTRV,0.5043783588247176,0.4787896764168016,1.0,886.1841384405785
MVI_40131,1,0,full,long,61,KF + CV,0.0,-0.17820602954617756,3.100000000000002,17165.091811273873
MVI_40131,1,0,full,long,61,EKF + CTRV,0.0,-0.13069416083344237,2.300000000000001,23092.176065747717
MVI_40131,1,0,full,long,61,UKF + CTRV,0.0013983059959436826,-0.08743744411825748,1.0,10329.056906887916
MVI_40131,19,0,full,long,54,KF + CV,0.9854093609318885,0.9854089027850638,1.0,17048.754731247274
MVI_40131,19,0,full,long,54,EKF + CTRV,0.8508581164072357,0.8486548411309249,1.0,11677.324388592207
MVI_40131,19,0,full,long,54,UKF + CTRV,0.8508312257358591,0.848627035763304,1.0,11610.924147264448
MVI_40131,35,0,full,long,50,KF + CV,0.7173729750854956,0.704844418049367,1.0,19639.37762031814
MVI_40131,35,0,full,long,50,EKF + CTRV,0.6908870448753689,0.6781902469153708,1.0,13949.395810777614
MVI_40131,35,0,full,long,50,UKF + CTRV,0.6825300603850537,0.6694884256585393,1.0,13425.781666125353
MVI_40152,26,0,full,medium,31,KF + CV,0.12774998109085103,0.012248558788839778,1.0,1723.0842310651663
MVI_40152,26,0,full,medium,31,EKF + CTRV,0.19788772487401196,0.09326004085047562,1.0,3439.744325948111
MVI_40152,26,0,full,medium,31,UKF + CTRV,0.062089542158245664,-0.11318448201971412,1.0,949.295576358779
MVI_40162,39,0,full,medium,25,KF + CV,0.3487886454938549,0.309475467065704,1.0,1232.984044266074
MVI_40162,39,0,full,medium,25,EKF + CTRV,0.5251740733651548,0.5044830579825521,1.0,3515.3651652262147
MVI_40162,39,0,full,medium,25,UKF + CTRV,0.28075081664659235,0.20258115923078746,1.0,717.388236973139
MVI_40162,54,0,full,medium,22,KF + CV,0.4569944883447685,0.42692637905360314,1.0,1173.1477208224112
MVI_40162,54,0,full,medium,22,EKF + CTRV,0.17590997768210445,0.08368399460787523,1.0,1410.1124713862146
MVI_40162,54,0,full,medium,22,UKF + CTRV,0.12065716865151166,0.008744829682177643,1.0,982.165174658093
MVI_40171,41,0,full,long,66,KF + CV,0.9248312421333745,0.9248312288066153,1.0,54163.35832727868
MVI_40171,41,0,full,long,66,EKF + CTRV,0.8842834439873531,0.8841990219553414,1.0,36733.80933255719
MVI_40171,41,0,full,long,66,UKF + CTRV,0.8842695244441094,0.8841849377990736,1.0,36641.53090373125
MVI_40171,41,1,full,long,38,KF + CV,0.9832289492785389,0.983228935891718,1.0,12358.702301229692
MVI_40171,41,1,full,long,38,EKF + CTRV,0.9281918212203573,0.9280706481007666,1.0,8628.351190422034
MVI_40171,41,1,full,long,38,UKF + CTRV,0.9265795991514452,0.926450932589656,1.0,8538.85664257453
MVI_40172,99,0,full,long,42,KF + CV,0.8053798538081995,0.8048551060864919,1.0,18239.44289105932
MVI_40172,99,0,full,long,42,EKF + CTRV,0.8053798538081995,0.8053303677269249,1.0,12696.45026941147
MVI_40172,99,0,full,long,42,UKF + CTRV,0.8053798538081992,0.8053400915684644,1.0,12571.719209598003
MVI_40172,99,1,full,long,40,KF + CV,0.9977004820612503,0.9977004759266195,1.0,14593.513882294317
MVI_40172,99,1,full,long,40,EKF + CTRV,0.9963457296698511,0.996345607005207,1.0,10106.771205417266
MVI_40172,99,1,full,long,40,UKF + CTRV,0.9963451077437494,0.9963449822320128,1.0,10061.409546556912
MVI_40172,102,5,full,long,53,KF + CV,0.93480685856797,0.9345475804879556,1.0,21379.288595485174
MVI_40172,102,5,full,long,53,EKF + CTRV,0.9465652618952859,0.9463567176072315,1.0,14636.765724532745
MVI_40172,102,5,full,long,53,UKF + CTRV,0.9397218621189939,0.9394095669613471,1.0,14572.938366584616
MVI_40172,102,8,full,long,67,KF + CV,0.7828712626154098,0.7784847497085281,1.0,36946.376085776545
MVI_40172,102,8,full,long,67,EKF + CTRV,0.7986499791458526,0.7944860553034928,1.0,25538.544197610776
MVI_40172,102,8,full,long,67,UKF + CTRV,0.8019745667873928,0.797969601426028,1.0,24984.305325212757
MVI_40172,102,9,full,long,87,KF + CV,0.6852162657014378,0.6784161888848003,1.0,71603.31681813831
MVI_40172,102,9,full,long,87,EKF + CTRV,0.7161297950867622,0.7099818315303023,1.0,54476.28034329459
MVI_40172,102,9,full,long,87,UKF + CTRV,0.7686729286231994,0.7637587332693688,1.0,48235.73484226533
MVI_40172,105,0,full,long,47,KF + CV,0.9737205138247362,0.9737205042879246,1.0,14013.930151578234
MVI_40172,105,0,full,long,47,EKF + CTRV,0.9319146365292252,0.9316828210944216,1.0,9643.306109619256
MVI_40172,105,0,full,long,47,UKF + CTRV,0.9319146365292205,0.9316828210944168,1.0,9588.427882727603
MVI_40172,105,1,full,long,42,KF + CV,0.9968333525157023,0.9968333220797018,1.0,10941.34049632646
MVI_40172,105,1,full,long,42,EKF + CTRV,0.987942917848079,0.9879331949757253,1.0,7581.037080323956
MVI_40172,105,1,full,long,42,UKF + CTRV,0.9879113416596812,0.9879014839372665,1.0,7529.3466654459635
MVI_40172,105,3,full,medium,20,KF + CV,0.9905924154612619,0.990592415166045,1.0,2288.18584191878
MVI_40172,105,3,full,medium,20,EKF + CTRV,0.9864679368633171,0.9864669854609056,1.0,1679.7911048362905
MVI_40172,105,3,full,medium,20,UKF + CTRV,0.9864655478520965,0.9864645937431333,1.0,1657.9377281427217
MVI_40204,35,0,full,medium,21,KF + CV,0.1475006826472556,0.007853756209167562,1.0,348.1511030584691
