motion_model,variant,n,preserved,switched,lost,giu_ID_%,noi_nham_%
EKF + CTRV,DIoU,259,85,43,131,32.82,16.6
EKF + CTRV,DIoU + gate,261,79,49,133,30.27,18.77
EKF + CTRV,IoU (goc),256,82,45,129,32.03,17.58
EKF + CTRV,expanded gate,258,85,43,130,32.95,16.67
KF + CV,DIoU,256,85,41,130,33.2,16.02
KF + CV,DIoU + gate,258,83,44,131,32.17,17.05
KF + CV,IoU (goc),255,81,45,129,31.76,17.65
KF + CV,expanded gate,258,85,43,130,32.95,16.67
UKF + CTRV,DIoU,260,85,43,132,32.69,16.54
UKF + CTRV,DIoU + gate,261,82,46,133,31.42,17.62
UKF + CTRV,IoU (goc),256,82,45,129,32.03,17.58
UKF + CTRV,expanded gate,260,85,43,132,32.69,16.54
