video,track_id,seg_id,bucket,length_frames,duration_s,status,id_before,id_after,recall_during,gt_track_len,occlusion_level,motion_model,variant,variant_key
MVI_40131,1,0,long,120,4.8,switched,4.0,116.0,0.2583,486,partial,KF + CV,IoU (goc),iou
MVI_40131,12,0,long,81,3.24,no_before,,,0.4938,326,partial,KF + CV,IoU (goc),iou
MVI_40131,16,0,long,52,2.08,switched,70.0,93.0,0.1923,256,partial,KF + CV,IoU (goc),iou
MVI_40131,16,1,medium,22,0.88,preserved,93.0,93.0,1.0,256,partial,KF + CV,IoU (goc),iou
MVI_40131,17,0,long,64,2.56,no_before,,,0.375,171,partial,KF + CV,IoU (goc),iou
MVI_40131,19,0,medium,19,0.76,preserved,79.0,79.0,0.4211,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,1,long,114,4.56,switched,79.0,408.0,0.2368,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,2,medium,18,0.72,preserved,408.0,408.0,1.0,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,3,short,6,0.24,preserved,408.0,408.0,1.0,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,4,medium,13,0.52,preserved,499.0,499.0,1.0,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,5,long,72,2.88,preserved,499.0,499.0,1.0,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,19,6,medium,29,1.16,preserved,499.0,499.0,1.0,1086,partial,KF + CV,IoU (goc),iou
MVI_40131,20,0,short,5,0.2,no_before,,,0.0,406,partial,KF + CV,IoU (goc),iou
MVI_40131,20,1,long,62,2.48,no_before,,,0.0968,406,partial,KF + CV,IoU (goc),iou
MVI_40131,20,2,short,7,0.28,preserved,111.0,111.0,1.0,406,partial,KF + CV,IoU (goc),iou
MVI_40131,23,0,medium,25,1.0,no_before,,,0.24,226,partial,KF + CV,IoU (goc),iou
MVI_40131,25,0,long,177,7.08,switched,154.0,197.0,0.9209,321,partial,KF + CV,IoU (goc),iou
MVI_40131,26,0,long,84,3.36,preserved,173.0,173.0,0.6667,231,partial,KF + CV,IoU (goc),iou
MVI_40131,29,0,long,102,4.08,switched,243.0,425.0,0.9216,816,partial,KF + CV,IoU (goc),iou
MVI_40131,30,0,short,9,0.36,preserved,214.0,214.0,1.0,296,partial,KF + CV,IoU (goc),iou
MVI_40131,30,1,long,51,2.04,preserved,214.0,214.0,0.902,296,partial,KF + CV,IoU (goc),iou
