model,variant,HOTA,AssA,IDF1,IDSW,FP,FN
KF + CV,IoU (goc),0.5759867580058464,0.6207887351828009,0.7110216546363132,308,5482,25512
KF + CV,DIoU,0.5657535762937569,0.5997932143665182,0.6954424185454998,631,5876,25304
KF + CV,expanded gate,0.5709314912725689,0.61489490580536,0.7099763488748426,1615,5925,25433
KF + CV,DIoU + gate,0.5688115848206902,0.6099078423760478,0.701968620997241,1647,5926,25417
EKF + CTRV,IoU (goc),0.5750120931245581,0.6191519950241203,0.708211245504159,327,5449,25537
EKF + CTRV,DIoU,0.5610304430561545,0.5894269209847881,0.6894101218745031,734,5817,25270
EKF + CTRV,expanded gate,0.5648986743650447,0.6026104065525474,0.7000435470826911,1990,5984,25423
EKF + CTRV,DIoU + gate,0.5620679252316825,0.5964118915040162,0.6912638004576532,1859,5955,25414
UKF + CTRV,IoU (goc),0.5749578779031824,0.6191295153347534,0.7078956685943586,321,5453,25522
UKF + CTRV,DIoU,0.5630742424331378,0.5942796992527956,0.6928388269527174,719,5873,25300
UKF + CTRV,expanded gate,0.5649842751701438,0.6031194633829806,0.7001686387260865,1884,5998,25420
UKF + CTRV,DIoU + gate,0.5610816344505452,0.5948514152336394,0.6916506571945876,1835,5990,25394
