model,variant,HOTA,AssA,IDF1,IDSW
KF + CV,IoU (goc),0.5759867580058464,0.6207887351828009,0.7110216546363132,308
KF + CV,DIoU,0.5657535762937569,0.5997932143665182,0.6954424185454998,631
KF + CV,expanded gate,0.5709314912725689,0.61489490580536,0.7099763488748426,1615
KF + CV,gate k<=2 + DIoU,0.5714397486626034,0.6137992293468224,0.7086873267477308,542
KF + CV,gate k<=3 + DIoU,0.5708433200373638,0.6122204015111358,0.7072705404172369,549
EKF + CTRV,IoU (goc),0.5750120931245581,0.6191519950241203,0.708211245504159,327
EKF + CTRV,DIoU,0.5610304430561545,0.5894269209847881,0.6894101218745031,734
EKF + CTRV,expanded gate,0.5648986743650447,0.6026104065525474,0.7000435470826911,1990
EKF + CTRV,gate k<=2 + DIoU,0.5679647582351803,0.606232863073804,0.7039567400113406,676
EKF + CTRV,gate k<=3 + DIoU,0.5677825235378626,0.6053448404566066,0.7034906234441556,662
UKF + CTRV,IoU (goc),0.5749578779031824,0.6191295153347534,0.7078956685943586,321
UKF + CTRV,DIoU,0.5630742424331378,0.5942796992527956,0.6928388269527174,719
UKF + CTRV,expanded gate,0.5649842751701438,0.6031194633829806,0.7001686387260865,1884
UKF + CTRV,gate k<=2 + DIoU,0.5682506254285922,0.6069761626736534,0.7029967854550482,651
UKF + CTRV,gate k<=3 + DIoU,0.5679772587629865,0.6061423243923488,0.7024056408129407,673
