occlusion_level,bucket,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct
full,long,EKF + CTRV,17,1,0,-1,1.0,False
full,long,UKF + CTRV,17,0,0,0,1.0,False
full,medium,EKF + CTRV,114,4,5,1,1.0,False
full,medium,UKF + CTRV,114,3,6,3,0.5078,False
full,short,EKF + CTRV,270,5,6,1,1.0,False
full,short,UKF + CTRV,270,4,4,0,1.0,False
partial,long,EKF + CTRV,440,7,4,-3,0.5488,False
partial,long,UKF + CTRV,440,5,8,3,0.5811,False
partial,medium,EKF + CTRV,516,5,3,-2,0.7266,False
partial,medium,UKF + CTRV,516,7,5,-2,0.7744,False
partial,short,EKF + CTRV,345,1,3,2,0.625,False
partial,short,UKF + CTRV,345,1,3,2,0.625,False
