occlusion_level,bucket,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0,tap
full,medium,KF + CV,EKF + CTRV,114,109,0.6491,0.6579,-0.88,-6.14,4.39,-6.19,4.39,True,train
full,medium,KF + CV,UKF + CTRV,114,109,0.6491,0.6754,-2.63,-7.89,2.63,-7.89,2.61,True,train
full,medium,EKF + CTRV,UKF + CTRV,114,109,0.6579,0.6754,-1.75,-4.39,0.0,-4.39,0.0,True,train
partial,long,KF + CV,EKF + CTRV,440,411,0.3364,0.3295,0.68,-0.68,2.27,-0.69,2.07,True,train
partial,long,KF + CV,UKF + CTRV,440,411,0.3364,0.3432,-0.68,-2.27,0.91,-2.3,0.91,True,train
partial,long,EKF + CTRV,UKF + CTRV,440,411,0.3295,0.3432,-1.36,-2.5,-0.45,-2.5,-0.45,False,train
full,long,KF + CV,EKF + CTRV,115,89,0.0696,0.0783,-0.87,-2.61,0.0,-2.83,0.0,True,test
full,long,KF + CV,UKF + CTRV,115,89,0.0696,0.0783,-0.87,-2.61,0.0,-2.83,0.0,True,test
full,long,EKF + CTRV,UKF + CTRV,115,89,0.0783,0.0783,0.0,0.0,0.0,0.0,0.0,True,test
full,medium,KF + CV,EKF + CTRV,102,87,0.2549,0.2549,0.0,-2.94,2.94,-2.94,2.97,True,test
full,medium,KF + CV,UKF + CTRV,102,87,0.2549,0.2549,0.0,-2.94,2.94,-2.94,2.91,True,test
full,medium,EKF + CTRV,UKF + CTRV,102,87,0.2549,0.2549,0.0,-2.94,2.94,-3.0,2.91,True,test
partial,long,KF + CV,EKF + CTRV,615,437,0.4049,0.4114,-0.65,-1.95,0.49,-1.92,0.63,True,test
partial,long,KF + CV,UKF + CTRV,615,437,0.4049,0.4098,-0.49,-1.95,0.98,-1.93,0.98,True,test
partial,long,EKF + CTRV,UKF + CTRV,615,437,0.4114,0.4098,0.16,-0.98,1.46,-1.01,1.45,True,test
