occlusion_level,bucket,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct,tap
full,long,EKF + CTRV,17,1,0,-1,1.0,False,train
full,long,UKF + CTRV,17,0,0,0,1.0,False,train
full,medium,EKF + CTRV,114,4,5,1,1.0,False,train
full,medium,UKF + CTRV,114,3,6,3,0.5078,False,train
partial,long,EKF + CTRV,440,7,4,-3,0.5488,False,train
partial,long,UKF + CTRV,440,5,8,3,0.5811,False,train
full,long,EKF + CTRV,115,0,1,1,1.0,False,test
full,long,UKF + CTRV,115,0,1,1,1.0,False,test
full,medium,EKF + CTRV,102,1,1,0,1.0,False,test
full,medium,UKF + CTRV,102,1,1,0,1.0,False,test
partial,long,EKF + CTRV,615,5,9,4,0.424,False,test
partial,long,UKF + CTRV,615,8,11,3,0.6476,False,test
