video,track_id,event_id,start_frame,end_frame,length_frames,has_full,eligible,exclusion_reason,outcome,id_before,id_after,id_continuous,recall_during,tracker
MVI_20011,8,0,25,75,51,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,10,0,47,107,61,False,True,,switched,15.0,91.0,False,0.0984,runB-cv
MVI_20011,13,0,64,171,108,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,13,1,197,209,13,False,True,,lost_after,65.0,,False,0.0,runB-cv
MVI_20011,21,0,227,302,76,False,True,,preserved,147.0,147.0,True,1.0,runB-cv
MVI_20011,24,0,229,269,41,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,26,0,295,315,21,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,28,0,301,404,104,True,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,28,1,409,421,13,True,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20011,29,0,511,541,31,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20011,29,1,650,664,15,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20011,34,0,478,541,64,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20011,35,0,367,479,113,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,35,1,488,495,8,False,True,,preserved,256.0,256.0,True,1.0,runB-cv
MVI_20011,37,0,397,447,51,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,37,1,453,571,119,False,True,,lost_after,233.0,,False,0.3109,runB-cv
MVI_20011,40,0,421,533,113,True,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,40,1,538,575,38,True,True,,lost_after,249.0,,False,0.0,runB-cv
MVI_20011,43,0,475,529,55,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,43,1,548,553,6,False,True,,preserved,272.0,272.0,True,1.0,runB-cv
MVI_20011,43,2,560,571,12,False,True,,lost_after,272.0,,False,0.0,runB-cv
MVI_20011,43,3,593,599,7,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20011,47,0,570,638,69,False,True,,no_match_before,,,False,0.0725,runB-cv
MVI_20011,47,1,645,652,8,False,True,,preserved,358.0,358.0,True,1.0,runB-cv
MVI_20011,47,2,658,662,5,False,True,,preserved,358.0,358.0,True,1.0,runB-cv
MVI_20011,48,0,541,664,124,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,51,0,619,646,28,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20011,51,1,652,663,12,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20011,52,0,631,664,34,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,3,0,1,11,11,True,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,3,1,31,402,372,True,True,,no_match_before,,,False,0.4704,runB-cv
MVI_20012,5,0,1,22,22,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,9,0,34,43,10,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20012,11,0,1,81,81,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,12,0,35,41,7,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20012,12,1,52,82,31,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20012,14,0,31,88,58,True,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,14,1,209,326,118,False,True,,preserved,39.0,39.0,True,1.0,runB-cv
MVI_20012,15,0,293,399,107,False,True,,switched,58.0,220.0,False,0.7757,runB-cv
MVI_20012,16,0,79,221,143,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,16,1,238,241,4,False,True,,preserved,52.0,52.0,True,1.0,runB-cv
MVI_20012,16,2,247,267,21,False,True,,preserved,52.0,52.0,True,1.0,runB-cv
MVI_20012,16,3,295,325,31,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20012,17,0,209,221,13,False,True,,preserved,76.0,76.0,True,1.0,runB-cv
MVI_20012,17,1,231,271,41,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20012,18,0,139,142,4,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,18,1,149,177,29,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20012,18,2,187,224,38,False,True,,no_match_before,,,False,0.1579,runB-cv
MVI_20012,25,0,321,331,11,False,True,,switched,173.0,197.0,False,0.0,runB-cv
MVI_20012,26,0,295,392,98,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,28,0,355,430,76,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,28,1,435,444,10,False,True,,preserved,298.0,298.0,True,1.0,runB-cv
MVI_20012,31,0,403,480,78,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,31,1,486,513,28,False,True,,preserved,301.0,301.0,True,1.0,runB-cv
MVI_20012,36,0,544,679,136,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20012,37,0,487,589,103,False,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,38,0,499,615,117,True,False,gt_missing_before,,,,False,0.0,runB-cv
MVI_20012,41,0,815,842,28,False,True,,lost_after,454.0,,False,0.5357,runB-cv
MVI_20012,41,1,852,855,4,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20033,2,0,83,101,19,False,True,,preserved,2.0,2.0,True,1.0,runB-cv
MVI_20033,2,1,105,173,69,False,True,,lost_after,2.0,,False,0.3913,runB-cv
MVI_20033,5,0,211,233,23,False,True,,no_match_before,,,False,0.0,runB-cv
MVI_20033,5,1,243,247,5,False,False,gt_missing_after,,,,False,0.0,runB-cv
MVI_20033,14,0,530,560,31,False,True,,lost_after,136.0,,False,0.4516,runB-cv
MVI_20034,2,0,90,91,2,False,False,gt_missing_after,,,,False,0.0,runB-cv
