video,track_id,event_id,start_frame,end_frame,length_frames,has_full,gt_before,gt_after,eligible,exclusion_reason
MVI_20011,8,0,25,75,51,False,False,True,False,gt_missing_before
MVI_20011,10,0,47,107,61,False,True,True,True,
MVI_20011,13,0,64,171,108,False,False,True,False,gt_missing_before
MVI_20011,13,1,197,209,13,False,True,True,True,
MVI_20011,21,0,227,302,76,False,True,True,True,
MVI_20011,24,0,229,269,41,False,False,True,False,gt_missing_before
MVI_20011,26,0,295,315,21,False,False,True,False,gt_missing_before
MVI_20011,28,0,301,404,104,True,False,True,False,gt_missing_before
MVI_20011,28,1,409,421,13,True,True,False,False,gt_missing_after
MVI_20011,29,0,511,541,31,False,True,True,True,
MVI_20011,29,1,650,664,15,False,True,False,False,gt_missing_after
MVI_20011,34,0,478,541,64,False,True,False,False,gt_missing_after
MVI_20011,35,0,367,479,113,False,False,True,False,gt_missing_before
MVI_20011,35,1,488,495,8,False,True,True,True,
MVI_20011,37,0,397,447,51,False,False,True,False,gt_missing_before
MVI_20011,37,1,453,571,119,False,True,True,True,
MVI_20011,40,0,421,533,113,True,False,True,False,gt_missing_before
MVI_20011,40,1,538,575,38,True,True,True,True,
MVI_20011,43,0,475,529,55,False,False,True,False,gt_missing_before
MVI_20011,43,1,548,553,6,False,True,True,True,
MVI_20011,43,2,560,571,12,False,True,True,True,
MVI_20011,43,3,593,599,7,False,True,True,True,
MVI_20011,47,0,570,638,69,False,True,True,True,
MVI_20011,47,1,645,652,8,False,True,True,True,
MVI_20011,47,2,658,662,5,False,True,True,True,
MVI_20011,48,0,541,664,124,False,False,False,False,gt_missing_before
MVI_20011,51,0,619,646,28,False,False,True,False,gt_missing_before
MVI_20011,51,1,652,663,12,False,True,True,True,
MVI_20011,52,0,631,664,34,False,False,False,False,gt_missing_before
MVI_20012,3,0,1,11,11,True,False,True,False,gt_missing_before
MVI_20012,3,1,31,402,372,True,True,True,True,
MVI_20012,5,0,1,22,22,False,False,True,False,gt_missing_before
MVI_20012,9,0,34,43,10,False,True,False,False,gt_missing_after
MVI_20012,11,0,1,81,81,False,False,True,False,gt_missing_before
MVI_20012,12,0,35,41,7,False,True,True,True,
MVI_20012,12,1,52,82,31,False,True,True,True,
MVI_20012,14,0,31,88,58,True,False,True,False,gt_missing_before
MVI_20012,14,1,209,326,118,False,True,True,True,
MVI_20012,15,0,293,399,107,False,True,True,True,
MVI_20012,16,0,79,221,143,False,False,True,False,gt_missing_before
MVI_20012,16,1,238,241,4,False,True,True,True,
MVI_20012,16,2,247,267,21,False,True,True,True,
MVI_20012,16,3,295,325,31,False,True,False,False,gt_missing_after
MVI_20012,17,0,209,221,13,False,True,True,True,
MVI_20012,17,1,231,271,41,False,True,False,False,gt_missing_after
MVI_20012,18,0,139,142,4,False,False,True,False,gt_missing_before
MVI_20012,18,1,149,177,29,False,True,True,True,
MVI_20012,18,2,187,224,38,False,True,True,True,
MVI_20012,25,0,321,331,11,False,True,True,True,
MVI_20012,26,0,295,392,98,False,False,True,False,gt_missing_before
MVI_20012,28,0,355,430,76,False,False,True,False,gt_missing_before
MVI_20012,28,1,435,444,10,False,True,True,True,
MVI_20012,31,0,403,480,78,False,False,True,False,gt_missing_before
MVI_20012,31,1,486,513,28,False,True,True,True,
MVI_20012,36,0,544,679,136,False,True,False,False,gt_missing_after
MVI_20012,37,0,487,589,103,False,False,False,False,gt_missing_before
MVI_20012,38,0,499,615,117,True,False,True,False,gt_missing_before
MVI_20012,41,0,815,842,28,False,True,True,True,
MVI_20012,41,1,852,855,4,False,True,False,False,gt_missing_after
MVI_20033,2,0,83,101,19,False,True,True,True,
MVI_20033,2,1,105,173,69,False,True,True,True,
MVI_20033,5,0,211,233,23,False,True,True,True,
MVI_20033,5,1,243,247,5,False,True,False,False,gt_missing_after
MVI_20033,14,0,530,560,31,False,True,True,True,
MVI_20034,2,0,90,91,2,False,True,False,False,gt_missing_after
MVI_20034,4,0,1,31,31,False,False,False,False,gt_missing_before
MVI_20034,6,0,234,253,20,False,True,False,False,gt_missing_after
MVI_20034,7,0,222,325,104,False,True,False,False,gt_missing_after
MVI_20034,15,0,405,469,65,False,True,False,False,gt_missing_after
MVI_20034,16,0,325,343,19,False,True,True,True,
MVI_20034,16,1,619,638,20,False,True,True,True,
MVI_20034,20,0,469,505,37,False,True,False,False,gt_missing_after
MVI_20034,21,0,640,643,4,False,True,False,False,gt_missing_after
MVI_20034,22,0,539,568,30,False,True,True,True,
MVI_20034,23,0,484,643,160,False,True,False,False,gt_missing_after
MVI_20034,24,0,403,417,15,False,False,True,False,gt_missing_before
MVI_20034,24,1,426,440,15,False,True,True,True,
MVI_20034,25,0,403,513,111,False,False,True,False,gt_missing_before
MVI_20034,28,0,439,453,15,False,False,True,False,gt_missing_before
MVI_20034,30,0,548,741,194,False,True,True,True,
MVI_20034,33,0,541,621,81,False,False,True,False,gt_missing_before
MVI_20034,38,0,604,623,20,False,True,True,True,
MVI_20034,38,1,640,662,23,False,True,True,True,
MVI_20034,38,2,684,687,4,False,True,True,True,
MVI_20034,42,0,691,800,110,False,False,False,False,gt_missing_before
MVI_20034,46,0,757,800,44,False,False,False,False,gt_missing_before
MVI_20034,48,0,238,347,110,True,True,True,True,
MVI_20034,48,1,422,455,34,False,True,True,True,
MVI_20034,48,2,646,682,37,False,True,True,True,
MVI_20034,48,3,686,731,46,False,True,False,False,gt_missing_after
MVI_20034,49,0,614,651,38,False,True,False,False,gt_missing_after
MVI_20034,50,0,321,340,20,False,True,True,True,
MVI_20035,1,0,151,157,7,False,True,False,False,gt_missing_after
MVI_20035,2,0,67,115,49,False,True,False,False,gt_missing_after
MVI_20035,10,0,360,375,16,False,True,True,True,
MVI_20035,10,1,381,445,65,False,True,False,False,gt_missing_after
MVI_20035,12,0,389,449,61,False,True,True,True,
MVI_20035,13,0,436,508,73,False,True,True,True,
MVI_20035,15,0,575,601,27,False,True,False,False,gt_missing_after
MVI_20035,19,0,639,691,53,False,True,False,False,gt_missing_after
MVI_20035,22,0,654,727,74,False,True,False,False,gt_missing_after
MVI_20035,28,0,774,800,27,False,True,False,False,gt_missing_after
MVI_20035,33,0,1,11,11,False,False,True,False,gt_missing_before
MVI_20035,34,0,103,135,33,False,True,True,True,
MVI_20035,35,0,1,115,115,False,False,True,False,gt_missing_before
MVI_20035,37,0,99,209,111,False,True,True,True,
MVI_20035,49,0,251,356,106,False,True,True,True,
MVI_20035,54,0,472,500,29,False,True,True,True,
MVI_20035,55,0,397,427,31,False,False,True,False,gt_missing_before
MVI_20035,58,0,487,556,70,False,False,True,False,gt_missing_before
MVI_20035,58,1,605,619,15,False,True,False,False,gt_missing_after
MVI_20035,62,0,577,637,61,False,False,True,False,gt_missing_before
MVI_20051,4,0,1,41,41,False,False,True,False,gt_missing_before
MVI_20051,6,0,19,49,31,False,False,True,False,gt_missing_before
MVI_20051,8,0,67,117,51,False,False,True,False,gt_missing_before
MVI_20051,9,0,73,212,140,False,False,True,False,gt_missing_before
MVI_20051,11,0,134,167,34,False,True,True,True,
MVI_20051,13,0,187,217,31,False,False,True,False,gt_missing_before
MVI_20051,15,0,235,255,21,False,False,True,False,gt_missing_before
MVI_20051,17,0,271,381,111,False,False,True,False,gt_missing_before
MVI_20051,19,0,301,341,41,False,False,True,False,gt_missing_before
MVI_20051,20,0,355,365,11,False,False,True,False,gt_missing_before
MVI_20051,23,0,391,441,51,False,False,True,False,gt_missing_before
MVI_20051,24,0,439,512,74,False,False,True,False,gt_missing_before
MVI_20051,25,0,439,469,31,False,False,True,False,gt_missing_before
MVI_20051,26,0,487,547,61,False,False,True,False,gt_missing_before
MVI_20051,27,0,487,537,51,False,False,True,False,gt_missing_before
MVI_20051,28,0,559,613,55,False,False,True,False,gt_missing_before
MVI_20051,29,0,565,625,61,False,False,True,False,gt_missing_before
MVI_20051,30,0,619,701,83,False,False,True,False,gt_missing_before
MVI_20051,33,0,691,701,11,False,False,True,False,gt_missing_before
MVI_20051,38,0,745,853,109,False,False,True,False,gt_missing_before
MVI_20051,42,0,880,906,27,False,True,False,False,gt_missing_after
MVI_20051,43,0,829,889,61,False,False,True,False,gt_missing_before
MVI_20051,44,0,829,899,71,False,False,True,False,gt_missing_before
MVI_20051,47,0,900,906,7,False,True,False,False,gt_missing_after
MVI_20051,51,0,31,34,4,False,True,True,True,
MVI_20051,51,1,726,762,37,False,True,True,True,
MVI_20051,51,2,786,865,80,False,True,True,True,
MVI_20052,8,0,30,107,78,False,True,True,True,
MVI_20052,10,0,1,31,31,False,False,True,False,gt_missing_before
MVI_20052,12,0,67,109,43,False,True,False,False,gt_missing_after
MVI_20052,13,0,1,11,11,False,False,True,False,gt_missing_before
MVI_20052,14,0,19,69,51,False,False,True,False,gt_missing_before
MVI_20052,15,0,25,65,41,False,False,True,False,gt_missing_before
MVI_20052,20,0,103,178,76,False,False,True,False,gt_missing_before
MVI_20052,23,0,181,211,31,False,False,True,False,gt_missing_before
MVI_20052,24,0,191,286,96,False,True,True,True,
MVI_20052,24,1,295,301,7,False,True,True,True,
MVI_20052,25,0,292,343,52,False,True,False,False,gt_missing_after
MVI_20052,27,0,247,287,41,False,False,True,False,gt_missing_before
MVI_20052,28,0,247,307,61,False,False,True,False,gt_missing_before
MVI_20052,30,0,265,546,282,False,True,True,True,
MVI_20052,31,0,334,394,61,False,True,True,True,
MVI_20052,34,0,343,511,169,False,False,True,False,gt_missing_before
MVI_20052,39,0,427,457,31,False,False,True,False,gt_missing_before
MVI_20052,40,0,599,631,33,False,True,False,False,gt_missing_after
MVI_20052,43,0,128,138,11,False,True,True,True,
MVI_20052,43,1,253,271,19,False,True,True,True,
MVI_20052,43,2,280,353,74,False,True,True,True,
MVI_20052,43,3,364,403,40,False,True,True,True,
MVI_20052,43,4,437,539,103,False,True,True,True,
MVI_20061,7,0,17,267,251,False,True,True,True,
MVI_20061,7,1,339,457,119,False,True,False,False,gt_missing_after
MVI_20061,8,0,96,159,64,False,True,True,True,
MVI_20061,8,1,165,229,65,False,True,False,False,gt_missing_after
MVI_20061,9,0,165,203,39,False,True,True,True,
MVI_20061,9,1,210,212,3,False,True,True,True,
MVI_20061,10,0,1,120,120,False,False,True,False,gt_missing_before
MVI_20061,11,0,1,111,111,False,False,True,False,gt_missing_before
MVI_20061,11,1,134,181,48,False,True,False,False,gt_missing_after
MVI_20061,12,0,1,21,21,False,False,True,False,gt_missing_before
MVI_20061,12,1,102,229,128,False,True,False,False,gt_missing_after
MVI_20061,13,0,21,79,59,False,True,False,False,gt_missing_after
MVI_20061,14,0,1,81,81,False,False,True,False,gt_missing_before
MVI_20061,15,0,1,127,127,False,False,False,False,gt_missing_before
MVI_20061,16,0,1,31,31,False,False,True,False,gt_missing_before
MVI_20061,17,0,1,61,61,False,False,False,False,gt_missing_before
MVI_20061,22,0,173,183,11,False,True,True,True,
MVI_20061,25,0,169,339,171,False,False,True,False,gt_missing_before
MVI_20061,34,0,451,501,51,False,False,True,False,gt_missing_before
MVI_20061,49,0,142,153,12,False,True,True,True,
MVI_20061,49,1,160,215,56,False,True,True,True,
MVI_20061,49,2,219,243,25,False,True,True,True,
MVI_20062,12,0,2,162,161,True,False,True,False,gt_missing_before
MVI_20062,19,0,301,431,131,False,False,True,False,gt_missing_before
MVI_20062,21,0,355,483,129,False,False,True,False,gt_missing_before
MVI_20062,24,0,505,525,21,False,False,True,False,gt_missing_before
MVI_20062,25,0,713,795,83,False,True,True,True,
MVI_20062,26,0,700,778,79,False,False,True,False,gt_missing_before
MVI_20063,4,0,379,383,5,False,True,True,True,
MVI_20063,7,0,235,351,117,False,True,True,True,
MVI_20063,7,1,407,481,75,False,True,False,False,gt_missing_after
MVI_20063,10,0,534,541,8,False,True,False,False,gt_missing_after
MVI_20063,11,0,599,639,41,False,True,True,True,
