occlusion_level,bucket,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0
full,medium,KF + CV,EKF + CTRV,78,73,0.0641,0.1282,-6.41,-12.82,0.0,-13.33,0.0,True
full,medium,KF + CV,UKF + CTRV,78,73,0.0641,0.0769,-1.28,-7.69,3.85,-6.76,3.95,True
full,medium,EKF + CTRV,UKF + CTRV,78,73,0.1282,0.0769,5.13,1.28,10.26,1.23,10.39,False
full,short,KF + CV,EKF + CTRV,180,156,0.2278,0.2333,-0.56,-2.78,1.11,-2.3,1.16,True
full,short,KF + CV,UKF + CTRV,180,156,0.2278,0.2333,-0.56,-2.78,1.11,-2.3,1.16,True
full,short,EKF + CTRV,UKF + CTRV,180,156,0.2333,0.2333,0.0,0.0,0.0,0.0,0.0,True
partial,long,KF + CV,EKF + CTRV,463,436,0.1922,0.1793,1.3,-0.22,3.02,-0.22,2.87,True
partial,long,KF + CV,UKF + CTRV,463,436,0.1922,0.1836,0.86,-0.65,2.38,-0.63,2.41,True
partial,long,EKF + CTRV,UKF + CTRV,463,436,0.1793,0.1836,-0.43,-1.73,0.65,-1.69,0.66,True
partial,medium,KF + CV,EKF + CTRV,499,421,0.477,0.477,0.0,-1.6,1.6,-1.87,1.76,True
partial,medium,KF + CV,UKF + CTRV,499,421,0.477,0.477,0.0,-1.4,1.4,-1.43,1.46,True
partial,medium,EKF + CTRV,UKF + CTRV,499,421,0.477,0.477,0.0,-1.2,1.2,-1.21,1.25,True
partial,short,KF + CV,EKF + CTRV,306,266,0.5261,0.5261,0.0,-1.31,1.31,-1.31,1.32,True
partial,short,KF + CV,UKF + CTRV,306,266,0.5261,0.5196,0.65,-0.65,1.96,-0.65,2.01,True
partial,short,EKF + CTRV,UKF + CTRV,306,266,0.5261,0.5196,0.65,0.0,1.63,0.0,1.66,True
