occlusion_level,bucket,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0
full,medium,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,114,109,0.6491,0.6579,-0.88,-6.14,4.39,-6.19,4.39,True
full,medium,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,114,109,0.6491,0.6754,-2.63,-7.89,2.63,-7.89,2.61,True
full,medium,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,114,109,0.6579,0.6754,-1.75,-4.39,0.0,-4.39,0.0,True
full,short,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,270,218,0.6704,0.6741,-0.37,-2.59,1.85,-3.3,2.37,True
full,short,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,270,218,0.6704,0.6704,0.0,-2.22,2.22,-2.29,2.41,True
full,short,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,270,218,0.6741,0.6704,0.37,-0.74,1.85,-1.09,2.22,True
partial,long,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,440,411,0.3364,0.3295,0.68,-0.68,2.27,-0.69,2.24,True
partial,long,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,440,411,0.3364,0.3432,-0.68,-2.27,0.91,-2.28,0.91,True
partial,long,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,440,411,0.3295,0.3432,-1.36,-2.5,-0.45,-2.52,-0.45,False
partial,medium,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,516,436,0.6395,0.6357,0.39,-0.78,1.55,-0.76,1.67,True
partial,medium,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,516,436,0.6395,0.6357,0.39,-0.97,1.74,-0.96,1.87,True
partial,medium,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,516,436,0.6357,0.6357,0.0,-0.78,0.78,-0.78,0.78,True
partial,short,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,345,294,0.5739,0.5797,-0.58,-1.74,0.58,-2.07,0.59,True
partial,short,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,345,294,0.5739,0.5797,-0.58,-1.74,0.58,-2.07,0.59,True
partial,short,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,345,294,0.5797,0.5797,0.0,0.0,0.0,0.0,0.0,True
