occlusion_level,bucket,seg_curv_class,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0
full,medium,cong gat,KF + CV,EKF + CTRV,48,48,0.1042,0.1458,-4.17,-12.5,4.17,-12.5,4.17,True
full,medium,cong gat,KF + CV,UKF + CTRV,48,48,0.1042,0.1042,0.0,-8.33,8.33,-8.33,8.33,True
full,medium,cong gat,EKF + CTRV,UKF + CTRV,48,48,0.1458,0.1042,4.17,0.0,10.42,0.0,10.42,True
full,short,cong gat,KF + CV,EKF + CTRV,41,40,0.2439,0.2439,0.0,0.0,0.0,0.0,0.0,True
full,short,cong gat,KF + CV,UKF + CTRV,41,40,0.2439,0.2439,0.0,0.0,0.0,0.0,0.0,True
full,short,cong gat,EKF + CTRV,UKF + CTRV,41,40,0.2439,0.2439,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,KF + CV,EKF + CTRV,25,25,0.12,0.12,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,KF + CV,UKF + CTRV,25,25,0.12,0.12,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,EKF + CTRV,UKF + CTRV,25,25,0.12,0.12,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong nhe,KF + CV,EKF + CTRV,101,101,0.1485,0.1485,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong nhe,KF + CV,UKF + CTRV,101,101,0.1485,0.1485,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong nhe,EKF + CTRV,UKF + CTRV,101,101,0.1485,0.1485,0.0,0.0,0.0,0.0,0.0,True
partial,long,thang,KF + CV,EKF + CTRV,202,202,0.1683,0.1584,0.99,-0.99,2.97,-0.99,2.97,True
partial,long,thang,KF + CV,UKF + CTRV,202,202,0.1683,0.1584,0.99,-0.99,2.97,-0.99,2.97,True
partial,long,thang,EKF + CTRV,UKF + CTRV,202,202,0.1584,0.1584,0.0,-1.49,1.49,-1.49,1.49,True
partial,medium,cong gat,KF + CV,EKF + CTRV,119,115,0.3445,0.3529,-0.84,-3.36,1.68,-4.13,1.72,True
partial,medium,cong gat,KF + CV,UKF + CTRV,119,115,0.3445,0.3361,0.84,-1.68,3.36,-1.72,4.0,True
partial,medium,cong gat,EKF + CTRV,UKF + CTRV,119,115,0.3529,0.3361,1.68,0.0,4.2,0.0,4.24,True
partial,medium,cong nhe,KF + CV,EKF + CTRV,122,120,0.5574,0.5328,2.46,0.0,5.74,0.0,5.74,True
partial,medium,cong nhe,KF + CV,UKF + CTRV,122,120,0.5574,0.5492,0.82,0.0,2.46,0.0,2.5,True
partial,medium,cong nhe,EKF + CTRV,UKF + CTRV,122,120,0.5328,0.5492,-1.64,-4.1,0.0,-4.13,0.0,True
partial,medium,thang,KF + CV,EKF + CTRV,95,95,0.4737,0.4842,-1.05,-5.26,2.11,-5.26,2.11,True
partial,medium,thang,KF + CV,UKF + CTRV,95,95,0.4737,0.4842,-1.05,-5.26,2.11,-5.26,2.11,True
partial,medium,thang,EKF + CTRV,UKF + CTRV,95,95,0.4842,0.4842,0.0,0.0,0.0,0.0,0.0,True
partial,short,cong gat,KF + CV,EKF + CTRV,95,92,0.4947,0.5158,-2.11,-5.26,0.0,-5.26,0.0,True
partial,short,cong gat,KF + CV,UKF + CTRV,95,92,0.4947,0.5053,-1.05,-3.16,0.0,-3.16,0.0,True
partial,short,cong gat,EKF + CTRV,UKF + CTRV,95,92,0.5158,0.5053,1.05,0.0,3.16,0.0,3.23,True
