occlusion_level,bucket,seg_curv_class,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0
full,medium,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,60,60,0.5833,0.6167,-3.33,-13.33,5.0,-13.33,5.0,True
full,medium,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,60,60,0.5833,0.6167,-3.33,-13.33,5.0,-13.33,5.0,True
full,medium,cong gat,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,60,60,0.6167,0.6167,0.0,0.0,0.0,0.0,0.0,True
full,medium,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,31,29,0.8387,0.8065,3.23,0.0,9.68,0.0,10.0,True
full,medium,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,31,29,0.8387,0.8387,0.0,0.0,0.0,0.0,0.0,True
full,medium,cong nhe,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,31,29,0.8065,0.8387,-3.23,-9.68,0.0,-10.0,0.0,True
full,short,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,57,54,0.7544,0.7368,1.75,0.0,5.26,0.0,5.45,True
full,short,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,57,54,0.7544,0.7368,1.75,0.0,5.26,0.0,5.45,True
full,short,cong gat,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,57,54,0.7368,0.7368,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,26,26,0.3077,0.3077,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,26,26,0.3077,0.3077,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong gat,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,26,26,0.3077,0.3077,0.0,0.0,0.0,0.0,0.0,True
partial,long,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,91,91,0.3846,0.3626,2.2,-2.2,6.59,-2.2,6.59,True
partial,long,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,91,91,0.3846,0.3626,2.2,-2.2,6.59,-2.2,6.59,True
partial,long,cong nhe,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,91,91,0.3626,0.3626,0.0,0.0,0.0,0.0,0.0,True
partial,long,thang,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,171,171,0.2924,0.3041,-1.17,-2.92,0.0,-2.92,0.0,True
partial,long,thang,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,171,171,0.2924,0.3099,-1.75,-4.09,0.0,-4.09,0.0,True
partial,long,thang,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,171,171,0.3041,0.3099,-0.58,-1.75,0.0,-1.75,0.0,True
partial,medium,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,125,121,0.48,0.48,0.0,0.0,0.0,0.0,0.0,True
partial,medium,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,125,121,0.48,0.48,0.0,0.0,0.0,0.0,0.0,True
partial,medium,cong gat,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,125,121,0.48,0.48,0.0,0.0,0.0,0.0,0.0,True
partial,medium,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,126,124,0.7143,0.7063,0.79,-1.59,3.17,-1.61,3.94,True
partial,medium,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,126,124,0.7143,0.7063,0.79,-1.59,3.17,-1.61,3.94,True
partial,medium,cong nhe,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,126,124,0.7063,0.7063,0.0,0.0,0.0,0.0,0.0,True
partial,medium,thang,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,92,92,0.7065,0.7065,0.0,0.0,0.0,0.0,0.0,True
partial,medium,thang,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,92,92,0.7065,0.6848,2.17,0.0,5.43,0.0,5.43,True
partial,medium,thang,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,92,92,0.7065,0.6848,2.17,0.0,5.43,0.0,5.43,True
partial,short,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,96,93,0.5312,0.5312,0.0,-3.12,3.12,-3.12,3.12,True
partial,short,cong gat,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,96,93,0.5312,0.5312,0.0,-3.12,3.12,-3.12,3.12,True
partial,short,cong gat,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,96,93,0.5312,0.5312,0.0,0.0,0.0,0.0,0.0,True
partial,short,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ekf-ctrv,23,23,0.4783,0.4783,0.0,0.0,0.0,0.0,0.0,True
partial,short,cong nhe,yolov8n-ft-bytetrack,yolov8n-ft-ukf-ctrv,23,23,0.4783,0.4783,0.0,0.0,0.0,0.0,0.0,True
partial,short,cong nhe,yolov8n-ft-ekf-ctrv,yolov8n-ft-ukf-ctrv,23,23,0.4783,0.4783,0.0,0.0,0.0,0.0,0.0,True
