occlusion_level,bucket,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,EKF + CTRV,18,0,10,8,0.0,0.0
full,long,KF + CV,18,0,10,8,0.0,0.0
full,long,UKF + CTRV,18,0,10,8,0.0,0.0
full,medium,EKF + CTRV,78,9,40,29,0.171,0.1154
full,medium,KF + CV,78,5,44,29,0.1704,0.0641
full,medium,UKF + CTRV,78,6,43,29,0.1704,0.0769
full,short,EKF + CTRV,180,42,50,88,0.2248,0.2333
full,short,KF + CV,180,42,50,88,0.2255,0.2333
full,short,UKF + CTRV,180,42,50,88,0.2241,0.2333
partial,long,EKF + CTRV,463,78,107,278,0.5327,0.1685
partial,long,KF + CV,463,84,101,278,0.5334,0.1814
partial,long,UKF + CTRV,463,81,104,278,0.5328,0.1749
partial,medium,EKF + CTRV,499,237,82,180,0.6935,0.4749
partial,medium,KF + CV,499,238,82,179,0.6946,0.477
partial,medium,UKF + CTRV,499,237,82,180,0.6929,0.4749
partial,short,EKF + CTRV,306,161,19,126,0.7192,0.5261
partial,short,KF + CV,306,161,19,126,0.7193,0.5261
partial,short,UKF + CTRV,306,159,21,126,0.7198,0.5196
