occlusion_level,bucket,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,EKF + CTRV,18,2,8,8,0.0,0.1111
full,long,KF + CV,18,2,8,8,0.0,0.1111
full,long,UKF + CTRV,18,3,7,8,0.0,0.1667
full,medium,EKF + CTRV,78,10,39,29,0.1717,0.1282
full,medium,KF + CV,78,5,44,29,0.1709,0.0641
full,medium,UKF + CTRV,78,6,43,29,0.1725,0.0769
full,short,EKF + CTRV,180,42,50,88,0.2248,0.2333
full,short,KF + CV,180,41,52,87,0.2255,0.2278
full,short,UKF + CTRV,180,42,50,88,0.2241,0.2333
partial,long,EKF + CTRV,463,83,102,278,0.5327,0.1793
partial,long,KF + CV,463,89,96,278,0.5333,0.1922
partial,long,UKF + CTRV,463,85,100,278,0.5331,0.1836
partial,medium,EKF + CTRV,499,238,81,180,0.694,0.477
partial,medium,KF + CV,499,238,82,179,0.6953,0.477
partial,medium,UKF + CTRV,499,238,81,180,0.6937,0.477
partial,short,EKF + CTRV,306,161,19,126,0.7192,0.5261
partial,short,KF + CV,306,161,20,125,0.7209,0.5261
partial,short,UKF + CTRV,306,159,21,126,0.7198,0.5196
