occlusion_level,bucket,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,yolov8n-ft-bytetrack,17,4,6,7,0.5553,0.2353
full,long,yolov8n-ft-ekf-ctrv,17,3,7,7,0.554,0.1765
full,long,yolov8n-ft-ukf-ctrv,17,4,6,7,0.554,0.2353
full,medium,yolov8n-ft-bytetrack,114,74,23,17,0.7293,0.6491
full,medium,yolov8n-ft-ekf-ctrv,114,75,22,17,0.7299,0.6579
full,medium,yolov8n-ft-ukf-ctrv,114,77,20,17,0.7297,0.6754
full,short,yolov8n-ft-bytetrack,270,181,38,51,0.6029,0.6704
full,short,yolov8n-ft-ekf-ctrv,270,182,38,50,0.6014,0.6741
full,short,yolov8n-ft-ukf-ctrv,270,181,39,50,0.601,0.6704
partial,long,yolov8n-ft-bytetrack,440,148,57,235,0.8177,0.3364
partial,long,yolov8n-ft-ekf-ctrv,440,145,60,235,0.817,0.3295
partial,long,yolov8n-ft-ukf-ctrv,440,151,54,235,0.8174,0.3432
partial,medium,yolov8n-ft-bytetrack,516,330,33,153,0.8898,0.6395
partial,medium,yolov8n-ft-ekf-ctrv,516,328,35,153,0.8903,0.6357
partial,medium,yolov8n-ft-ukf-ctrv,516,328,35,153,0.8901,0.6357
partial,short,yolov8n-ft-bytetrack,345,198,12,135,0.8358,0.5739
partial,short,yolov8n-ft-ekf-ctrv,345,200,11,134,0.8367,0.5797
partial,short,yolov8n-ft-ukf-ctrv,345,200,11,134,0.8373,0.5797
