occlusion_level,bucket,curvature_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,curved,EKF + CTRV,3,0,2,1,0.0,0.0
full,long,curved,KF + CV,3,0,2,1,0.0,0.0
full,long,curved,UKF + CTRV,3,0,2,1,0.0,0.0
full,long,static,EKF + CTRV,8,0,8,0,0.0,0.0
full,long,static,KF + CV,8,0,8,0,0.0,0.0
full,long,static,UKF + CTRV,8,0,8,0,0.0,0.0
full,long,straight,EKF + CTRV,7,0,0,7,0.0,0.0
full,long,straight,KF + CV,7,0,0,7,0.0,0.0
full,long,straight,UKF + CTRV,7,0,0,7,0.0,0.0
full,medium,curved,EKF + CTRV,23,3,12,8,0.1996,0.1304
full,medium,curved,KF + CV,23,2,13,8,0.1977,0.087
full,medium,curved,UKF + CTRV,23,2,13,8,0.1977,0.087
full,medium,static,EKF + CTRV,4,0,3,1,0.0119,0.0
full,medium,static,KF + CV,4,0,3,1,0.0119,0.0
full,medium,static,UKF + CTRV,4,0,3,1,0.0119,0.0
full,medium,straight,EKF + CTRV,51,6,25,20,0.1706,0.1176
full,medium,straight,KF + CV,51,3,28,20,0.1706,0.0588
full,medium,straight,UKF + CTRV,51,4,27,20,0.1706,0.0784
full,short,curved,EKF + CTRV,73,14,28,31,0.1943,0.1918
full,short,curved,KF + CV,73,14,28,31,0.1943,0.1918
full,short,curved,UKF + CTRV,73,14,28,31,0.1892,0.1918
full,short,static,EKF + CTRV,3,0,1,2,0.0,0.0
full,short,static,KF + CV,3,0,1,2,0.0,0.0
full,short,static,UKF + CTRV,3,0,1,2,0.0,0.0
full,short,straight,EKF + CTRV,104,28,21,55,0.2527,0.2692
full,short,straight,KF + CV,104,28,21,55,0.254,0.2692
full,short,straight,UKF + CTRV,104,28,21,55,0.2552,0.2692
partial,long,curved,EKF + CTRV,172,30,48,94,0.4935,0.1744
partial,long,curved,KF + CV,172,34,44,94,0.4948,0.1977
partial,long,curved,UKF + CTRV,172,33,45,94,0.4937,0.1919
partial,long,static,EKF + CTRV,53,14,22,17,0.5452,0.2642
partial,long,static,KF + CV,53,14,22,17,0.5437,0.2642
partial,long,static,UKF + CTRV,53,14,22,17,0.5476,0.2642
partial,long,straight,EKF + CTRV,238,34,37,167,0.5582,0.1429
partial,long,straight,KF + CV,238,36,35,167,0.5591,0.1513
partial,long,straight,UKF + CTRV,238,34,37,167,0.5579,0.1429
partial,medium,curved,EKF + CTRV,185,85,28,72,0.6432,0.4595
partial,medium,curved,KF + CV,185,86,27,72,0.6458,0.4649
partial,medium,curved,UKF + CTRV,185,85,28,72,0.6432,0.4595
partial,medium,static,EKF + CTRV,61,46,8,7,0.7434,0.7541
partial,medium,static,KF + CV,61,44,11,6,0.7422,0.7213
partial,medium,static,UKF + CTRV,61,44,10,7,0.7362,0.7213
partial,medium,straight,EKF + CTRV,253,106,46,101,0.7182,0.419
partial,medium,straight,KF + CV,253,108,44,101,0.7188,0.4269
partial,medium,straight,UKF + CTRV,253,108,44,101,0.7189,0.4269
partial,short,curved,EKF + CTRV,129,69,10,50,0.702,0.5349
partial,short,curved,KF + CV,129,70,9,50,0.705,0.5426
partial,short,curved,UKF + CTRV,129,68,11,50,0.7026,0.5271
partial,short,static,EKF + CTRV,23,20,1,2,0.8874,0.8696
partial,short,static,KF + CV,23,20,1,2,0.8874,0.8696
partial,short,static,UKF + CTRV,23,20,1,2,0.8874,0.8696
partial,short,straight,EKF + CTRV,146,72,7,67,0.7183,0.4932
partial,short,straight,KF + CV,146,71,8,67,0.716,0.4863
partial,short,straight,UKF + CTRV,146,71,8,67,0.719,0.4863
partial,short,unknown,EKF + CTRV,8,0,1,7,0.5289,0.0
partial,short,unknown,KF + CV,8,0,1,7,0.5289,0.0
partial,short,unknown,UKF + CTRV,8,0,1,7,0.5289,0.0
