occlusion_level,bucket,curvature_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,curved,yolov8n-ft-bytetrack,4,1,2,1,0.3538,0.25
full,long,curved,yolov8n-ft-ekf-ctrv,4,1,2,1,0.3538,0.25
full,long,curved,yolov8n-ft-ukf-ctrv,4,1,2,1,0.3538,0.25
full,long,static,yolov8n-ft-bytetrack,4,0,4,0,0.0,0.0
full,long,static,yolov8n-ft-ekf-ctrv,4,0,4,0,0.0,0.0
full,long,static,yolov8n-ft-ukf-ctrv,4,0,4,0,0.0,0.0
full,long,straight,yolov8n-ft-bytetrack,9,3,0,6,0.8916,0.3333
full,long,straight,yolov8n-ft-ekf-ctrv,9,2,1,6,0.8892,0.2222
full,long,straight,yolov8n-ft-ukf-ctrv,9,3,0,6,0.8892,0.3333
full,medium,curved,yolov8n-ft-bytetrack,28,16,6,6,0.6211,0.5714
full,medium,curved,yolov8n-ft-ekf-ctrv,28,16,6,6,0.6252,0.5714
full,medium,curved,yolov8n-ft-ukf-ctrv,28,17,5,6,0.6252,0.6071
full,medium,static,yolov8n-ft-bytetrack,5,0,3,2,0.019,0.0
full,medium,static,yolov8n-ft-ekf-ctrv,5,0,3,2,0.019,0.0
full,medium,static,yolov8n-ft-ukf-ctrv,5,1,2,2,0.019,0.2
full,medium,straight,yolov8n-ft-bytetrack,81,58,14,9,0.8105,0.716
full,medium,straight,yolov8n-ft-ekf-ctrv,81,59,13,9,0.8099,0.7284
full,medium,straight,yolov8n-ft-ukf-ctrv,81,59,13,9,0.8096,0.7284
full,short,curved,yolov8n-ft-bytetrack,95,51,24,20,0.383,0.5368
full,short,curved,yolov8n-ft-ekf-ctrv,95,53,22,20,0.3734,0.5579
full,short,curved,yolov8n-ft-ukf-ctrv,95,52,23,20,0.3734,0.5474
full,short,static,yolov8n-ft-bytetrack,3,1,0,2,0.0278,0.3333
full,short,static,yolov8n-ft-ekf-ctrv,3,1,0,2,0.0278,0.3333
full,short,static,yolov8n-ft-ukf-ctrv,3,1,0,2,0.0278,0.3333
full,short,straight,yolov8n-ft-bytetrack,172,129,14,29,0.7344,0.75
full,short,straight,yolov8n-ft-ekf-ctrv,172,128,16,28,0.7373,0.7442
full,short,straight,yolov8n-ft-ukf-ctrv,172,128,16,28,0.7366,0.7442
partial,long,curved,yolov8n-ft-bytetrack,179,68,27,84,0.7784,0.3799
partial,long,curved,yolov8n-ft-ekf-ctrv,179,65,30,84,0.7777,0.3631
partial,long,curved,yolov8n-ft-ukf-ctrv,179,69,26,84,0.7787,0.3855
partial,long,static,yolov8n-ft-bytetrack,53,21,16,16,0.7082,0.3962
partial,long,static,yolov8n-ft-ekf-ctrv,53,22,15,16,0.7096,0.4151
partial,long,static,yolov8n-ft-ukf-ctrv,53,23,14,16,0.7101,0.434
partial,long,straight,yolov8n-ft-bytetrack,208,59,14,135,0.8793,0.2837
partial,long,straight,yolov8n-ft-ekf-ctrv,208,58,15,135,0.8781,0.2788
partial,long,straight,yolov8n-ft-ukf-ctrv,208,59,14,135,0.8781,0.2837
partial,medium,curved,yolov8n-ft-bytetrack,194,116,17,61,0.8408,0.5979
partial,medium,curved,yolov8n-ft-ekf-ctrv,194,115,18,61,0.8412,0.5928
partial,medium,curved,yolov8n-ft-ukf-ctrv,194,115,18,61,0.8408,0.5928
partial,medium,static,yolov8n-ft-bytetrack,61,55,2,4,0.9488,0.9016
partial,medium,static,yolov8n-ft-ekf-ctrv,61,56,1,4,0.9488,0.918
partial,medium,static,yolov8n-ft-ukf-ctrv,61,56,1,4,0.9492,0.918
partial,medium,straight,yolov8n-ft-bytetrack,261,159,14,88,0.9124,0.6092
partial,medium,straight,yolov8n-ft-ekf-ctrv,261,157,16,88,0.9132,0.6015
partial,medium,straight,yolov8n-ft-ukf-ctrv,261,157,16,88,0.913,0.6015
partial,short,curved,yolov8n-ft-bytetrack,146,89,6,51,0.8131,0.6096
partial,short,curved,yolov8n-ft-ekf-ctrv,146,89,6,51,0.8132,0.6096
partial,short,curved,yolov8n-ft-ukf-ctrv,146,89,6,51,0.8146,0.6096
partial,short,static,yolov8n-ft-bytetrack,28,22,3,3,0.8869,0.7857
partial,short,static,yolov8n-ft-ekf-ctrv,28,24,2,2,0.8929,0.8571
partial,short,static,yolov8n-ft-ukf-ctrv,28,24,2,2,0.8929,0.8571
partial,short,straight,yolov8n-ft-bytetrack,154,87,2,65,0.8808,0.5649
partial,short,straight,yolov8n-ft-ekf-ctrv,154,87,2,65,0.8782,0.5649
partial,short,straight,yolov8n-ft-ukf-ctrv,154,87,2,65,0.8782,0.5649
partial,short,unknown,yolov8n-ft-bytetrack,17,0,1,16,0.5393,0.0
partial,short,unknown,yolov8n-ft-ekf-ctrv,17,0,1,16,0.57,0.0
partial,short,unknown,yolov8n-ft-ukf-ctrv,17,0,1,16,0.57,0.0
