occlusion_level,bucket,seg_curv_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,cong nhe,EKF + CTRV,5,0,0,5,0.0,0.0
full,long,cong nhe,KF + CV,5,0,0,5,0.0,0.0
full,long,cong nhe,UKF + CTRV,5,0,0,5,0.0,0.0
full,long,dung yen,EKF + CTRV,10,2,8,0,0.0,0.2
full,long,dung yen,KF + CV,10,2,8,0,0.0,0.2
full,long,dung yen,UKF + CTRV,10,3,7,0,0.0,0.3
full,long,thang,EKF + CTRV,3,0,0,3,0.0,0.0
full,long,thang,KF + CV,3,0,0,3,0.0,0.0
full,long,thang,UKF + CTRV,3,0,0,3,0.0,0.0
full,medium,cong gat,EKF + CTRV,48,7,32,9,0.1967,0.1458
full,medium,cong gat,KF + CV,48,5,34,9,0.1954,0.1042
full,medium,cong gat,UKF + CTRV,48,5,34,9,0.1989,0.1042
full,medium,cong nhe,EKF + CTRV,16,1,4,11,0.1987,0.0625
full,medium,cong nhe,KF + CV,16,0,5,11,0.1959,0.0
full,medium,cong nhe,UKF + CTRV,16,0,5,11,0.1959,0.0
full,medium,dung yen,EKF + CTRV,7,1,2,4,0.0068,0.1429
full,medium,dung yen,KF + CV,7,0,3,4,0.0068,0.0
full,medium,dung yen,UKF + CTRV,7,0,3,4,0.0068,0.0
full,medium,thang,EKF + CTRV,7,1,1,5,0.1035,0.1429
full,medium,thang,KF + CV,7,0,2,5,0.1097,0.0
full,medium,thang,UKF + CTRV,7,1,1,5,0.1035,0.1429
full,short,cong gat,EKF + CTRV,41,10,19,12,0.2776,0.2439
full,short,cong gat,KF + CV,41,10,20,11,0.2776,0.2439
full,short,cong gat,UKF + CTRV,41,10,19,12,0.2776,0.2439
full,short,cong nhe,EKF + CTRV,8,3,3,2,0.3434,0.375
full,short,cong nhe,KF + CV,8,3,3,2,0.359,0.375
full,short,cong nhe,UKF + CTRV,8,3,3,2,0.3434,0.375
full,short,dung yen,EKF + CTRV,8,1,2,5,0.1719,0.125
full,short,dung yen,KF + CV,8,1,2,5,0.1719,0.125
full,short,dung yen,UKF + CTRV,8,1,2,5,0.125,0.125
full,short,thang,EKF + CTRV,3,1,0,2,0.3333,0.3333
full,short,thang,KF + CV,3,1,0,2,0.3333,0.3333
full,short,thang,UKF + CTRV,3,1,0,2,0.3333,0.3333
partial,long,cong gat,EKF + CTRV,25,3,5,17,0.4141,0.12
partial,long,cong gat,KF + CV,25,3,5,17,0.4172,0.12
partial,long,cong gat,UKF + CTRV,25,3,5,17,0.415,0.12
partial,long,cong nhe,EKF + CTRV,101,15,22,64,0.5187,0.1485
partial,long,cong nhe,KF + CV,101,15,22,64,0.5176,0.1485
partial,long,cong nhe,UKF + CTRV,101,15,22,64,0.5176,0.1485
partial,long,dung yen,EKF + CTRV,135,33,36,66,0.4656,0.2444
partial,long,dung yen,KF + CV,135,36,33,66,0.4658,0.2667
partial,long,dung yen,UKF + CTRV,135,35,34,66,0.4671,0.2593
partial,long,thang,EKF + CTRV,202,32,39,131,0.5993,0.1584
partial,long,thang,KF + CV,202,35,36,131,0.6006,0.1733
partial,long,thang,UKF + CTRV,202,32,39,131,0.5994,0.1584
partial,medium,cong gat,EKF + CTRV,119,42,18,59,0.6514,0.3529
partial,medium,cong gat,KF + CV,119,41,19,59,0.6565,0.3445
partial,medium,cong gat,UKF + CTRV,119,41,19,59,0.6534,0.3445
partial,medium,cong nhe,EKF + CTRV,122,65,24,33,0.7891,0.5328
partial,medium,cong nhe,KF + CV,122,68,21,33,0.7904,0.5574
partial,medium,cong nhe,UKF + CTRV,122,67,22,33,0.7897,0.5492
partial,medium,dung yen,EKF + CTRV,163,85,23,55,0.6235,0.5215
partial,medium,dung yen,KF + CV,163,84,25,54,0.6231,0.5153
partial,medium,dung yen,UKF + CTRV,163,84,24,55,0.6208,0.5153
partial,medium,thang,EKF + CTRV,95,46,16,33,0.7462,0.4842
partial,medium,thang,KF + CV,95,45,17,33,0.7457,0.4737
partial,medium,thang,UKF + CTRV,95,46,16,33,0.7462,0.4842
partial,short,cong gat,EKF + CTRV,95,49,6,40,0.7544,0.5158
partial,short,cong gat,KF + CV,95,47,8,40,0.7545,0.4947
partial,short,cong gat,UKF + CTRV,95,48,7,40,0.7556,0.5053
partial,short,cong nhe,EKF + CTRV,19,7,3,9,0.7103,0.3684
partial,short,cong nhe,KF + CV,19,7,3,9,0.7162,0.3684
partial,short,cong nhe,UKF + CTRV,19,7,3,9,0.7103,0.3684
partial,short,dung yen,EKF + CTRV,67,39,7,21,0.6624,0.5821
partial,short,dung yen,KF + CV,67,40,6,21,0.6685,0.597
partial,short,dung yen,UKF + CTRV,67,38,8,21,0.6637,0.5672
partial,short,thang,EKF + CTRV,14,6,0,8,0.7226,0.4286
partial,short,thang,KF + CV,14,6,0,8,0.7226,0.4286
partial,short,thang,UKF + CTRV,14,6,0,8,0.7226,0.4286
