occlusion_level,bucket,seg_curv_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,long,cong nhe,yolov8n-ft-bytetrack,6,2,0,4,0.8087,0.3333
full,long,cong nhe,yolov8n-ft-ekf-ctrv,6,1,1,4,0.8051,0.1667
full,long,cong nhe,yolov8n-ft-ukf-ctrv,6,2,0,4,0.8051,0.3333
full,long,dung yen,yolov8n-ft-bytetrack,6,0,6,0,0.0,0.0
full,long,dung yen,yolov8n-ft-ekf-ctrv,6,0,6,0,0.0,0.0
full,long,dung yen,yolov8n-ft-ukf-ctrv,6,0,6,0,0.0,0.0
full,long,thang,yolov8n-ft-bytetrack,5,2,0,3,0.9175,0.4
full,long,thang,yolov8n-ft-ekf-ctrv,5,2,0,3,0.9175,0.4
full,long,thang,yolov8n-ft-ukf-ctrv,5,2,0,3,0.9175,0.4
full,medium,cong gat,yolov8n-ft-bytetrack,60,35,19,6,0.7026,0.5833
full,medium,cong gat,yolov8n-ft-ekf-ctrv,60,37,17,6,0.7046,0.6167
full,medium,cong gat,yolov8n-ft-ukf-ctrv,60,37,17,6,0.7055,0.6167
full,medium,cong nhe,yolov8n-ft-bytetrack,31,26,1,4,0.8839,0.8387
full,medium,cong nhe,yolov8n-ft-ekf-ctrv,31,25,2,4,0.8821,0.8065
full,medium,cong nhe,yolov8n-ft-ukf-ctrv,31,26,1,4,0.8821,0.8387
full,medium,dung yen,yolov8n-ft-bytetrack,9,0,3,6,0.06,0.0
full,medium,dung yen,yolov8n-ft-ekf-ctrv,9,0,3,6,0.06,0.0
full,medium,dung yen,yolov8n-ft-ukf-ctrv,9,1,2,6,0.06,0.1111
full,medium,thang,yolov8n-ft-bytetrack,14,13,0,1,0.9316,0.9286
full,medium,thang,yolov8n-ft-ekf-ctrv,14,13,0,1,0.9316,0.9286
full,medium,thang,yolov8n-ft-ukf-ctrv,14,13,0,1,0.9261,0.9286
full,short,cong gat,yolov8n-ft-bytetrack,57,43,7,7,0.6015,0.7544
full,short,cong gat,yolov8n-ft-ekf-ctrv,57,42,8,7,0.605,0.7368
full,short,cong gat,yolov8n-ft-ukf-ctrv,57,42,8,7,0.605,0.7368
full,short,cong nhe,yolov8n-ft-bytetrack,12,10,2,0,0.8044,0.8333
full,short,cong nhe,yolov8n-ft-ekf-ctrv,12,10,2,0,0.8044,0.8333
full,short,cong nhe,yolov8n-ft-ukf-ctrv,12,10,2,0,0.7951,0.8333
full,short,dung yen,yolov8n-ft-bytetrack,11,5,1,5,0.4765,0.4545
full,short,dung yen,yolov8n-ft-ekf-ctrv,11,4,2,5,0.4816,0.3636
full,short,dung yen,yolov8n-ft-ukf-ctrv,11,4,2,5,0.4816,0.3636
full,short,thang,yolov8n-ft-bytetrack,9,8,0,1,0.8889,0.8889
full,short,thang,yolov8n-ft-ekf-ctrv,9,7,1,1,0.8889,0.7778
full,short,thang,yolov8n-ft-ukf-ctrv,9,8,0,1,0.8889,0.8889
partial,long,cong gat,yolov8n-ft-bytetrack,26,8,4,14,0.5346,0.3077
partial,long,cong gat,yolov8n-ft-ekf-ctrv,26,8,4,14,0.5361,0.3077
partial,long,cong gat,yolov8n-ft-ukf-ctrv,26,8,4,14,0.5367,0.3077
partial,long,cong nhe,yolov8n-ft-bytetrack,91,35,8,48,0.8249,0.3846
partial,long,cong nhe,yolov8n-ft-ekf-ctrv,91,33,10,48,0.8218,0.3626
partial,long,cong nhe,yolov8n-ft-ukf-ctrv,91,33,10,48,0.8224,0.3626
partial,long,dung yen,yolov8n-ft-bytetrack,152,55,31,66,0.7516,0.3618
partial,long,dung yen,yolov8n-ft-ekf-ctrv,152,52,34,66,0.7514,0.3421
partial,long,dung yen,yolov8n-ft-ukf-ctrv,152,57,29,66,0.7524,0.375
partial,long,thang,yolov8n-ft-bytetrack,171,50,14,107,0.9155,0.2924
partial,long,thang,yolov8n-ft-ekf-ctrv,171,52,12,107,0.9154,0.3041
partial,long,thang,yolov8n-ft-ukf-ctrv,171,53,11,107,0.9154,0.3099
partial,medium,cong gat,yolov8n-ft-bytetrack,125,60,11,54,0.8296,0.48
partial,medium,cong gat,yolov8n-ft-ekf-ctrv,125,60,11,54,0.8297,0.48
partial,medium,cong gat,yolov8n-ft-ukf-ctrv,125,60,11,54,0.8295,0.48
partial,medium,cong nhe,yolov8n-ft-bytetrack,126,90,8,28,0.9481,0.7143
partial,medium,cong nhe,yolov8n-ft-ekf-ctrv,126,89,9,28,0.9492,0.7063
partial,medium,cong nhe,yolov8n-ft-ukf-ctrv,126,89,9,28,0.9492,0.7063
partial,medium,dung yen,yolov8n-ft-bytetrack,173,115,10,48,0.8745,0.6647
partial,medium,dung yen,yolov8n-ft-ekf-ctrv,173,114,11,48,0.8755,0.659
partial,medium,dung yen,yolov8n-ft-ukf-ctrv,173,116,9,48,0.8756,0.6705
partial,medium,thang,yolov8n-ft-bytetrack,92,65,4,23,0.9205,0.7065
partial,medium,thang,yolov8n-ft-ekf-ctrv,92,65,4,23,0.9198,0.7065
partial,medium,thang,yolov8n-ft-ukf-ctrv,92,63,6,23,0.919,0.6848
partial,short,cong gat,yolov8n-ft-bytetrack,96,51,3,42,0.8656,0.5312
partial,short,cong gat,yolov8n-ft-ekf-ctrv,96,51,3,42,0.8629,0.5312
