occlusion_level,curvature_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,curved,EKF + CTRV,99,17,42,40,0.1902,0.1717
full,curved,KF + CV,99,16,44,39,0.1892,0.1616
full,curved,UKF + CTRV,99,16,43,40,0.186,0.1616
full,static,EKF + CTRV,15,3,9,3,0.0032,0.2
full,static,KF + CV,15,2,10,3,0.0032,0.1333
full,static,UKF + CTRV,15,3,9,3,0.0032,0.2
full,straight,EKF + CTRV,162,34,46,82,0.216,0.2099
full,straight,KF + CV,162,30,50,82,0.2169,0.1852
full,straight,UKF + CTRV,162,32,48,82,0.2181,0.1975
partial,curved,EKF + CTRV,486,184,86,216,0.6058,0.3786
partial,curved,KF + CV,486,191,80,215,0.6081,0.393
partial,curved,UKF + CTRV,486,187,83,216,0.6061,0.3848
partial,static,EKF + CTRV,137,86,25,26,0.6928,0.6277
partial,static,KF + CV,137,81,31,25,0.6901,0.5912
partial,static,UKF + CTRV,137,82,29,26,0.6904,0.5985
partial,straight,EKF + CTRV,637,212,90,335,0.6585,0.3328
partial,straight,KF + CV,637,216,86,335,0.6591,0.3391
partial,straight,UKF + CTRV,637,213,89,335,0.6591,0.3344
partial,unknown,EKF + CTRV,8,0,1,7,0.5289,0.0
partial,unknown,KF + CV,8,0,1,7,0.5705,0.0
partial,unknown,UKF + CTRV,8,0,1,7,0.5289,0.0
