occlusion_level,curvature_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,curved,EKF + CTRV,99,17,42,40,0.1897,0.1717
full,curved,EKF + CTRV (chan w),99,17,42,40,0.1897,0.1717
full,curved,KF + CV,99,16,43,40,0.1892,0.1616
full,curved,UKF + CTRV,99,16,43,40,0.1854,0.1616
full,static,EKF + CTRV,15,0,12,3,0.0032,0.0
full,static,EKF + CTRV (chan w),15,0,12,3,0.0032,0.0
full,static,KF + CV,15,0,12,3,0.0032,0.0
full,static,UKF + CTRV,15,0,12,3,0.0032,0.0
full,straight,EKF + CTRV,162,34,46,82,0.216,0.2099
full,straight,EKF + CTRV (chan w),162,33,47,82,0.216,0.2037
full,straight,KF + CV,162,31,49,82,0.2167,0.1914
full,straight,UKF + CTRV,162,32,48,82,0.2175,0.1975
partial,curved,EKF + CTRV,486,184,86,216,0.6058,0.3786
partial,curved,EKF + CTRV (chan w),486,186,84,216,0.606,0.3827
partial,curved,KF + CV,486,190,80,216,0.6081,0.3909
partial,curved,UKF + CTRV,486,186,84,216,0.606,0.3827
partial,static,EKF + CTRV,137,80,31,26,0.6909,0.5839
partial,static,EKF + CTRV (chan w),137,80,31,26,0.6905,0.5839
partial,static,KF + CV,137,78,34,25,0.6898,0.5693
partial,static,UKF + CTRV,137,78,33,26,0.6886,0.5693
partial,straight,EKF + CTRV,637,212,90,335,0.6585,0.3328
partial,straight,EKF + CTRV (chan w),637,212,90,335,0.6585,0.3328
partial,straight,KF + CV,637,215,87,335,0.6585,0.3375
partial,straight,UKF + CTRV,637,213,89,335,0.6588,0.3344
partial,unknown,EKF + CTRV,8,0,1,7,0.5289,0.0
partial,unknown,EKF + CTRV (chan w),8,0,1,7,0.5289,0.0
partial,unknown,KF + CV,8,0,1,7,0.5289,0.0
partial,unknown,UKF + CTRV,8,0,1,7,0.5289,0.0
