occlusion_level,curvature_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,curved,yolov8n-ft-bytetrack,127,68,32,27,0.4346,0.5354
full,curved,yolov8n-ft-ekf-ctrv,127,70,30,27,0.4283,0.5512
full,curved,yolov8n-ft-ukf-ctrv,127,70,30,27,0.4283,0.5512
full,static,yolov8n-ft-bytetrack,12,1,7,4,0.0149,0.0833
full,static,yolov8n-ft-ekf-ctrv,12,1,7,4,0.0149,0.0833
full,static,yolov8n-ft-ukf-ctrv,12,2,6,4,0.0149,0.1667
full,straight,yolov8n-ft-bytetrack,262,190,28,44,0.7633,0.7252
full,straight,yolov8n-ft-ekf-ctrv,262,189,30,43,0.765,0.7214
full,straight,yolov8n-ft-ukf-ctrv,262,190,29,43,0.7644,0.7252
partial,curved,yolov8n-ft-bytetrack,519,273,50,196,0.8115,0.526
partial,curved,yolov8n-ft-ekf-ctrv,519,269,54,196,0.8114,0.5183
partial,curved,yolov8n-ft-ukf-ctrv,519,273,50,196,0.812,0.526
partial,static,yolov8n-ft-bytetrack,142,98,21,23,0.8468,0.6901
partial,static,yolov8n-ft-ekf-ctrv,142,102,18,22,0.8485,0.7183
partial,static,yolov8n-ft-ukf-ctrv,142,103,17,22,0.8488,0.7254
partial,straight,yolov8n-ft-bytetrack,623,305,30,288,0.8936,0.4896
partial,straight,yolov8n-ft-ekf-ctrv,623,302,33,288,0.8928,0.4848
partial,straight,yolov8n-ft-ukf-ctrv,623,303,32,288,0.8927,0.4864
partial,unknown,yolov8n-ft-bytetrack,17,0,1,16,0.5393,0.0
partial,unknown,yolov8n-ft-ekf-ctrv,17,0,1,16,0.57,0.0
partial,unknown,yolov8n-ft-ukf-ctrv,17,0,1,16,0.57,0.0
