occlusion_level,seg_curv_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,cong gat,EKF + CTRV,89,17,51,21,0.2334,0.191
full,cong gat,KF + CV,89,15,53,21,0.2329,0.1685
full,cong gat,UKF + CTRV,89,15,53,21,0.2334,0.1685
full,cong nhe,EKF + CTRV,29,4,7,18,0.2044,0.1379
full,cong nhe,KF + CV,29,3,8,18,0.2071,0.1034
full,cong nhe,UKF + CTRV,29,3,8,18,0.2028,0.1034
full,dung yen,EKF + CTRV,25,1,15,9,0.0569,0.04
full,dung yen,KF + CV,25,1,15,9,0.0569,0.04
full,dung yen,UKF + CTRV,25,1,15,9,0.0419,0.04
full,thang,EKF + CTRV,13,2,1,10,0.1327,0.1538
full,thang,KF + CV,13,1,2,10,0.136,0.0769
full,thang,UKF + CTRV,13,2,1,10,0.1327,0.1538
partial,cong gat,EKF + CTRV,239,94,29,116,0.6675,0.3933
partial,cong gat,KF + CV,239,91,32,116,0.6681,0.3808
partial,cong gat,UKF + CTRV,239,91,32,116,0.6686,0.3808
partial,cong nhe,EKF + CTRV,242,87,49,106,0.6701,0.3595
partial,cong nhe,KF + CV,242,90,46,106,0.6709,0.3719
partial,cong nhe,UKF + CTRV,242,89,47,106,0.6699,0.3678
partial,dung yen,EKF + CTRV,365,151,72,142,0.5715,0.4137
partial,dung yen,KF + CV,365,156,68,141,0.5732,0.4274
partial,dung yen,UKF + CTRV,365,153,70,142,0.5709,0.4192
partial,thang,EKF + CTRV,311,84,55,172,0.6497,0.2701
partial,thang,KF + CV,311,85,54,172,0.6507,0.2733
partial,thang,UKF + CTRV,311,84,55,172,0.6496,0.2701
