occlusion_level,seg_curv_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,cong gat,yolov8n-ft-bytetrack,117,78,26,13,0.6533,0.6667
full,cong gat,yolov8n-ft-ekf-ctrv,117,79,25,13,0.6561,0.6752
full,cong gat,yolov8n-ft-ukf-ctrv,117,79,25,13,0.6565,0.6752
full,cong nhe,yolov8n-ft-bytetrack,49,38,3,8,0.8552,0.7755
full,cong nhe,yolov8n-ft-ekf-ctrv,49,36,5,8,0.8537,0.7347
full,cong nhe,yolov8n-ft-ukf-ctrv,49,38,3,8,0.8514,0.7755
full,dung yen,yolov8n-ft-bytetrack,26,5,10,11,0.2224,0.1923
full,dung yen,yolov8n-ft-ekf-ctrv,26,4,11,11,0.2245,0.1538
full,dung yen,yolov8n-ft-ukf-ctrv,26,5,10,11,0.2245,0.1923
full,thang,yolov8n-ft-bytetrack,28,23,0,5,0.9153,0.8214
full,thang,yolov8n-ft-ekf-ctrv,28,22,1,5,0.9153,0.7857
full,thang,yolov8n-ft-ukf-ctrv,28,23,0,5,0.9126,0.8214
partial,cong gat,yolov8n-ft-bytetrack,247,119,18,110,0.8126,0.4818
partial,cong gat,yolov8n-ft-ekf-ctrv,247,119,18,110,0.8117,0.4818
partial,cong gat,yolov8n-ft-ukf-ctrv,247,119,18,110,0.8117,0.4818
partial,cong nhe,yolov8n-ft-bytetrack,240,136,16,88,0.8983,0.5667
partial,cong nhe,yolov8n-ft-ekf-ctrv,240,133,19,88,0.8977,0.5542
partial,cong nhe,yolov8n-ft-ukf-ctrv,240,133,19,88,0.8979,0.5542
partial,dung yen,yolov8n-ft-bytetrack,403,225,43,135,0.8241,0.5583
partial,dung yen,yolov8n-ft-ekf-ctrv,403,222,46,135,0.8246,0.5509
partial,dung yen,yolov8n-ft-ukf-ctrv,403,229,39,135,0.825,0.5682
partial,thang,yolov8n-ft-bytetrack,278,121,18,139,0.9131,0.4353
partial,thang,yolov8n-ft-ekf-ctrv,278,123,16,139,0.9131,0.4424
partial,thang,yolov8n-ft-ukf-ctrv,278,122,17,139,0.9129,0.4388
