occlusion_level,turn_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,gentle,EKF + CTRV,127,31,37,59,0.2138,0.2441
full,gentle,KF + CV,127,26,42,59,0.213,0.2047
full,gentle,UKF + CTRV,127,28,40,59,0.2145,0.2205
full,sharp,EKF + CTRV,39,4,18,17,0.1472,0.1026
full,sharp,KF + CV,39,4,19,16,0.1472,0.1026
full,sharp,UKF + CTRV,39,4,18,17,0.1376,0.1026
full,static,EKF + CTRV,15,3,9,3,0.0032,0.2
full,static,KF + CV,15,2,10,3,0.0032,0.1333
full,static,UKF + CTRV,15,3,9,3,0.0032,0.2
full,straight,EKF + CTRV,95,16,33,46,0.2203,0.1684
full,straight,KF + CV,95,16,33,46,0.222,0.1684
full,straight,UKF + CTRV,95,16,33,46,0.2225,0.1684
partial,gentle,EKF + CTRV,515,176,81,258,0.6324,0.3417
partial,gentle,KF + CV,515,179,79,257,0.6336,0.3476
partial,gentle,UKF + CTRV,515,176,81,258,0.6327,0.3417
partial,sharp,EKF + CTRV,176,75,36,65,0.595,0.4261
partial,sharp,KF + CV,176,80,31,65,0.5984,0.4545
partial,sharp,UKF + CTRV,176,78,33,65,0.5962,0.4432
partial,static,EKF + CTRV,137,86,25,26,0.6928,0.6277
partial,static,KF + CV,137,81,31,25,0.6901,0.5912
partial,static,UKF + CTRV,137,82,29,26,0.6904,0.5985
partial,straight,EKF + CTRV,432,145,59,228,0.6561,0.3356
partial,straight,KF + CV,432,148,56,228,0.6568,0.3426
partial,straight,UKF + CTRV,432,146,58,228,0.6566,0.338
partial,unknown,EKF + CTRV,8,0,1,7,0.5289,0.0
partial,unknown,KF + CV,8,0,1,7,0.5705,0.0
partial,unknown,UKF + CTRV,8,0,1,7,0.5289,0.0
