occlusion_level,turn_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,gentle,EKF + CTRV,127,31,37,59,0.2133,0.2441
full,gentle,EKF + CTRV (chan w),127,30,38,59,0.2133,0.2362
full,gentle,KF + CV,127,27,41,59,0.213,0.2126
full,gentle,UKF + CTRV,127,28,40,59,0.213,0.2205
full,sharp,EKF + CTRV,39,4,18,17,0.1472,0.1026
full,sharp,EKF + CTRV (chan w),39,4,18,17,0.1472,0.1026
full,sharp,KF + CV,39,4,18,17,0.1472,0.1026
full,sharp,UKF + CTRV,39,4,18,17,0.1376,0.1026
full,static,EKF + CTRV,15,0,12,3,0.0032,0.0
full,static,EKF + CTRV (chan w),15,0,12,3,0.0032,0.0
full,static,KF + CV,15,0,12,3,0.0032,0.0
full,static,UKF + CTRV,15,0,12,3,0.0032,0.0
full,straight,EKF + CTRV,95,16,33,46,0.2203,0.1684
full,straight,EKF + CTRV (chan w),95,16,33,46,0.2203,0.1684
full,straight,KF + CV,95,16,33,46,0.2216,0.1684
full,straight,UKF + CTRV,95,16,33,46,0.2229,0.1684
partial,gentle,EKF + CTRV,515,176,81,258,0.6324,0.3417
partial,gentle,EKF + CTRV (chan w),515,177,80,258,0.6324,0.3437
partial,gentle,KF + CV,515,178,79,258,0.6337,0.3456
partial,gentle,UKF + CTRV,515,176,81,258,0.6325,0.3417
partial,sharp,EKF + CTRV,176,75,36,65,0.595,0.4261
partial,sharp,EKF + CTRV (chan w),176,76,35,65,0.5954,0.4318
partial,sharp,KF + CV,176,79,32,65,0.5981,0.4489
partial,sharp,UKF + CTRV,176,77,34,65,0.5958,0.4375
partial,static,EKF + CTRV,137,80,31,26,0.6909,0.5839
partial,static,EKF + CTRV (chan w),137,80,31,26,0.6905,0.5839
partial,static,KF + CV,137,78,34,25,0.6898,0.5693
partial,static,UKF + CTRV,137,78,33,26,0.6886,0.5693
partial,straight,EKF + CTRV,432,145,59,228,0.6561,0.3356
partial,straight,EKF + CTRV (chan w),432,145,59,228,0.6561,0.3356
partial,straight,KF + CV,432,148,56,228,0.656,0.3426
partial,straight,UKF + CTRV,432,146,58,228,0.6564,0.338
partial,unknown,EKF + CTRV,8,0,1,7,0.5289,0.0
partial,unknown,EKF + CTRV (chan w),8,0,1,7,0.5289,0.0
partial,unknown,KF + CV,8,0,1,7,0.5289,0.0
partial,unknown,UKF + CTRV,8,0,1,7,0.5289,0.0
