occlusion_level,turn_class,motion_model,n_segments,n_preserved,n_switched,n_lost,recall_during,id_retention
full,gentle,yolov8n-ft-bytetrack,173,117,24,32,0.6263,0.6763
full,gentle,yolov8n-ft-ekf-ctrv,173,117,24,32,0.6235,0.6763
full,gentle,yolov8n-ft-ukf-ctrv,173,117,24,32,0.6231,0.6763
full,sharp,yolov8n-ft-bytetrack,43,17,14,12,0.2884,0.3953
full,sharp,yolov8n-ft-ekf-ctrv,43,19,12,12,0.2884,0.4419
full,sharp,yolov8n-ft-ukf-ctrv,43,19,12,12,0.2884,0.4419
full,static,yolov8n-ft-bytetrack,12,1,7,4,0.0149,0.0833
full,static,yolov8n-ft-ekf-ctrv,12,1,7,4,0.0149,0.0833
full,static,yolov8n-ft-ukf-ctrv,12,2,6,4,0.0149,0.1667
full,straight,yolov8n-ft-bytetrack,173,124,22,27,0.777,0.7168
full,straight,yolov8n-ft-ekf-ctrv,173,123,24,26,0.7777,0.711
full,straight,yolov8n-ft-ukf-ctrv,173,124,23,26,0.7774,0.7168
partial,gentle,yolov8n-ft-bytetrack,517,270,33,214,0.8481,0.5222
partial,gentle,yolov8n-ft-ekf-ctrv,517,265,38,214,0.8481,0.5126
partial,gentle,yolov8n-ft-ukf-ctrv,517,266,37,214,0.8485,0.5145
partial,sharp,yolov8n-ft-bytetrack,186,98,24,64,0.812,0.5269
partial,sharp,yolov8n-ft-ekf-ctrv,186,99,23,64,0.8116,0.5323
partial,sharp,yolov8n-ft-ukf-ctrv,186,102,20,64,0.8118,0.5484
partial,static,yolov8n-ft-bytetrack,142,98,21,23,0.8468,0.6901
partial,static,yolov8n-ft-ekf-ctrv,142,102,18,22,0.8485,0.7183
partial,static,yolov8n-ft-ukf-ctrv,142,103,17,22,0.8488,0.7254
partial,straight,yolov8n-ft-bytetrack,439,210,23,206,0.8846,0.4784
partial,straight,yolov8n-ft-ekf-ctrv,439,207,26,206,0.8837,0.4715
partial,straight,yolov8n-ft-ukf-ctrv,439,208,25,206,0.8837,0.4738
partial,unknown,yolov8n-ft-bytetrack,17,0,1,16,0.5393,0.0
partial,unknown,yolov8n-ft-ekf-ctrv,17,0,1,16,0.57,0.0
partial,unknown,yolov8n-ft-ukf-ctrv,17,0,1,16,0.57,0.0
